,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 5,Green Bay Packers,,Minnesota Vikings,boxscore,24,10
1,WildCard,Sat,January 5,Houston Texans,,Cincinnati Bengals,boxscore,19,13
2,WildCard,Sun,January 6,Baltimore Ravens,,Indianapolis Colts,boxscore,24,9
3,WildCard,Sun,January 6,Seattle Seahawks,@,Washington Redskins,boxscore,24,14
4,Division,Sat,January 12,San Francisco 49ers,,Green Bay Packers,boxscore,45,31
5,Division,Sat,January 12,Baltimore Ravens,@,Denver Broncos,boxscore,38,35
6,Division,Sun,January 13,Atlanta Falcons,,Seattle Seahawks,boxscore,30,28
7,Division,Sun,January 13,New England Patriots,,Houston Texans,boxscore,41,28
8,ConfChamp,Sun,January 20,San Francisco 49ers,@,Atlanta Falcons,boxscore,28,24
9,ConfChamp,Sun,January 20,Baltimore Ravens,@,New England Patriots,boxscore,28,13
10,SuperBowl,Sun,February 3,Baltimore Ravens,N,San Francisco 49ers,boxscore,34,31
