,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Games,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
2,1,James Laurinaitis,STL,26,MLB,16,16,2,18,0,18,5,0,0,1,4,0,0.5,142,117,25,4,2,
3,2,Lavonte David,TAM,22,RLB,16,16,1,27,0,27,4,,,,,,2.0,139,112,27,20,5,
4,3,Derrick Johnson *,KAN,30,RILB,16,16,0,0,0,0,4,4,0,0,0,0,2.0,124,109,15,12,5,
5,4,Daryl Washington*,ARI,26,RILB,16,16,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,
6,5,Russell Allen,JAX,26,RLB,16,16,0,0,0,0,6,0,0,1,0,0,0.5,131,107,24,9,4,
7,6,Paul Posluszny,JAX,28,MLB,16,16,3,20,0,13,7,2,0,0,0,0,2.0,139,106,33,5,5,
8,7,Luke Kuechly,CAR,21,MLB,16,16,2,22,0,25,7,0,0,3,9,0,1.0,164,103,61,12,1,
9,8,Karlos Dansby,MIA,31,MLB,16,16,0,0,0,0,9,1,0,0,0,0,1.0,134,101,33,9,2,
10,9,Chad Greenway*,MIN,29,LLB,16,16,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,
11,10,NaVorro Bowman *+,SFO,24,LILB,16,16,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,
12,11,Jo-Lonn Dunbar,STL,27,RLB,16,16,2,63,0,42,5,2,0,0,0,0,4.5,115,91,24,16,12,
13,12,Jerrell Freeman ,IND,26,RILB,16,16,1,4,1,4,3,1,0,0,0,0,2.0,145,90,55,7,2,
14,13,Morgan Burnett,GNB,23,SS,16,16,2,1,0,1,5,2,0,1,0,0,2.0,123,88,35,5,4,
15,14,Roman Harper,NOR,30,SS,16,16,2,41,0,41,11,,,,,,0.0,115,88,27,4,1,
16,15,Jerod Mayo *,NWE,26,LLB,16,16,1,0,0,0,3,4,0,1,0,0,3.0,147,88,59,5,5,
17,16,Patrick Willis*+,SFO,27,RILB,16,16,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,
18,17,Bobby Wagner,SEA,22,MLB,16,15,3,55,0,45,4,,,,,,2.0,140,87,53,9,5,
19,18,DeMeco Ryans,PHI,28,MLB,16,16,1,0,0,0,4,,,,,,1.0,113,86,27,15,2,
20,19,Cortland Finnegan,STL,28,LCB,16,15,3,68,1,32,9,1,0,0,0,0,1.0,101,83,18,3,1,
21,20,Quintin Mikell,STL,32,SS,16,16,0,0,0,0,2,4,0,0,0,0,3.0,101,83,18,3,3,
22,21,Eric Weddle ,SDG,27,FS,16,16,3,52,1,23,8,2,3,2,0,0,1.0,97,83,14,4,2,
23,22,Justin Durant,DET,27,LLB,16,14,0,0,0,0,2,,,,,,0.5,103,82,21,9,2,
24,23,Mason Foster ,TAM,23,MLB,16,16,1,0,0,0,1,0,0,1,4,0,2.0,106,82,24,13,3,
25,24,Curtis Lofton,NOR,26,MLB,16,16,0,0,0,0,6,2,0,2,0,0,1.0,123,82,41,7,2,
26,25,A.J. Hawk,GNB,28,LILB,16,16,,,,,,,,,,,3.0,120,81,39,9,5,
27,26,Dawan Landry,JAX,30,SS,16,16,1,47,0,21,2,,,,,,0.0,100,81,19,0,0,
28,27,Kevin Burnett,MIA,30,LLB,16,16,0,0,0,0,5,,,,,,2.5,110,80,30,5,5,
29,28,David Harris ,NYJ,28,RILB,16,16,0,0,0,0,3,1,0,1,0,0,3.0,123,79,44,4,7,
30,29,George Wilson,BUF,31,SS,16,16,0,0,0,0,5,,,,,,0.0,104,79,25,0,0,
31,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
32,30,London Fletcher*,WAS,37,LILB,16,16,5,29,0,10,11,1,0,0,0,0,3.0,139,78,61,5,4,
33,31,Philip Wheeler,OAK,28,LLB,16,16,0,0,0,0,6,2,0,1,0,0,3.0,110,78,32,5,12,
34,32,LaRon Landry*,NYJ,28,SS,16,15,2,42,1,24,8,4,0,0,9,0,0.0,100,76,24,4,3,
35,33,Antoine Bethea,IND,28,FS,16,16,0,0,0,0,7,,,,,,2.0,100,75,25,3,3,
36,34,Kam Chancellor ,SEA,24,SS,16,16,0,0,0,0,4,1,0,2,0,0,0.0,101,75,26,3,0,
37,35,Larry Foote,PIT,32,LILB,16,16,0,0,0,0,3,2,0,2,0,0,4.0,113,75,38,8,7,
38,36,Charles Tillman *+,CHI,31,RCB,16,16,3,71,3,36,16,10,0,2,0,0,0.0,87,75,12,1,0,
39,37,Lawrence Timmons,PIT,26,RILB,16,16,3,80,1,53,5,2,0,1,1,0,6.0,106,75,31,10,17,
40,38,Tyvon Branch,OAK,26,SS,14,14,1,11,0,11,3,,,,,,0.0,94,74,20,3,1,
41,39,Lance Briggs,CHI,32,LLB,16,16,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,
42,40,Ryan Clark,PIT,33,FS,15,15,2,26,0,26,7,2,0,1,2,0,0.0,102,74,28,4,0,
43,41,Paris Lenon,ARI,35,LILB,16,16,1,0,0,0,3,1,0,1,0,0,2.0,104,74,30,3,6,
44,42,Harrison Smith,MIN,23,FS,16,16,3,87,2,56,10,1,0,1,0,0,1.0,104,74,30,1,2,
45,43,Stephen Tulloch,DET,27,MLB,16,16,0,0,0,0,6,1,0,2,0,0,0.5,112,74,38,6,5,
46,44,Yeremiah Bell,NYJ,34,FS,16,16,0,0,0,0,2,0,0,3,18,0,1.0,90,73,17,3,1,
47,45,Eric Berry *,KAN,24,SS,16,16,1,0,0,0,10,,,,,,0.0,86,73,13,10,0,
48,46,Vontaze Burfict,CIN,22,RLB,16,14,0,0,0,0,2,0,0,2,0,0,1.0,127,73,54,7,3,
49,47,Reshad Jones,MIA,24,FS,16,16,4,28,0,15,9,2,1,2,24,0,1.0,94,73,21,4,4,
50,48,Jason McCourty,TEN,25,LCB,16,16,4,29,0,28,15,1,0,1,0,0,0.0,92,73,19,4,0,
51,49,Perry Riley,WAS,24,RILB,16,16,0,0,0,0,7,1,0,1,0,0,3.5,129,73,56,6,5,
52,50,Antrel Rolle,NYG,30,FS,16,16,2,42,0,22,5,1,0,1,0,0,0.0,96,73,23,4,0,
53,51,Wesley Woodyard,DEN,26,ROLB,15,14,3,40,0,25,6,1,0,1,12,0,5.5,117,73,44,9,9,
54,52,Nick Barnett,BUF,31,RLB,16,16,0,0,0,0,1,3,0,0,0,0,2.0,112,72,40,6,1,
55,53,Chris Clemons,MIA,27,SS,16,16,2,29,0,29,4,0,0,1,-3,0,0.0,98,72,26,3,0,
56,54,Stephen Nicholas,ATL,29,RLB,16,15,1,3,0,3,4,1,0,1,0,0,2.0,97,72,25,5,5,
57,55,Buster Skrine,CLE,23,db,16,6,0,0,0,0,10,0,0,1,0,0,0.0,85,72,13,3,1,
58,56,Antoine Winfield,MIN,35,LCB,16,15,3,37,0,31,13,0,0,1,0,0,0.5,101,72,29,8,1,
59,57,Ronde Barber,TAM,37,FS,16,16,4,160,1,78,13,1,0,0,0,0,1.0,92,71,21,8,0,
60,58,Mark Barron,TAM,23,SS,16,16,1,12,0,12,10,1,0,0,0,0,0.0,88,71,17,4,0,
61,59,Bernard Pollard,BAL,28,SS,13,13,1,0,0,0,5,,,,,,2.0,98,71,27,6,3,
62,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
63,60,Sean Weatherspoon,ATL,25,LLB,13,13,1,6,0,6,4,1,0,1,0,0,3.0,96,71,25,6,7,
64,61,Kurt Coleman,PHI,24,FS,14,14,2,13,0,7,4,1,0,0,0,0,0.0,93,70,23,3,0,
65,62,Thomas Davis ,CAR,29,RLB,15,12,1,0,0,0,3,2,0,1,-2,0,0.0,105,70,35,9,1,
66,63,Dannell Ellerbe,BAL,27,RILB,13,7,0,0,0,0,2,1,0,0,0,0,4.5,92,69,23,8,8,
67,64,J.J. Watt*+,HOU,23,LDE,16,16,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,
68,65,Zach Brown,TEN,23,RLB,16,14,3,156,2,79,5,1,1,2,6,0,5.5,93,68,25,11,8,
69,66,DeAngelo Hall,WAS,29,LCB,16,16,4,62,0,27,13,0,1,2,0,0,1.0,95,68,27,7,1,
70,67,K.J. Wright,SEA,23,RLB,15,15,1,24,0,24,5,1,0,0,0,0,1.0,98,68,30,8,3,
