,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Arian Foster *,HOU,26,RB,16,16,351,1424,15,78,46,4.1,89.0,3
3,2,Adrian Peterson*+,MIN,27,RB,16,16,348,2097,12,88,82,6.0,131.1,4
4,3,Alfred Morris ,WAS,24,RB,16,16,335,1613,13,86,39,4.8,100.8,4
5,4,Doug Martin *,TAM,23,RB,16,16,319,1454,11,64,70,4.6,90.9,1
6,5,Marshawn Lynch *+,SEA,26,RB,16,15,315,1590,11,70,77,5.0,99.4,5
7,6,Stevan Ridley,NWE,23,RB,16,12,290,1263,12,83,41,4.4,78.9,4
8,7,Jamaal Charles*,KAN,26,RB,16,15,285,1509,5,63,91,5.3,94.3,5
9,8,BenJarvus Green-Ellis,CIN,27,RB,15,15,278,1094,6,55,48,3.9,72.9,3
10,9,Shonn Greene,NYJ,27,RB,16,14,276,1063,8,52,36,3.9,66.4,4
11,10,Chris Johnson ,TEN,27,RB,16,15,276,1243,6,46,94,4.5,77.7,5
12,11,Trent Richardson ,CLE,22,RB,15,15,267,950,11,38,32,3.6,63.3,3
13,12,Frank Gore*,SFO,29,RB,16,16,258,1214,8,68,37,4.7,75.9,3
14,13,Steven Jackson,STL,29,RB,16,16,258,1045,4,49,46,4.1,65.3,0
15,14,Ray Rice*,BAL,25,RB,16,16,257,1143,9,52,46,4.4,71.4,1
16,15,Matt Forte ,CHI,27,RB,15,15,248,1094,5,45,46,4.4,72.9,2
17,16,Reggie Bush,MIA,27,RB,16,16,227,986,6,43,65,4.3,61.6,4
18,17,Michael Turner,ATL,30,RB,16,16,222,800,10,40,43,3.6,50.0,3
19,18,Ahmad Bradshaw,NYG,26,RB,14,12,221,1015,6,58,37,4.6,72.5,3
20,19,Darren McFadden,OAK,25,RB,12,12,216,707,2,35,64,3.3,58.9,2
21,20,Mikel Leshoure,DET,22,RB,14,14,215,798,9,47,16,3.7,57.0,3
22,21,Vick Ballard,IND,22,RB,16,12,211,814,2,52,26,3.9,50.9,3
23,22,C.J. Spiller*,BUF,25,RB,16,9,207,1244,6,53,62,6.0,77.8,3
24,23,LeSean McCoy,PHI,24,RB,12,12,200,840,2,45,34,4.2,70.0,4
25,24,Ryan Mathews,SDG,25,RB,12,9,184,707,1,35,31,3.8,58.9,2
26,25,DeAngelo Williams,CAR,29,RB,16,10,173,737,5,34,65,4.3,46.1,2
27,26,Willis McGahee,DEN,31,RB,10,9,167,731,4,44,31,4.4,73.1,5
28,27,DeMarco Murray,DAL,24,RB,10,10,161,663,4,39,48,4.1,66.3,3
29,28,Jonathan Dwyer,PIT,23,RB,13,6,156,623,2,29,34,4.0,47.9,2
30,29,Mark Ingram,NOR,23,rb,16,5,156,602,5,29,31,3.9,37.6,0
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Knowshon Moreno,DEN,25,rb,8,6,138,525,4,32,20,3.8,65.6,1
33,31,Alex Green,GNB,24,,12,4,135,464,0,17,41,3.4,38.7,1
34,32,Cam Newton,CAR,23,QB,16,16,127,741,8,52,72,5.8,46.3,10
35,33,Robert Griffin III*,WAS,22,QB,15,15,120,815,7,45,76,6.8,54.3,12
36,34,Bryce Brown,PHI,21,,16,4,115,564,4,33,65,4.9,35.3,4
37,35,Fred Jackson,BUF,31,rb,10,8,115,437,3,26,15,3.8,43.7,5
38,36,Michael Bush,CHI,28,,13,1,114,411,5,28,20,3.6,31.6,1
39,37,Felix Jones,DAL,25,rb,16,7,111,402,3,24,22,3.6,25.1,2
40,38,Bilal Powell,NYJ,24,,14,2,110,437,4,24,18,4.0,31.2,0
41,39,Isaac Redman,PIT,28,rb,14,5,110,410,2,28,28,3.7,29.3,3
42,40,LaRod Stephens-Howling,ARI,25,rb,14,5,110,356,4,15,52,3.2,25.4,0
