,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Chris Johnson *+,TEN,24,RB,16,16,358,2006,14,80,91,5.6,125.4,3
3,2,Thomas Jones,NYJ,31,RB,16,16,331,1402,14,66,71,4.2,87.6,2
4,3,Steven Jackson*,STL,26,RB,15,15,324,1416,4,59,58,4.4,94.4,2
5,4,Adrian Peterson*+,MIN,24,RB,16,15,314,1383,18,76,64,4.4,86.4,7
6,5,Maurice Jones-Drew*,JAX,24,RB,16,16,312,1391,15,69,80,4.5,86.9,2
7,6,Cedric Benson ,CIN,27,RB,13,13,301,1251,6,57,42,4.2,96.2,1
8,7,Ryan Grant,GNB,27,RB,16,16,282,1253,11,64,62,4.4,78.3,1
9,8,Matt Forte ,CHI,24,RB,16,16,258,929,4,41,61,3.6,58.1,6
10,9,Ray Rice*,BAL,22,RB,16,15,254,1339,7,53,59,5.3,83.7,3
11,10,Knowshon Moreno,DEN,22,RB,16,9,247,947,7,53,36,3.8,59.2,4
12,11,Rashard Mendenhall,PIT,22,RB,16,12,242,1108,7,50,60,4.6,69.3,3
13,12,Ricky Williams,MIA,32,rb,16,7,241,1121,11,55,68,4.7,70.1,5
14,13,Fred Jackson,BUF,28,RB,16,11,237,1062,2,44,43,4.5,66.4,4
15,14,Frank Gore*,SFO,26,RB,14,14,229,1120,10,47,80,4.9,80.0,4
16,15,Brandon Jacobs,NYG,27,RB,15,15,224,835,5,44,31,3.7,55.7,2
17,16,LaDainian Tomlinson,SDG,30,RB,14,14,223,730,12,40,36,3.3,52.1,2
18,17,Jonathan Stewart,CAR,22,rb,16,3,221,1133,10,54,67,5.1,70.8,3
19,18,Joseph Addai,IND,26,RB,15,15,219,828,10,44,21,3.8,55.2,1
20,19,Kevin Smith,DET,23,RB,13,13,217,747,4,41,31,3.4,57.5,3
21,20,DeAngelo Williams*,CAR,26,RB,13,13,216,1117,7,51,77,5.2,85.9,3
22,21,Marion Barber III,DAL,26,RB,15,15,214,932,7,60,35,4.4,62.1,2
23,22,Cadillac Williams,TAM,27,RB,16,15,211,823,4,43,35,3.9,51.4,1
24,23,Jerome Harrison,CLE,26,rb,14,7,194,862,5,39,71,4.4,61.6,2
25,24,Laurence Maroney,NWE,24,rb,15,5,194,757,9,45,45,3.9,50.5,4
26,25,Jamaal Charles,KAN,23,RB,15,10,190,1120,7,54,76,5.9,74.7,4
27,26,Larry Johnson,2TM,30,,14,7,178,581,0,0,27,3.3,41.5,2
28,27,Michael Turner,ATL,27,RB,11,11,178,871,10,43,58,4.9,79.2,4
29,28,Julius Jones,SEA,28,RB,14,14,177,663,2,33,62,3.7,47.4,0
30,29,Beanie Wells ,ARI,21,,16,0,176,793,7,39,33,4.5,49.6,4
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Mike Bell,NOR,26,,13,3,172,654,5,34,35,3.8,50.3,2
33,31,Ahmad Bradshaw,NYG,23,rb,15,1,163,778,7,47,38,4.8,51.9,3
34,32,LeSean McCoy,PHI,21,,16,4,155,637,4,29,66,4.1,39.8,2
35,33,Ronnie Brown,MIA,28,RB,9,9,147,648,8,32,45,4.4,72.0,1
36,34,Pierre Thomas,NOR,25,rb,14,6,147,793,6,37,34,5.4,56.6,2
37,35,Tim Hightower,ARI,23,RB,16,16,143,598,8,33,50,4.2,37.4,5
38,36,Jamal Lewis,CLE,30,RB,9,8,143,500,0,18,18,3.5,55.6,0
39,37,Jason Snelling ,ATL,26,,14,2,142,613,4,39,31,4.3,43.8,2
40,38,Steve Slaton,HOU,23,RB,11,10,131,437,3,27,32,3.3,39.7,7
41,39,Justin Fargas,OAK,29,,12,4,129,491,3,25,35,3.8,40.9,1
42,40,Clinton Portis,WAS,28,RB,8,8,124,494,1,20,78,4.0,61.8,1
