,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,David Akers*,PHI,35,,16,0,1,1,11,11,9,8,13,11,3,1,37,32,52,86.5%,45,43,95.6%,94,6117,11,11.7%,65.1,,,,,
3,2,Mason Crosby,GNB,25,,16,0,1,1,13,13,9,7,7,4,6,2,36,27,52,75.0%,49,48,98.0%,94,5805,12,12.8%,61.8,,,,,
4,3,Jay Feely,NYJ,33,,16,0,,,6,6,15,12,14,11,1,1,36,30,55,83.3%,32,32,100.0%,82,5378,10,12.2%,65.6,,,,,
5,4,Nate Kaeding*+,SDG,27,,16,0,2,2,17,17,4,4,8,6,4,3,35,32,55,91.4%,51,50,98.0%,97,6139,9,9.3%,63.3,,,,,
6,5,Matt Prater,DEN,25,,16,0,,,14,14,8,6,10,8,3,2,35,30,51,85.7%,32,32,100.0%,78,5304,28,35.9%,68.0,,,,,
7,6,Rian Lindell,BUF,32,,16,0,,,12,12,9,9,9,6,3,1,33,28,56,84.8%,24,24,100.0%,68,4277,6,8.8%,62.9,,,,,
8,7,Rob Bironas,TEN,31,,16,0,,,8,8,6,4,12,10,6,5,32,27,53,84.4%,37,37,100.0%,81,5186,7,8.6%,64.0,1,40,40,0,40.0
9,8,Kris Brown,HOU,33,,16,0,,,13,11,9,6,6,2,4,2,32,21,56,65.6%,44,43,97.7%,82,5402,10,12.2%,65.9,,,,,
10,9,Lawrence Tynes,NYG,31,,16,0,,,12,10,13,11,6,5,1,1,32,27,52,84.4%,45,45,100.0%,86,5343,6,7.0%,62.1,,,,,
11,10,Stephen Gostkowski,NWE,25,,16,0,,,7,7,13,12,8,5,3,2,31,26,53,83.9%,47,47,100.0%,91,6096,21,23.1%,67.0,,,,,
12,11,Jeff Reed,PIT,30,,16,0,1,1,7,7,16,15,5,4,2,,31,27,46,87.1%,41,41,100.0%,81,4840,3,3.7%,59.8,,,,,
13,12,Sebastian Janikowski,OAK,31,,16,0,,,3,3,8,8,10,9,8,6,29,26,61,89.7%,17,17,100.0%,58,3797,17,29.3%,65.5,,,,,
14,13,Ryan Succop,KAN,23,,16,0,,,10,10,7,7,7,6,5,2,29,25,53,86.2%,29,29,100.0%,72,4451,7,9.7%,61.8,,,,,
15,14,Dan Carpenter*,MIA,24,,16,0,,,9,9,8,7,9,8,2,1,28,25,52,89.3%,38,37,97.4%,79,4974,7,8.9%,63.0,,,,,
16,15,Nick Folk,DAL,25,,14,0,1,1,6,5,7,6,12,5,2,1,28,18,51,64.3%,36,36,100.0%,2,17,,,8.5,,,,,
17,16,Robbie Gould,CHI,27,,16,0,,,9,9,6,6,10,7,3,2,28,24,52,85.7%,33,33,100.0%,73,4747,8,11.0%,65.0,,,,,
18,17,Shayne Graham,CIN,32,,16,0,,,11,10,10,8,3,3,4,2,28,23,53,82.1%,29,28,96.6%,69,4308,8,11.6%,62.4,,,,,
19,18,Jason Hanson,DET,39,,16,0,,,5,5,9,8,10,7,4,1,28,21,50,75.0%,25,25,100.0%,63,3926,4,6.3%,62.3,,,,,
20,19,Ryan Longwell ,MIN,35,,16,0,1,1,10,10,6,5,9,8,2,2,28,26,52,92.9%,55,54,98.2%,98,6227,5,5.1%,63.5,,,,,
21,20,Josh Scobee ,JAX,27,,16,0,,,7,6,5,5,7,3,9,4,28,18,52,64.3%,31,30,96.8%,64,4222,17,26.6%,66.0,,,,,
22,21,John Kasay,CAR,40,,16,0,,,7,7,10,9,6,5,4,1,27,22,50,81.5%,32,31,96.9%,,,,,,,,,,
23,22,Olindo Mare,SEA,36,,16,0,,,9,9,11,10,6,5,,,26,24,47,92.3%,28,28,100.0%,69,4661,22,31.9%,67.6,1,32,32,0,32.0
24,23,Shaun Suisham,2TM,28,,14,0,,,10,9,7,5,6,6,1,,24,20,48,83.3%,26,25,96.2%,52,3058,5,9.6%,58.8,3,80,32,0,26.7
25,24,Josh Brown ,STL,30,,16,0,,,5,5,5,4,7,4,7,6,24,19,55,79.2%,16,16,100.0%,,,,,,,,,,
26,25,Billy Cundiff,2TM,29,,12,0,1,1,9,9,8,5,3,3,2,,23,18,46,78.3%,23,23,100.0%,54,3379,3,5.6%,62.6,,,,,
27,26,Joe Nedney,SFO,36,,14,0,,,4,4,8,7,6,4,3,2,21,17,51,81.0%,33,33,100.0%,63,4127,5,7.9%,65.5,,,,,
28,27,Connor Barth,TAM,23,,9,0,,,2,2,6,4,7,5,4,3,19,14,54,73.7%,12,12,100.0%,36,2309,6,16.7%,64.1,1,46,46,0,46.0
