,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 9,Dallas Cowboys,,Philadelphia Eagles,boxscore,34,14
1,WildCard,Sat,January 9,New York Jets,@,Cincinnati Bengals,boxscore,24,14
2,WildCard,Sun,January 10,Arizona Cardinals,,Green Bay Packers,boxscore,51,45
3,WildCard,Sun,January 10,Baltimore Ravens,@,New England Patriots,boxscore,33,14
4,Division,Sat,January 16,Indianapolis Colts,,Baltimore Ravens,boxscore,20,3
5,Division,Sat,January 16,New Orleans Saints,,Arizona Cardinals,boxscore,45,14
6,Division,Sun,January 17,Minnesota Vikings,,Dallas Cowboys,boxscore,34,3
7,Division,Sun,January 17,New York Jets,@,San Diego Chargers,boxscore,17,14
8,ConfChamp,Sun,January 24,Indianapolis Colts,,New York Jets,boxscore,30,17
9,ConfChamp,Sun,January 24,New Orleans Saints,,Minnesota Vikings,boxscore,31,28
10,SuperBowl,Sun,February 7,New Orleans Saints,N,Indianapolis Colts,boxscore,31,17
