,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Wes Welker*+,NWE,28,WR,14,13,162,123,75.9%,1348,11.0,4,71,58,8.3,8.8,96.3,2
1,2,Steve Smith*,NYG,24,WR,16,15,157,107,68.2%,1220,11.4,7,62,51,7.8,6.7,76.3,0
2,3,Andre Johnson *+,HOU,28,WR,16,16,171,101,59.1%,1569,15.5,9,70,72,9.2,6.3,98.1,1
3,4,Brandon Marshall*,DEN,25,WR,15,13,154,101,65.6%,1120,11.1,10,55,75,7.3,6.7,74.7,0
4,5,Dallas Clark*+,IND,30,TE,16,16,133,100,75.2%,1106,11.1,10,61,80,8.3,6.3,69.1,1
5,6,Reggie Wayne*,IND,31,WR,16,16,149,100,67.1%,1264,12.6,10,73,65,8.5,6.3,79.0,0
6,7,Larry Fitzgerald*,ARI,26,WR,16,16,153,97,63.4%,1092,11.3,13,68,34,7.1,6.1,68.3,0
7,8,Hines Ward ,PIT,33,WR,16,16,137,95,69.3%,1167,12.3,6,56,54,8.5,5.9,72.9,2
8,9,Jason Witten*,DAL,27,TE,16,16,124,94,75.8%,1030,11.0,2,49,69,8.3,5.9,64.4,0
9,10,Roddy White*,ATL,28,WR,16,16,165,85,51.5%,1153,13.6,11,54,90,7.0,5.3,72.1,1
10,11,Anquan Boldin,ARI,29,WR,15,15,127,84,66.1%,1024,12.2,4,49,44,8.1,5.6,68.3,3
11,12,Tony Gonzalez,ATL,33,TE,16,16,134,83,61.9%,867,10.4,6,55,27,6.5,5.2,54.2,0
12,13,Randy Moss,NWE,32,WR,16,16,137,83,60.6%,1264,15.2,13,62,71,9.2,5.2,79.0,2
13,14,Sidney Rice*,MIN,23,WR,16,14,121,83,68.6%,1312,15.8,8,60,63,10.8,5.2,82.0,1
14,15,Miles Austin*,DAL,25,WR,16,9,124,81,65.3%,1320,16.3,11,58,60,10.6,5.1,82.5,1
15,16,Antonio Gates*,SDG,29,TE,16,16,114,79,69.3%,1157,14.6,8,61,56,10.1,4.9,72.3,1
16,17,Santonio Holmes,PIT,25,WR,16,16,138,79,57.2%,1248,15.8,5,62,57,9.0,4.9,78.0,0
17,18,T.J. Houshmandzadeh,SEA,32,WR,16,16,135,79,58.5%,911,11.5,3,52,53,6.7,4.9,56.9,2
18,19,Vernon Davis *,SFO,25,TE,16,16,128,78,60.9%,965,12.4,13,38,73,7.5,4.9,60.3,0
19,20,Ray Rice*,BAL,22,RB,16,15,101,78,77.2%,702,9.0,1,27,63,7.0,4.9,43.9,3
20,21,Kellen Winslow,TAM,26,TE,16,14,127,77,60.6%,884,11.5,5,46,42,7.0,4.8,55.3,0
21,22,Davone Bess,MIA,24,,16,2,113,76,67.3%,758,10.0,2,48,34,6.7,4.8,47.4,6
22,23,Brent Celek,PHI,24,TE,16,15,112,76,67.9%,971,12.8,8,39,47,8.7,4.8,60.7,0
23,24,Heath Miller*,PIT,27,TE,16,16,98,76,77.6%,789,10.4,6,37,41,8.1,4.8,49.3,2
24,25,Derrick Mason,BAL,35,WR,16,16,134,73,54.5%,1028,14.1,7,55,72,7.7,4.6,64.3,0
25,26,Chad Johnson *,CIN,31,WR,16,15,128,72,56.3%,1047,14.5,9,55,50,8.2,4.5,65.4,2
26,27,Marques Colston,NOR,26,WR,16,14,107,70,65.4%,1074,15.3,9,54,68,10.0,4.4,67.1,2
27,28,Donald Driver,GNB,34,WR,16,16,113,70,61.9%,1061,15.2,6,48,71,9.4,4.4,66.3,2
28,29,Santana Moss,WAS,30,WR,16,16,120,70,58.3%,902,12.9,3,40,59,7.5,4.4,56.4,2
29,30,Vincent Jackson*,SDG,26,WR,15,15,108,68,63.0%,1167,17.2,9,57,55,10.8,4.5,77.8,0
30,31,Greg Jennings,GNB,26,WR,16,13,119,68,57.1%,1113,16.4,4,49,83,9.4,4.3,69.6,0
31,32,Calvin Johnson ,DET,24,WR,14,14,137,67,48.9%,984,14.7,5,46,75,7.2,4.8,70.3,3
32,33,Zach Miller,OAK,24,TE,15,15,99,66,66.7%,805,12.2,3,30,86,8.1,4.4,53.7,0
33,34,Steve Smith,CAR,30,WR,15,15,129,65,50.4%,982,15.1,7,42,66,7.6,4.3,65.5,1
34,35,Nate Burleson,SEA,28,WR,13,12,103,63,61.2%,812,12.9,3,41,44,7.9,4.8,62.5,3
35,36,Tim Hightower,ARI,23,RB,16,16,80,63,78.8%,428,6.8,0,22,23,5.4,3.9,26.8,5
36,37,Mike Sims-Walker,JAX,25,WR,15,14,111,63,56.8%,869,13.8,7,43,61,7.8,4.2,57.9,2
37,38,DeSean Jackson*,PHI,23,WR,15,15,117,62,53.0%,1156,18.6,9,40,71,9.9,4.1,77.1,3
38,39,Austin Collie,IND,24,wr,16,5,89,60,67.4%,676,11.3,7,37,39,7.6,3.8,42.3,0
39,40,Percy Harvin*,MIN,21,wr,15,8,91,60,65.9%,790,13.2,6,43,51,8.7,4.0,52.7,1
40,41,Greg Olsen,CHI,24,TE,16,15,108,60,55.6%,612,10.2,8,33,41,5.7,3.8,38.3,0
41,42,Jerricho Cotchery,NYJ,27,WR,14,12,96,57,59.4%,821,14.4,3,44,53,8.6,4.1,58.6,1
42,43,Matt Forte ,CHI,24,RB,16,16,72,57,79.2%,471,8.3,0,17,37,6.5,3.6,29.4,6
43,44,Devin Hester,CHI,27,WR,13,12,91,57,62.6%,757,13.3,3,34,48,8.3,4.4,58.2,3
44,45,Mario Manningham,NYG,23,WR,14,10,99,57,57.6%,822,14.4,5,40,49,8.3,4.1,58.7,1
45,46,Jeremy Maclin,PHI,21,WR,15,13,91,56,61.5%,773,13.8,4,31,56,8.5,3.7,51.5,0
46,47,Visanthe Shiancoe,MIN,29,TE,16,13,79,56,70.9%,566,10.1,11,38,27,7.2,3.5,35.4,0
47,48,Bernard Berrian,MIN,29,WR,16,15,92,55,59.8%,618,11.2,4,35,40,6.7,3.4,38.6,0
48,49,Steve Breaston,ARI,26,wr,15,6,82,55,67.1%,712,12.9,3,33,45,8.7,3.7,47.5,2
49,50,Jermichael Finley,GNB,22,TE,13,10,72,55,76.4%,676,12.3,5,30,62,9.4,4.2,52.0,1
50,51,Terrell Owens,BUF,36,WR,16,16,109,55,50.5%,829,15.1,5,35,98,7.6,3.4,51.8,1
51,52,Earl Bennett,CHI,22,WR,16,15,88,54,61.4%,717,13.3,2,32,71,8.1,3.4,44.8,2
52,53,Jabar Gaffney,DEN,29,wr,16,7,87,54,62.1%,732,13.6,2,33,49,8.4,3.4,45.8,0
53,54,Todd Heap,BAL,29,TE,16,16,75,53,70.7%,593,11.2,6,33,31,7.9,3.3,37.1,1
54,55,Maurice Jones-Drew*,JAX,24,RB,16,16,71,53,74.6%,374,7.1,1,16,19,5.3,3.3,23.4,2
55,56,Muhsin Muhammad,CAR,36,WR,14,13,89,53,59.6%,581,11.0,1,32,27,6.5,3.8,41.5,0
56,57,Kevin Walter,HOU,28,WR,14,14,70,53,75.7%,611,11.5,2,33,41,8.7,3.8,43.6,0
57,58,Frank Gore*,SFO,26,RB,14,14,75,52,69.3%,406,7.8,3,14,48,5.4,3.7,29.0,4
58,59,Josh Morgan,SFO,24,WR,16,15,80,52,65.0%,527,10.1,3,18,61,6.6,3.3,32.9,0
59,60,Joseph Addai,IND,26,RB,15,15,63,51,81.0%,336,6.6,3,18,25,5.3,3.4,22.4,1
60,61,Andre Caldwell,CIN,24,,16,3,80,51,63.8%,432,8.5,3,29,24,5.4,3.2,27.0,4
61,62,John Carlson,SEA,25,TE,16,16,83,51,61.4%,574,11.3,7,27,42,6.9,3.2,35.9,0
62,63,Devery Henderson,NOR,27,WR,16,11,83,51,61.4%,804,15.8,2,33,75,9.7,3.2,50.3,0
63,64,Torry Holt,JAX,33,WR,15,12,103,51,49.5%,722,14.2,0,35,63,7.0,3.4,48.1,1
64,65,Steven Jackson*,STL,26,RB,15,15,75,51,68.0%,322,6.3,0,16,38,4.3,3.4,21.5,2
65,66,Greg Camarillo,MIA,27,WR,16,16,72,50,69.4%,552,11.0,0,28,29,7.7,3.1,34.5,0
66,67,Michael Jenkins,ATL,27,WR,15,9,90,50,55.6%,635,12.7,1,29,50,7.1,3.3,42.3,0
67,68,Chris Johnson *+,TEN,24,RB,16,16,71,50,70.4%,503,10.1,2,18,69,7.1,3.1,31.4,3
68,69,Antwaan Randle El ,WAS,30,,16,3,77,50,64.9%,530,10.6,0,33,44,6.9,3.1,33.1,4
69,70,Michael Crabtree,SFO,22,WR,11,11,86,48,55.8%,625,13.0,2,28,50,7.3,4.4,56.8,1
70,71,Fred Davis,WAS,23,TE,16,10,76,48,63.2%,509,10.6,6,31,29,6.7,3.0,31.8,0
71,72,Jeremy Shockey,NOR,29,TE,13,12,67,48,71.6%,569,11.9,3,29,66,8.5,3.7,43.8,0
72,73,Mike Thomas,JAX,22,,14,4,62,48,77.4%,453,9.4,1,28,28,7.3,3.4,32.4,1
73,74,Donnie Avery,STL,25,WR,16,16,97,47,48.5%,589,12.5,5,24,50,6.1,2.9,36.8,2
