,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,49,Tre Boston,ARI,26,db,14,13,3,9,0,9,9,1,0,1,0,0,0.0,79,66,13,1,3,
52,50,Bradley McDougald,SEA,28,SS,16,16,3,39,0,39,9,3,0,1,0,0,0.0,78,66,12,4,0,
53,51,Adrian Phillips*+,LAC,26,db,16,7,1,0,0,0,9,1,0,0,0,0,0.0,94,65,29,4,1,
54,52,Jayon Brown,TEN,23,RILB,16,9,1,22,1,22,6,2,0,1,7,0,6.0,97,64,33,8,10,
55,53,Quandre Diggs,DET,25,SS,16,16,3,41,1,37,8,,,,,,0.0,78,64,14,3,1,
56,54,Kendall Fuller,KAN,23,LCB,15,15,2,0,0,0,12,1,0,0,0,0,0.0,82,64,18,1,0,
57,55,Ron Parker,KAN,31,FS,15,14,2,33,1,33,5,,,,,,1.0,77,64,13,1,1,
58,56,Vonn Bell,NOR,24,ss,16,8,0,0,0,0,3,1,0,1,0,0,1.0,89,63,26,4,3,
59,57,De'Vondre Campbell,ATL,25,MLB,16,13,,,,,,,,,,,1.5,94,63,31,4,3,
60,58,Jeff Heath,DAL,27,SS,16,16,1,49,0,49,5,1,0,0,0,0,0.0,85,63,22,6,0,
61,59,Donte Jackson,CAR,23,RCB,16,16,4,0,0,0,9,1,0,0,0,0,1.0,74,63,11,4,1,
62,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
63,60,Eric Kendricks,MIN,26,MLB,14,14,2,3,0,3,7,1,0,1,0,0,1.0,108,63,45,3,1,
64,61,T.J. McDonald,MIA,27,FS,14,14,3,41,0,31,5,0,0,1,0,0,0.0,86,63,23,1,0,
65,62,Benardrick McKinney*,HOU,26,LILB,16,16,1,0,0,0,7,1,0,0,0,0,1.5,105,63,42,5,5,
66,63,Kenny Moore,IND,23,LCB,15,15,3,52,0,32,11,1,0,0,0,0,1.5,77,63,14,4,2,
67,64,Curtis Riley,NYG,26,FS,16,16,4,67,1,46,5,,,,,,0.0,75,63,12,0,1,
68,65,Eli Apple,2TM,23,,15,15,2,29,0,29,14,1,0,2,2,0,0.0,75,62,13,0,0,
69,66,Kevin Byard ,TEN,25,FS,16,16,4,1,0,1,8,,,,,,2.0,90,62,28,3,5,
70,67,Jalen Ramsey*,JAX,24,LCB,16,16,3,0,0,0,13,,,,,,0.0,65,62,3,2,0,
71,68,Nick Vigil,CIN,25,LLB,11,10,0,0,0,0,3,0,0,1,0,0,0.0,84,62,22,5,1,
72,69,Jaire Alexander,GNB,21,LCB,13,11,1,27,0,27,11,0,2,2,0,0,0.5,66,61,5,3,1,
73,70,Jatavis Brown,LAC,24,LLB,15,10,0,0,0,0,5,1,0,0,0,0,1.0,97,61,36,4,1,
74,71,Clayton Geathers,IND,26,SS,12,12,0,0,0,0,3,1,0,0,0,0,0.0,89,61,28,1,2,
75,72,Jordan Hicks,PHI,26,MLB,12,12,0,0,0,0,5,0,0,1,13,0,3.0,91,61,30,5,6,
76,73,Jordan Whitehead,TAM,21,SS,15,11,0,0,0,0,4,,,,,,0.0,76,61,15,4,0,
77,74,Malcolm Butler,TEN,28,db,16,11,3,90,1,56,12,1,0,0,0,0,1.0,69,60,9,4,1,
78,75,Pierre Desir,IND,28,RCB,16,12,1,1,0,1,8,2,0,1,0,0,0.0,79,60,19,2,0,
79,76,Damontae Kazee,ATL,25,SS,16,15,7,54,0,33,10,1,0,0,0,0,0.0,82,60,22,1,0,
80,77,Adrian Amos,CHI,25,FS,16,16,2,27,0,26,9,0,0,1,15,0,1.0,73,59,14,2,1,
81,78,Sean Davis,PIT,25,FS,15,15,1,27,0,27,7,,,,,,0.0,80,59,21,0,1,
82,79,Janoris Jenkins ,NYG,30,RCB,16,16,2,29,0,29,15,1,0,0,0,0,0.0,70,59,11,2,0,
83,80,Devin McCourty,NWE,31,FS,16,16,1,84,1,84,4,1,0,2,14,0,0.0,82,59,23,1,0,
84,81,James Bradberry ,CAR,25,LCB,16,16,1,29,0,29,15,1,0,0,0,0,1.0,70,58,12,1,1,
85,82,T.J. Carrie ,CLE,28,RCB,16,8,1,0,0,0,8,2,0,1,0,0,1.0,74,58,16,3,1,
86,83,Lamarcus Joyner,LAR,28,FS,15,15,1,5,0,5,3,0,0,1,0,0,1.0,78,58,20,3,1,
87,84,Steven Nelson,KAN,25,RCB,16,16,4,53,0,35,15,,,,,,0.0,68,58,10,2,0,
88,85,Alec Ogletree,NYG,27,RILB,13,13,5,61,2,20,8,,,,,,1.0,93,58,35,6,4,
89,86,Glover Quin,DET,32,FS,16,16,0,0,0,0,3,,,,,,1.0,74,58,16,1,2,
90,87,Prince Amukamara,CHI,29,RCB,15,15,3,58,1,49,12,2,0,0,0,0,0.0,66,57,9,3,0,
91,88,Chidobe Awuzie,DAL,23,LCB,15,14,1,0,0,0,11,1,0,0,0,0,0.0,71,57,14,0,0,
92,89,Jerome Baker,MIA,22,RLB,16,11,1,25,1,25,3,0,1,0,0,0,3.0,79,57,22,4,4,
93,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
94,90,Reshad Jones,MIA,30,SS,14,13,3,109,1,54,9,,,,,,0.0,72,57,15,4,1,
95,91,Joe Schobert,CLE,25,MLB,13,13,1,0,0,0,6,2,0,2,52,0,3.0,103,57,46,3,6,
96,92,Byron Jones*,DAL,26,RCB,16,16,0,0,0,0,14,,,,,,0.0,67,56,11,2,0,
97,93,Foyesade Oluokun,ATL,23,mlb,16,7,0,0,0,0,1,1,0,0,0,0,0.0,91,56,35,2,2,
98,94,Lorenzo Alexander,BUF,35,LLB,16,8,2,9,0,8,9,2,0,1,0,0,6.5,74,55,19,11,10,
99,95,Terrell Edmunds,PIT,21,SS,16,15,1,35,0,35,4,0,0,1,0,0,1.0,78,55,23,1,3,
100,96,Tre Flowers,SEA,23,RCB,15,15,0,0,0,0,6,3,0,2,0,0,0.0,67,55,12,0,0,
101,97,Shaquill Griffin ,SEA,23,LCB,16,16,2,8,0,8,8,,,,,,0.0,62,55,7,3,0,
102,98,Desmond Trufant,ATL,28,RCB,16,16,0,0,0,0,12,,,,,,1.0,66,55,11,1,1,
103,99,Kyle Van Noy,NWE,27,MLB,16,16,1,0,0,0,2,1,0,2,46,1,3.5,92,55,37,5,10,
104,100,Darqueze Dennard ,CIN,27,db,13,9,0,0,0,0,6,2,0,1,0,0,0.0,68,54,14,1,0,
105,101,Elijah Lee,SFO,22,rlb,16,5,0,0,0,0,2,1,0,1,0,0,1.0,65,54,11,3,1,
106,102,Jason McCourty,NWE,31,LCB,16,12,1,0,0,0,10,1,0,0,0,0,0.0,70,54,16,1,0,
107,103,Logan Ryan,TEN,27,LCB,14,14,0,0,0,0,8,,,,,,4.0,76,54,22,4,5,
108,104,Eric Weddle *,BAL,33,FS,16,16,0,0,0,0,3,,,,,,1.0,68,54,14,2,4,
109,105,Calais Campbell*,JAX,32,RDE,16,16,0,0,0,0,2,1,0,1,0,0,10.5,72,53,19,20,22,
110,106,Tony Jefferson,BAL,26,SS,14,14,1,15,0,15,6,1,0,1,0,0,1.0,74,53,21,6,2,
111,107,Brian Poole,ATL,26,RLB,16,9,3,2,0,2,6,0,0,2,0,0,3.0,74,53,21,4,5,
112,108,Haason Reddick ,ARI,24,LLB,16,12,0,0,0,0,5,1,0,0,0,0,4.0,80,53,27,8,6,
113,109,Jahleel Addae,LAC,28,SS,16,16,1,19,0,19,3,0,1,1,0,0,1.0,75,52,23,1,1,
114,110,Josh Bynes,ARI,29,MLB,11,11,0,0,0,0,5,0,0,1,23,1,2.0,75,52,23,5,3,
115,111,Patrick Chung,NWE,31,SS,15,14,1,2,0,2,3,0,0,1,0,0,0.5,84,52,32,1,2,
116,112,Damon Harrison,2TM,30,,17,16,0,0,0,0,1,2,0,1,0,0,3.5,81,52,29,9,8,
117,113,Rashaan Melvin,OAK,29,lcb,14,7,1,15,0,15,9,,,,,,0.0,56,52,4,1,0,
118,114,Matt Milano,BUF,24,RLB,13,13,3,41,0,29,7,0,0,3,0,0,1.0,78,52,26,12,3,
119,115,Jabrill Peppers ,CLE,23,FS,16,16,1,0,0,0,5,0,2,3,32,0,1.0,79,52,27,5,4,
120,116,Buster Skrine,NYJ,29,db,14,11,0,0,0,0,8,1,0,1,0,0,0.5,58,52,6,4,2,
121,117,B.W. Webb,NYG,28,LCB,16,13,1,0,0,0,6,1,0,0,0,0,1.0,59,52,7,2,2,
122,118,Minkah Fitzpatrick,MIA,22,ss,16,11,2,64,1,50,9,,,,,,0.0,80,51,29,2,0,
123,119,Joe Haden,PIT,29,LCB,15,15,2,0,0,0,12,1,0,0,0,0,0.0,63,51,12,2,0,
124,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
125,120,Danielle Hunter*,MIN,24,LDE,16,16,,,,,,0,0,1,32,1,14.5,72,51,21,21,19,
126,121,Shaq Thompson,CAR,24,LLB,14,11,0,0,0,0,1,1,0,0,0,0,3.5,80,51,29,4,6,
127,122,Bobby McCain,MIA,25,RCB,14,13,1,0,0,0,5,,,,,,2.0,61,50,11,3,2,
