,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,2018 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
1,Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
2,Steve Wilks,ARI,16,3,13,0,16,3,13,0,16,3,13,0,,,,,,,,,,
3,Dan Quinn,ATL,16,7,9,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,
4,John Harbaugh,BAL,16,10,6,0,202,124,78,0,202,124,78,0,1,0,1,17,10,7,17,10,7,
5,Sean McDermott,BUF,16,6,10,0,59,33,26,0,59,33,26,0,0,0,0,2,0,2,2,0,2,
6,Ron Rivera,CAR,16,7,9,0,140,76,63,1,151,80,70,1,,,,7,3,4,7,3,4,
7,Matt Nagy,CHI,16,12,4,0,43,25,18,0,43,25,18,0,1,0,1,1,0,1,1,0,1,
8,Marvin Lewis,CIN,16,6,10,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
9,Hue Jackson,CLE,8,2,5,1,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
10,Gregg Williams,CLE,8,5,3,0,8,5,3,0,56,22,34,0,,,,,,,0,0,0,
11,Jason Garrett,DAL,16,10,6,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,
12,Vance Joseph,DEN,16,6,10,0,32,11,21,0,32,11,21,0,,,,,,,,,,
13,Matt Patricia,DET,16,6,10,0,43,13,29,1,43,13,29,1,,,,,,,,,,
14,Mike McCarthy,GNB,12,4,7,1,204,125,77,2,215,128,85,2,,,,18,10,8,18,10,8,Fired after Week 13
15,Joe Philbin,GNB,4,2,2,0,4,2,2,0,56,26,30,0,,,,,,,0,0,0,Interim coach after Week 13
16,Bill O'Brien,HOU,16,11,5,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,
17,Frank Reich,IND,16,10,6,0,43,24,19,0,43,24,19,0,2,1,1,2,1,1,2,1,1,
18,Doug Marrone,JAX,16,5,11,0,61,23,38,0,93,38,55,0,,,,3,2,1,3,2,1,
19,Andy Reid,KAN,16,12,4,0,123,87,36,0,347,217,129,1,2,1,1,10,5,5,29,15,14,
20,Anthony Lynn,LAC,16,12,4,0,59,29,30,0,60,29,31,0,2,1,1,2,1,1,2,1,1,
21,Sean McVay,LAR,16,13,3,0,59,40,19,0,59,40,19,0,3,2,1,4,2,2,4,2,2,NFC Champions
22,Adam Gase,MIA,16,7,9,0,48,23,25,0,75,30,45,0,,,,1,0,1,1,0,1,
23,Mike Zimmer,MIN,16,8,7,1,107,62,44,1,107,62,44,1,,,,5,2,3,5,2,3,
24,Sean Payton,NOR,16,13,3,0,219,140,79,0,219,140,79,0,2,1,1,15,8,7,15,8,7,
25,Bill Belichick,NWE,16,11,5,0,331,242,89,0,411,278,133,0,3,3,0,41,30,11,43,31,12,Super Bowl Champions
26,Pat Shurmur,NYG,16,5,11,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,
27,Todd Bowles,NYJ,16,4,12,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
28,Jon Gruden,OAK,16,4,12,0,107,55,52,0,219,112,107,0,,,,4,2,2,9,5,4,
29,Doug Pederson,PHI,16,9,7,0,75,41,33,1,75,41,33,1,2,1,1,6,4,2,6,4,2,
30,Mike Tomlin,PIT,16,9,6,1,218,143,74,1,218,143,74,1,,,,15,8,7,15,8,7,
31,Pete Carroll,SEA,16,10,6,0,171,108,62,1,235,141,93,1,1,0,1,17,10,7,20,11,9,
32,Kyle Shanahan,SFO,16,4,12,0,59,28,31,0,59,28,31,0,,,,3,2,1,3,2,1,
33,Dirk Koetter,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,
34,Mike Vrabel,TEN,16,9,7,0,43,26,17,0,43,26,17,0,,,,3,2,1,3,2,1,
35,Jay Gruden,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
