,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Ka'imi Fairbairn,HOU,24,,16,0,1,1,9,9,11,11,15,12,6,4,42,37,54,88.1%,41,39,95.1%,92,5885,58,63.0%,64.0,,,,,
3,2,Justin Tucker+,BAL,29,,16,0,,,12,12,9,9,11,9,7,5,39,35,56,89.7%,37,36,97.3%,92,5765,58,63.0%,62.7,,,,,
4,3,Mason Crosby,GNB,34,,16,0,,,4,4,11,10,15,11,7,5,37,30,53,81.1%,36,34,94.4%,83,5168,41,49.4%,62.3,,,,,
5,4,Brett Maher,DAL,29,,16,0,,,10,10,8,6,11,7,7,6,36,29,62,80.6%,33,32,97.0%,77,4984,52,67.5%,64.7,,,,,
6,5,Jason Myers*,NYJ,27,,16,0,,,4,4,13,12,12,11,7,6,36,33,56,91.7%,33,30,90.9%,82,5255,60,73.2%,64.1,,,,,
7,6,Robbie Gould,SFO,36,,16,0,,,9,9,13,13,10,9,2,2,34,33,53,97.1%,29,27,93.1%,4,102,,,25.5,,,,,
8,7,Aldrick Rosas*,NYG,24,,16,0,,,9,9,13,13,6,6,5,4,33,32,57,97.0%,32,31,96.9%,85,5186,51,60.0%,61.0,,,,,
9,8,Stephen Gostkowski,NWE,34,,16,0,,,11,11,10,10,6,4,5,2,32,27,52,84.4%,50,49,98.0%,93,5784,50,53.8%,62.2,,,,,
10,9,Matt Prater,DET,34,,16,0,,,8,8,12,12,7,5,5,3,32,28,54,87.5%,30,30,100.0%,6,343,3,50.0%,57.2,,,,,
11,10,Jake Elliott,PHI,23,,16,0,,,7,7,11,10,8,7,5,2,31,26,56,83.9%,35,33,94.3%,82,5210,57,69.5%,63.5,,,,,
12,11,Greg Zuerlein,LAR,31,,11,0,,,9,9,10,10,6,4,6,4,31,27,56,87.1%,36,35,97.2%,75,4843,57,76.0%,64.6,,,,,
13,12,Wil Lutz,NOR,24,,16,0,1,1,5,5,9,9,12,11,3,2,30,28,54,93.3%,53,52,98.1%,101,6503,64,63.4%,64.4,,,,,
14,13,Cody Parkey,CHI,26,,16,0,,,6,6,10,7,12,9,2,1,30,23,50,76.7%,45,42,93.3%,89,5627,65,73.0%,63.2,,,,,
15,14,Ryan Succop,TEN,32,,16,0,,,6,5,13,13,7,5,4,3,30,26,54,86.7%,31,28,90.3%,70,4480,45,64.3%,64.0,,,,,
16,15,Dustin Hopkins ,WAS,28,,16,0,,,5,5,7,7,12,10,5,4,29,26,56,89.7%,26,25,96.2%,70,4443,56,80.0%,63.5,,,,,
17,16,Dan Bailey,MIN,30,,14,0,,,6,5,11,11,9,4,2,1,28,21,52,75.0%,31,30,96.8%,69,4164,35,50.7%,60.3,,,,,
18,17,Stephen Hauschka,BUF,33,,16,0,,,3,3,8,8,10,7,7,4,28,22,54,78.6%,26,25,96.2%,66,3958,30,45.5%,60.0,,,,,
19,18,Harrison Butker,KAN,23,,16,0,,,9,9,7,7,7,6,4,2,27,24,54,88.9%,69,65,94.2%,110,7000,72,65.5%,63.6,,,,,
20,19,Sebastian Janikowski,SEA,40,,16,0,,,2,2,11,9,9,8,5,3,27,22,56,81.5%,51,48,94.1%,74,4648,42,56.8%,62.8,,,,,
21,20,Adam Vinatieri,IND,46,,16,0,,,8,8,7,6,6,5,6,4,27,23,54,85.2%,47,44,93.6%,,,,,,,,,,
22,21,Brandon McManus,DEN,27,,16,0,,,5,5,6,6,7,7,7,2,25,20,53,80.0%,35,35,100.0%,73,4473,42,57.5%,61.3,,,,,
23,22,Randy Bullock,CIN,29,,16,0,,,4,4,8,7,6,6,5,2,23,19,51,82.6%,41,39,95.1%,79,4969,45,57.0%,62.9,,,,,
24,23,Matt Bryant,ATL,43,,13,0,,,4,4,5,5,7,7,5,4,21,20,57,95.2%,35,33,94.3%,,,,,,,,,,
25,24,Daniel Carlson,2TM,23,,12,0,,,2,2,4,3,12,9,3,3,21,17,50,81.0%,24,24,100.0%,54,3334,29,53.7%,61.7,,,,,
26,25,Josh Lambo,JAX,28,,13,0,,,4,4,8,8,4,3,5,4,21,19,57,90.5%,20,19,95.0%,54,3283,36,66.7%,60.8,,,,,
27,26,Chris Boswell,PIT,27,,15,0,,,3,3,6,4,10,5,1,1,20,13,50,65.0%,48,43,89.6%,81,5097,50,61.7%,62.9,,,,,
28,27,Chandler Catanzaro,2TM,27,,13,0,,,4,4,10,9,3,,3,3,20,16,59,80.0%,35,30,85.7%,65,4118,52,80.0%,63.4,,,,,
