,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Andre Roberts*+,NYJ,30,,16,1,23,324,1,78,14.1,40,1174,1,99,29.4,1597
3,2,Alex Erickson ,CIN,26,WR,16,6,20,212,0,38,10.6,40,1049,0,77,26.2,1450
4,3,Ryan Switzer,PIT,24,,16,1,30,252,0,23,8.4,30,607,0,35,20.2,1133
5,4,Dwayne Harris,OAK,31,,15,1,20,281,1,99,14.1,29,663,0,34,22.9,996
6,5,DeAndre Carter ,2TM,25,,14,4,26,249,0,42,9.6,19,425,0,30,22.4,897
7,6,Desmond King+,LAC,24,DB,16,8,23,318,1,73,13.8,22,522,0,40,23.7,915
8,7,Tyler Lockett,SEA,26,WR,16,14,25,143,0,19,5.7,19,493,0,84,25.9,1670
9,8,Jabrill Peppers ,CLE,23,FS,16,16,25,219,0,33,8.8,19,408,0,29,21.5,659
10,9,Tarik Cohen*+,CHI,23,RB,16,7,33,411,0,44,12.5,2,22,0,22,11.0,1599
11,10,Richie James,SFO,23,,13,2,12,75,0,23,6.3,23,580,1,97,25.2,785
12,11,Tremon Smith,KAN,22,,14,1,,,,,,33,886,0,97,26.8,886
13,12,Jakeem Grant,MIA,26,,10,2,14,228,1,71,16.3,18,535,1,102,29.7,1036
14,13,Jojo Natson,LAR,24,,13,0,26,280,0,60,10.8,6,108,0,24,18.0,388
15,14,Tyler Ervin ,HOU,25,,9,0,21,175,0,27,8.3,10,253,0,36,25.3,463
16,15,Isaiah McKenzie,2TM,23,,8,1,16,100,0,21,6.3,12,237,0,33,19.8,582
17,16,Marvin Hall,ATL,25,,16,0,1,0,0,0,0.0,26,616,0,53,23.7,765
18,17,Marcus Sherels,MIN,31,,12,0,23,276,0,70,12.0,2,34,0,17,17.0,310
19,18,Corey Coleman,NYG,24,,8,1,1,19,0,19,19.0,23,598,0,51,26.0,693
20,19,Cyrus Jones,2TM,25,,13,0,23,304,1,70,13.2,1,12,0,12,12.0,316
21,20,Chester Rogers,IND,24,WR,16,10,23,215,0,51,9.3,1,10,0,10,10.0,706
22,21,Adam Humphries,TAM,25,WR,16,10,21,139,0,16,6.6,2,17,0,13,8.5,983
23,22,Cordarrelle Patterson,NWE,27,wr,15,5,,,,,,23,663,1,95,28.8,1138
24,23,Justin Hardy ,ATL,27,,16,0,20,147,0,18,7.4,2,7,0,7,3.5,287
25,24,Darius Jennings,TEN,26,,16,0,,,,,,22,698,1,94,31.7,801
26,25,Chris Moore,BAL,25,,16,0,,,,,,22,491,0,39,22.3,704
27,26,Dede Westbrook,JAX,25,wr,16,9,19,266,1,74,14.0,3,37,0,16,12.3,1118
28,27,Pharoh Cooper,2TM,23,,7,0,8,79,0,45,9.9,13,277,0,28,21.3,356
29,28,Christian Kirk,ARI,22,WR,12,7,21,164,0,44,7.8,,,,,,789
30,29,Jamal Agnew,DET,23,,6,0,12,57,0,16,4.8,8,216,0,45,27.0,290
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Julian Edelman,NWE,32,WR,12,12,20,154,0,25,7.7,,,,,,1111
33,31,Tyreek Hill*+,KAN,24,WR,16,16,20,213,1,91,10.7,,,,,,1843
34,32,Corey Clement,PHI,24,,11,0,6,17,0,10,2.8,13,333,0,48,25.6,801
35,33,Jawill Davis,NYG,23,,7,0,12,89,0,23,7.4,7,171,0,32,24.4,300
36,34,Jaydon Mickens,JAX,24,,6,0,12,59,0,16,4.9,6,149,0,31,24.8,208
37,35,Blake Countess,LAR,25,,16,1,,,,,,17,419,0,40,24.6,419
38,36,Kenjon Barner,2TM,29,,9,0,7,29,0,13,4.1,9,220,0,37,24.4,323
39,37,Adoree' Jackson ,TEN,23,RCB,16,13,16,148,0,26,9.3,,,,,,155
40,38,Alvin Kamara*,NOR,23,RB,15,13,12,82,0,16,6.8,4,126,0,50,31.5,1800
41,39,River Cracraft,DEN,24,,8,0,12,40,0,20,3.3,3,43,0,23,14.3,127
42,40,Taysom Hill,NOR,28,,16,4,1,0,0,0,0.0,14,348,0,47,24.9,546
43,41,Marcus Murphy,BUF,27,,11,1,2,15,0,9,7.5,13,324,0,49,24.9,615
44,42,Tim White,BAL,24,,3,0,9,75,0,14,8.3,6,135,0,37,22.5,224
45,43,Ameer Abdullah,2TM,25,,10,0,,,,,,14,365,0,33,26.1,394
46,44,Quadree Henderson,NYG,22,,5,0,9,68,0,21,7.6,5,112,0,30,22.4,180
47,45,Adam Jones,DEN,35,,7,2,10,25,0,10,2.5,4,85,0,25,21.3,110
48,46,Zach Pascal,IND,24,,16,4,,,,,,14,297,0,29,21.2,575
49,47,Greg Stroman,WAS,22,,15,3,8,27,0,10,3.4,6,110,0,23,18.3,160
50,48,Damiere Byrd ,CAR,25,,8,0,11,104,0,30,9.5,2,34,0,22,17.0,146
51,49,Antonio Callaway,CLE,21,WR,16,11,5,61,0,37,12.2,8,143,0,35,17.9,797
52,50,Cole Beasley,DAL,29,,16,4,11,61,0,14,5.5,1,8,0,8,8.0,741
53,51,Danny Johnson,WAS,23,,14,1,,,,,,12,283,0,44,23.6,283
54,52,T.J. Jones,DET,26,,15,3,8,87,0,25,10.9,4,81,0,22,20.3,358
55,53,T.J. Logan,ARI,24,,10,0,,,,,,12,296,0,36,24.7,335
56,54,Tramon Williams,GNB,35,SS,16,16,12,83,0,23,6.9,,,,,,83
57,55,Danny Amendola,MIA,33,WR,15,15,11,59,0,12,5.4,,,,,,632
58,56,Dontrell Hilliard,CLE,23,,11,0,,,,,,11,264,0,31,24.0,369
59,57,Tommylee Lewis,NOR,26,,7,3,8,60,0,17,7.5,3,69,0,26,23.0,199
60,58,D.J. Moore,CAR,21,WR,16,10,6,32,0,15,5.3,5,119,0,32,23.8,1111
61,59,D.J. Reed,SFO,22,,15,2,,,,,,11,332,0,90,30.2,332
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Darren Sproles ,PHI,35,,6,2,10,83,0,14,8.3,1,2,0,2,2.0,365
64,61,Trent Taylor,SFO,24,,14,0,10,78,0,18,7.8,1,15,0,15,15.0,308
