,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 7,Houston Texans,,Cincinnati Bengals,boxscore,31,10
1,WildCard,Sat,January 7,New Orleans Saints,,Detroit Lions,boxscore,45,28
2,WildCard,Sun,January 8,Denver Broncos,,Pittsburgh Steelers,boxscore,29,23
3,WildCard,Sun,January 8,New York Giants,,Atlanta Falcons,boxscore,24,2
4,Division,Sat,January 14,New England Patriots,,Denver Broncos,boxscore,45,10
5,Division,Sat,January 14,San Francisco 49ers,,New Orleans Saints,boxscore,36,32
6,Division,Sun,January 15,Baltimore Ravens,,Houston Texans,boxscore,20,13
7,Division,Sun,January 15,New York Giants,@,Green Bay Packers,boxscore,37,20
8,ConfChamp,Sun,January 22,New England Patriots,,Baltimore Ravens,boxscore,23,20
9,ConfChamp,Sun,January 22,New York Giants,@,San Francisco 49ers,boxscore,20,17
10,SuperBowl,Sun,February 5,New York Giants,N,New England Patriots,boxscore,21,17
