,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Wes Welker*+,NWE,30,WR,16,15,173,122,70.5%,1569,12.9,9,77,99,9.1,7.6,98.1,1
1,2,Roddy White*,ATL,30,WR,16,16,180,100,55.6%,1296,13.0,8,77,43,7.2,6.3,81.0,0
2,3,Jimmy Graham*,NOR,25,TE,16,11,149,99,66.4%,1310,13.2,11,74,59,8.8,6.2,81.9,1
3,4,Calvin Johnson *+,DET,26,WR,16,16,158,96,60.8%,1681,17.5,16,76,73,10.6,6.0,105.1,1
4,5,Rob Gronkowski *+,NWE,22,TE,16,16,124,90,72.6%,1327,14.7,17,69,52,10.7,5.6,82.9,0
5,6,Percy Harvin,MIN,23,WR,16,14,121,87,71.9%,967,11.1,6,47,52,8.0,5.4,60.4,2
6,7,Darren Sproles ,NOR,28,rb,16,4,111,86,77.5%,710,8.3,7,35,39,6.4,5.4,44.4,1
7,8,Brandon Pettigrew,DET,26,TE,16,16,126,83,65.9%,777,9.4,5,38,27,6.2,5.2,48.6,0
8,9,Victor Cruz,NYG,25,wr,16,7,131,82,62.6%,1536,18.7,9,59,99,11.7,5.1,96.0,1
9,10,Dwayne Bowe,KAN,27,WR,16,14,142,81,57.0%,1159,14.3,5,56,52,8.2,5.1,72.4,1
10,11,Brandon Marshall*,MIA,27,WR,16,16,141,81,57.4%,1214,15.0,6,53,65,8.6,5.1,75.9,1
11,12,Marques Colston,NOR,28,wr,14,7,107,80,74.8%,1143,14.3,8,56,50,10.7,5.7,81.6,1
12,13,Larry Fitzgerald*,ARI,28,WR,16,16,154,80,51.9%,1411,17.6,8,60,73,9.2,5.0,88.2,0
13,14,Tony Gonzalez*,ATL,35,TE,16,16,116,80,69.0%,875,10.9,7,53,30,7.5,5.0,54.7,0
14,15,Aaron Hernandez,NWE,22,TE,14,12,113,79,69.9%,910,11.5,7,47,46,8.1,5.6,65.0,1
15,16,Steve Smith*,CAR,32,WR,16,16,129,79,61.2%,1394,17.6,7,53,77,10.8,4.9,87.1,3
16,17,Jason Witten,DAL,29,TE,16,16,117,79,67.5%,942,11.9,5,47,64,8.1,4.9,58.9,1
17,18,Steve Johnson,BUF,25,WR,16,16,134,76,56.7%,1004,13.2,7,44,55,7.5,4.8,62.8,0
18,19,Hakeem Nicks,NYG,23,WR,15,15,133,76,57.1%,1192,15.7,7,54,68,9.0,5.1,79.5,0
19,20,Ray Rice*,BAL,24,RB,16,16,104,76,73.1%,704,9.3,3,30,52,6.8,4.8,44.0,2
20,21,Reggie Wayne,IND,33,WR,16,16,132,75,56.8%,960,12.8,4,50,56,7.3,4.7,60.0,0
21,22,Kellen Winslow,TAM,28,TE,16,15,123,75,61.0%,763,10.2,2,40,37,6.2,4.7,47.7,2
22,23,Nate Washington,TEN,28,WR,16,15,121,74,61.2%,1023,13.8,7,47,57,8.5,4.6,63.9,0
23,24,Nate Burleson,DET,30,WR,16,11,110,73,66.4%,757,10.4,3,36,47,6.9,4.6,47.3,1
24,25,Michael Crabtree,SFO,24,WR,15,14,115,72,62.6%,874,12.1,4,40,52,7.6,4.8,58.3,0
25,26,Mike Wallace*,PIT,25,WR,16,14,114,72,63.2%,1193,16.6,8,53,95,10.5,4.5,74.6,1
26,27,Pierre Garcon,IND,25,WR,16,16,134,70,52.2%,947,13.5,6,42,87,7.1,4.4,59.2,2
27,28,Brandon Lloyd,2TM,30,,15,14,148,70,47.3%,966,13.8,5,0,44,6.5,4.7,64.4,1
28,29,Antonio Brown *,PIT,23,wr,16,3,124,69,55.6%,1108,16.1,2,57,79,8.9,4.3,69.3,0
29,30,Jabar Gaffney,WAS,31,WR,16,15,114,68,59.6%,947,13.9,5,50,45,8.3,4.3,59.2,1
30,31,Jordy Nelson,GNB,26,WR,16,9,96,68,70.8%,1263,18.6,15,47,93,13.2,4.3,78.9,0
31,32,Vernon Davis ,SFO,27,TE,16,16,95,67,70.5%,792,11.8,6,33,44,8.3,4.2,49.5,3
32,33,Greg Jennings*,GNB,28,WR,13,13,101,67,66.3%,949,14.2,9,43,79,9.4,5.2,73.0,0
33,34,A.J. Green*,CIN,23,WR,15,15,115,65,56.5%,1057,16.3,7,40,58,9.2,4.3,70.5,1
34,35,Dustin Keller,NYJ,27,TE,16,12,115,65,56.5%,815,12.5,5,39,41,7.1,4.1,50.9,1
35,36,Mike Williams,TAM,24,WR,16,15,124,65,52.4%,771,11.9,3,42,42,6.2,4.1,48.2,2
36,37,Antonio Gates*,SDG,31,TE,13,13,88,64,72.7%,778,12.2,7,45,38,8.8,4.9,59.8,0
37,38,Darrius Heyward-Bey,OAK,24,WR,15,14,115,64,55.7%,975,15.2,4,44,58,8.5,4.3,65.0,1
38,39,Dez Bryant,DAL,23,WR,15,13,103,63,61.2%,928,14.7,9,48,50,9.0,4.2,61.9,3
39,40,Jeremy Maclin,PHI,23,WR,13,13,96,63,65.6%,859,13.6,5,43,59,8.9,4.8,66.1,1
40,41,Brent Celek,PHI,26,TE,16,16,98,62,63.3%,811,13.1,5,35,73,8.3,3.9,50.7,0
41,42,Steve Breaston,KAN,28,WR,16,13,98,61,62.2%,785,12.9,2,39,43,8.0,3.8,49.1,0
42,43,Greg Little,CLE,22,WR,16,12,119,61,51.3%,709,11.6,2,34,76,6.0,3.8,44.3,0
43,44,David Nelson,BUF,25,TE,16,13,97,61,62.9%,658,10.8,5,32,35,6.8,3.8,41.1,0
44,45,Vincent Jackson*,SDG,28,WR,16,16,115,60,52.2%,1106,18.4,9,54,58,9.6,3.8,69.1,0
45,46,Fred Davis,WAS,25,TE,12,12,88,59,67.0%,796,13.5,3,39,42,9.0,4.9,66.3,1
46,47,DeSean Jackson,PHI,25,WR,15,15,104,58,55.8%,961,16.6,4,39,62,9.2,3.9,64.1,1
47,48,Anquan Boldin,BAL,31,WR,14,14,106,57,53.8%,887,15.6,3,43,56,8.4,4.1,63.4,1
48,49,Chris Johnson ,TEN,26,RB,16,16,79,57,72.2%,418,7.3,0,14,34,5.3,3.6,26.1,3
49,50,Jermaine Gresham*,CIN,23,TE,14,13,92,56,60.9%,596,10.6,6,29,31,6.5,4.0,42.6,1
50,51,Jermichael Finley,GNB,24,TE,16,13,92,55,59.8%,767,13.9,8,45,41,8.3,3.4,47.9,0
51,52,Austin Collie,IND,26,wr,16,5,96,54,56.3%,514,9.5,1,35,27,5.4,3.4,32.1,0
52,53,Owen Daniels,HOU,29,TE,15,15,85,54,63.5%,677,12.5,3,41,34,8.0,3.6,45.1,0
53,54,Ed Dickson,BAL,24,TE,16,16,89,54,60.7%,528,9.8,5,30,25,5.9,3.4,33.0,0
54,55,Early Doucet,ARI,26,wr,16,6,97,54,55.7%,689,12.8,5,35,70,7.1,3.4,43.1,1
55,56,Julio Jones ,ATL,22,WR,13,13,95,54,56.8%,959,17.8,8,36,80,10.1,4.2,73.8,1
56,57,Laurent Robinson,DAL,26,,14,4,80,54,67.5%,858,15.9,11,36,74,10.7,3.9,61.3,0
57,58,Mike Tolbert,SDG,26,,15,1,79,54,68.4%,433,8.0,2,23,27,5.5,3.6,28.9,2
58,59,Arian Foster *,HOU,25,RB,13,13,72,53,73.6%,617,11.6,2,19,78,8.6,4.1,47.5,6
59,60,Jason Avant,PHI,28,WR,16,7,81,52,64.2%,679,13.1,1,32,35,8.4,3.3,42.4,2
60,61,Matt Forte *,CHI,26,RB,12,12,76,52,68.4%,490,9.4,1,20,56,6.4,4.3,40.8,2
61,62,Lance Moore,NOR,28,wr,14,7,73,52,71.2%,627,12.1,8,35,47,8.6,3.7,44.8,0
62,63,Doug Baldwin ,SEA,23,,16,1,85,51,60.0%,788,15.5,4,40,55,9.3,3.2,49.3,0
63,64,Davone Bess,MIA,26,,16,4,86,51,59.3%,537,10.5,3,25,41,6.2,3.2,33.6,5
64,65,Deion Branch,NWE,32,WR,15,15,90,51,56.7%,702,13.8,5,37,63,7.8,3.4,46.8,0
65,66,Santonio Holmes,NYJ,27,WR,16,16,101,51,50.5%,654,12.8,8,34,38,6.5,3.2,40.9,2
66,67,Heath Miller,PIT,29,TE,16,16,74,51,68.9%,631,12.4,2,36,39,8.5,3.2,39.4,1
67,68,Andre Roberts,ARI,23,WR,16,16,98,51,52.0%,586,11.5,2,28,45,6.0,3.2,36.6,1
68,69,Ryan Mathews*,SDG,24,RB,14,14,59,50,84.7%,455,9.1,0,18,42,7.7,3.6,32.5,5
69,70,Jerome Simpson,CIN,25,WR,16,14,105,50,47.6%,725,14.5,4,33,84,6.9,3.1,45.3,0
70,71,Torrey Smith,BAL,22,WR,16,14,95,50,52.6%,841,16.8,7,34,74,8.9,3.1,52.6,1
