,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 7,Houston Texans,,Oakland Raiders,boxscore,27,14
1,WildCard,Sat,January 7,Seattle Seahawks,,Detroit Lions,boxscore,26,6
2,WildCard,Sun,January 8,Green Bay Packers,,New York Giants,boxscore,38,13
3,WildCard,Sun,January 8,Pittsburgh Steelers,,Miami Dolphins,boxscore,30,12
4,Division,Sat,January 14,Atlanta Falcons,,Seattle Seahawks,boxscore,36,20
5,Division,Sat,January 14,New England Patriots,,Houston Texans,boxscore,34,16
6,Division,Sun,January 15,Green Bay Packers,@,Dallas Cowboys,boxscore,34,31
7,Division,Sun,January 15,Pittsburgh Steelers,@,Kansas City Chiefs,boxscore,18,16
8,ConfChamp,Sun,January 22,Atlanta Falcons,,Green Bay Packers,boxscore,44,21
9,ConfChamp,Sun,January 22,New England Patriots,,Pittsburgh Steelers,boxscore,36,17
10,SuperBowl,Sun,February 5,New England Patriots,N,Atlanta Falcons,boxscore,34,28
