,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Larry Fitzgerald*,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,60,33,6.8,6.7,63.9,2
1,2,Antonio Brown *+,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,64,51,8.3,7.1,85.6,0
2,3,Odell Beckham Jr.*,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,66,75,8.1,6.3,85.4,3
3,4,Julian Edelman,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,56,77,7.0,6.1,69.1,3
4,5,Jordy Nelson,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,62,60,8.3,6.1,78.6,1
5,6,Mike Evans*,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,82,45,7.6,6.0,82.6,0
6,7,Doug Baldwin *,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,51,59,9.0,5.9,70.5,1
7,8,Jarvis Landry *,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,53,71,8.7,5.9,71.0,2
8,9,Michael Thomas,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,62,46,9.4,6.1,75.8,2
9,10,T.Y. Hilton*,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,66,63,9.3,5.7,90.5,0
10,11,Golden Tate,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,47,67,8.0,5.7,67.3,2
11,12,Demaryius Thomas*,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,50,55,7.5,5.6,67.7,2
12,13,Michael Crabtree,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,56,6.9,5.6,62.7,2
13,14,Dennis Pitta,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,37,30,6.0,5.4,45.6,1
14,15,Travis Kelce*+,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,55,80,9.6,5.3,70.3,0
15,16,Stefon Diggs,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,48,46,8.1,6.5,69.5,0
16,17,Amari Cooper*,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,49,64,8.7,5.2,72.1,2
17,18,Julio Jones *+,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,64,75,10.9,5.9,100.6,0
18,19,Kyle Rudolph ,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,50,44,6.4,5.2,52.5,0
19,20,David Johnson*+,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,42,58,7.3,5.0,54.9,5
20,21,Greg Olsen*,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,54,78,8.3,5.0,67.1,0
21,22,Pierre Garcon,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,53,70,9.1,4.9,65.1,0
22,23,Emmanuel Sanders *,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,50,64,7.5,4.9,64.5,1
23,24,Brandin Cooks,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,46,98,10.0,4.9,73.3,1
24,25,Zach Ertz,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,42,30,7.7,5.6,58.3,0
25,26,DeAndre Hopkins,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,57,51,6.3,4.9,59.6,0
26,27,Terrelle Pryor,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,50,54,7.2,4.8,62.9,1
27,28,Davante Adams,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,46,66,8.2,4.7,62.3,2
28,29,Cole Beasley,DAL,27,WR,16,6,98,75,76.5%,833,11.1,5,51,47,8.5,4.7,52.1,0
29,30,Le'Veon Bell*,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,32,6.6,6.3,51.3,4
30,31,Jordan Matthews,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,38,54,6.9,5.2,57.4,1
31,32,Allen Robinson,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,51,42,5.8,4.6,55.2,1
32,33,Willie Snead ,NOR,24,WR,15,4,104,72,69.2%,895,12.4,4,51,49,8.6,4.8,59.7,2
33,34,Mike Wallace,BAL,30,WR,16,16,116,72,62.1%,1017,14.1,4,43,95,8.8,4.5,63.6,1
34,35,Steve Smith,BAL,37,WR,14,14,101,70,69.3%,799,11.4,5,39,52,7.9,5.0,57.1,0
35,36,Adam Thielen,MIN,26,WR,16,10,92,69,75.0%,967,14.0,5,44,71,10.5,4.3,60.4,2
36,37,Tyrell Williams,SDG,24,WR,16,12,119,69,58.0%,1059,15.3,7,48,51,8.9,4.3,66.2,0
37,38,Jason Witten,DAL,34,TE,16,16,95,69,72.6%,673,9.8,3,34,35,7.1,4.3,42.1,1
38,39,Kenny Britt,LAR,28,WR,15,15,111,68,61.3%,1002,14.7,5,47,66,9.0,4.5,66.8,2
39,40,Anquan Boldin,DET,36,WR,16,16,95,67,70.5%,584,8.7,8,41,35,6.1,4.2,36.5,0
40,41,Jamison Crowder,WAS,23,wr,16,9,99,67,67.7%,847,12.6,7,34,55,8.6,4.2,52.9,2
41,42,A.J. Green*,CIN,28,WR,10,10,100,66,66.0%,964,14.6,4,42,54,9.6,6.6,96.4,0
42,43,Cameron Meredith,CHI,24,WR,14,10,97,66,68.0%,888,13.5,4,44,50,9.2,4.7,63.4,3
43,44,Jordan Reed*,WAS,26,TE,12,8,89,66,74.2%,686,10.4,6,41,33,7.7,5.5,57.2,1
44,45,Jimmy Graham*,SEA,30,TE,16,15,95,65,68.4%,923,14.2,6,45,42,9.7,4.1,57.7,2
45,46,Rishard Matthews,TEN,27,WR,16,9,108,65,60.2%,945,14.5,9,43,60,8.8,4.1,59.1,1
46,47,Sterling Shepard,NYG,23,WR,16,16,105,65,61.9%,683,10.5,8,42,32,6.5,4.1,42.7,0
47,48,Delanie Walker*,TEN,32,TE,15,9,102,65,63.7%,800,12.3,7,35,47,7.8,4.3,53.3,1
48,49,Jeremy Kerley,SFO,28,WR,16,13,115,64,55.7%,667,10.4,3,33,33,5.8,4.0,41.7,4
49,50,Brandon LaFell,CIN,30,WR,16,14,107,64,59.8%,862,13.5,6,42,86,8.1,4.0,53.9,0
50,51,Kelvin Benjamin,CAR,25,WR,16,13,118,63,53.4%,941,14.9,7,50,50,8.0,3.9,58.8,1
51,52,Marqise Lee ,JAX,25,wr,16,6,105,63,60.0%,851,13.5,3,44,51,8.1,3.9,53.2,1
52,53,Eric Ebron,DET,23,TE,13,13,85,61,71.8%,711,11.7,1,37,61,8.4,4.7,54.7,0
53,54,Tyreek Hill*+,KAN,22,,16,1,83,61,73.5%,593,9.7,6,31,49,7.1,3.8,37.1,4
54,55,Randall Cobb,GNB,26,WR,13,10,84,60,71.4%,610,10.2,4,36,47,7.3,4.6,46.9,1
55,56,James White ,NWE,24,rb,16,4,86,60,69.8%,551,9.2,5,26,61,6.4,3.8,34.4,0
56,57,Jack Doyle,IND,26,TE,16,14,75,59,78.7%,584,9.9,5,32,24,7.8,3.7,36.5,1
57,58,Brandon Marshall,NYJ,32,WR,15,15,128,59,46.1%,788,13.4,3,45,41,6.2,3.9,52.5,0
58,59,Mohamed Sanu,ATL,27,WR,15,15,81,59,72.8%,653,11.1,4,33,59,8.1,3.9,43.5,1
