,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Alex Erickson ,CIN,24,,16,0,28,195,0,24,7.0,29,810,0,84,27.9,1076
3,2,Marc Mariani,TEN,29,,16,0,29,235,0,18,8.1,26,560,0,37,21.5,810
4,3,Brandon Tate,BUF,29,,15,1,26,301,0,43,11.6,29,662,0,45,22.8,1128
5,4,Tyreek Hill*+,KAN,22,,16,1,39,592,2,95,15.2,14,384,1,86,27.4,1836
6,5,Andre Roberts,DET,28,,16,1,20,246,2,85,12.3,33,747,0,42,22.6,1181
7,6,Tyler Lockett,SEA,24,WR,15,9,29,243,0,62,8.4,23,606,0,46,26.3,1560
8,7,Dwayne Harris*,NYG,29,,16,1,29,170,0,17,5.9,22,533,0,46,24.2,716
9,8,Jalen Richard,OAK,23,,16,0,34,306,0,47,9.0,17,402,0,50,23.6,1391
10,9,Ted Ginn Jr.,CAR,31,WR,16,8,29,202,0,19,7.0,18,391,0,59,21.7,1443
11,10,Tavon Austin,LAR,26,WR,15,15,44,336,0,47,7.6,1,5,0,5,5.0,1009
12,11,Devin Hester,2TM,34,,12,0,25,180,0,28,7.2,19,466,0,60,24.5,646
13,12,Lucky Whitehead,DAL,24,,15,1,25,195,0,39,7.8,17,394,0,33,23.2,719
14,13,Tyler Ervin ,HOU,23,,12,0,27,261,0,57,9.7,14,263,0,33,18.8,545
15,14,Eric Weems,ATL,31,,16,0,24,273,0,73,11.4,17,391,0,42,23.0,664
16,15,Jakeem Grant,MIA,24,,16,0,20,165,1,74,8.3,19,439,0,45,23.1,605
17,16,Deonte Thompson,CHI,27,wr,16,6,,,,,,35,804,0,64,23.0,1053
18,17,Jalin Marshall,NYJ,21,,10,1,18,100,0,19,5.6,13,324,0,65,24.9,586
19,18,Adam Humphries,TAM,23,wr,15,4,24,237,0,25,9.9,4,47,0,17,11.8,924
20,19,Jordan Norwood,DEN,30,WR,14,6,25,204,0,17,8.2,3,65,0,27,21.7,501
21,20,Jamison Crowder,WAS,23,wr,16,9,27,328,1,85,12.1,,,,,,1173
22,21,Cordarrelle Patterson*+,MIN,25,WR,16,8,1,9,0,9,9.0,25,792,1,104,31.7,1297
23,22,Isaiah Burse,SDG,25,,9,1,15,96,0,21,6.4,9,188,0,30,20.9,284
24,23,Danny Amendola,NWE,31,,12,4,18,121,0,30,6.7,5,129,0,73,25.8,493
25,24,Jeremy Kerley,SFO,28,WR,16,13,21,158,0,26,7.5,2,32,0,20,16.0,857
26,25,Marcus Sherels,MIN,29,,11,0,21,292,2,79,13.9,2,35,0,18,17.5,327
27,26,Benny Cunningham,LAR,26,,11,0,,,,,,22,599,0,61,27.2,791
28,27,Tommylee Lewis,NOR,24,,12,1,14,160,0,59,11.4,8,152,0,26,19.0,399
29,28,Rashad Greene,JAX,24,,8,0,21,131,0,42,6.2,,,,,,163
30,29,JaCorey Shepherd ,SFO,23,,11,0,,,,,,21,456,0,41,21.7,456
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Marqise Lee ,JAX,25,wr,16,6,2,3,0,3,1.5,18,545,1,100,30.3,1434
33,31,Pharoh Cooper,LAR,21,,10,3,5,5,0,6,1.0,14,323,0,51,23.1,434
34,32,Cyrus Jones,NWE,23,,10,1,11,46,0,13,4.2,8,180,0,43,22.5,226
35,33,Eddie Royal,CHI,30,,9,1,19,166,1,65,8.7,,,,,,535
36,34,Bryan Walters,JAX,29,,10,3,17,86,0,14,5.1,2,39,0,23,19.5,360
37,35,John Brown,ARI,26,WR,15,6,17,119,0,32,7.0,1,51,0,51,51.0,697
38,36,Julian Edelman,NWE,30,WR,16,13,15,135,0,23,9.0,3,44,0,19,14.7,1342
39,37,Brittan Golden,ARI,28,,12,1,7,30,0,8,4.3,11,266,0,49,24.2,378
40,38,Duke Johnson,CLE,23,rb,16,1,17,112,0,18,6.6,1,19,0,19,19.0,1003
41,39,Nick Marshall,NYJ,24,,8,0,6,39,0,27,6.5,12,168,0,28,14.0,221
42,40,Ty Montgomery,GNB,23,RB,15,6,,,,,,18,366,0,40,20.3,1171
43,41,Darren Sproles *,PHI,33,rb,15,5,17,224,0,66,13.2,1,19,0,19,19.0,1108
44,42,Dexter McCluster,SDG,27,,6,0,8,57,0,16,7.1,9,182,0,30,20.2,277
45,43,Kalif Raymond,DEN,22,,4,0,11,111,0,25,10.1,6,137,0,40,22.8,248
46,44,Chris Thompson,WAS,26,,16,0,,,,,,17,360,0,28,21.2,1065
47,45,Mario Alford,CLE,24,,3,0,8,68,0,17,8.5,8,190,0,36,23.8,258
48,46,Quan Bray,IND,23,,6,0,7,58,0,20,8.3,9,231,0,39,25.7,332
49,47,Antonio Brown *+,PIT,28,WR,15,15,15,140,0,33,9.3,1,23,0,23,23.0,1456
50,48,Jarvis Landry *,MIA,24,WR,16,16,16,163,0,20,10.2,,,,,,1316
51,49,Jordan Todman,IND,26,,16,0,,,,,,16,478,1,99,29.9,537
52,50,De'Anthony Thomas,KAN,23,,12,0,,,,,,15,338,0,41,22.5,402
53,51,Adam Jones,CIN,33,RCB,16,16,10,51,0,15,5.1,4,79,0,23,19.8,132
54,52,Patrick Peterson*,ARI,26,LCB,16,16,13,81,0,17,6.2,1,11,0,11,11.0,119
55,53,Bobby Rainey,NYG,29,,15,0,6,39,0,15,6.5,8,204,0,38,25.5,459
56,54,Kenyan Drake,MIA,22,,16,1,,,,,,13,397,1,96,30.5,622
57,55,Will Fuller,HOU,22,WR,14,13,11,165,1,67,15.0,2,31,0,19,15.5,828
58,56,Corey Grant,JAX,25,,11,1,,,,,,13,268,0,32,20.6,467
59,57,Josh Huff,2TM,25,,10,2,,,,,,13,324,1,98,24.9,452
60,58,Marcus Murphy,NOR,25,,3,0,6,57,0,22,9.5,7,105,0,26,15.0,165
61,59,Chester Rogers,IND,22,,14,2,13,119,0,30,9.2,,,,,,392
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Fitzgerald Toussaint,PIT,26,,16,0,,,,,,13,278,0,33,21.4,369
64,61,Trevor Davis,GNB,23,,11,0,9,115,0,55,12.8,3,64,0,26,21.3,203
