,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Dustin Hopkins ,WAS,26,,16,0,,,12,12,14,12,9,7,7,3,42,34,53,81.0%,39,36,92.3%,92,5788,65,70.7%,62.9,,,,,
3,2,Nick Novak,HOU,35,,16,0,1,1,12,12,11,11,11,8,6,3,41,35,53,85.4%,25,22,88.0%,74,4444,23,31.1%,60.1,,,,,
4,3,Caleb Sturgis,PHI,27,,16,0,,,12,12,12,12,11,7,6,4,41,35,55,85.4%,31,30,96.8%,87,5439,46,52.9%,62.5,,,,,
5,4,Justin Tucker*+,BAL,27,,16,0,,,4,4,11,10,14,14,10,10,39,38,57,97.4%,27,27,100.0%,80,5039,52,65.0%,63.0,,,,,
6,5,Graham Gano,CAR,29,,16,0,,,4,4,11,9,17,14,6,3,38,30,54,78.9%,34,31,91.2%,86,5497,63,73.3%,63.9,4,180,54,0,45.0
7,6,Matt Bryant*,ATL,41,,16,0,,,12,12,8,7,9,9,8,6,37,34,59,91.9%,57,56,98.2%,,,,,,2,67,36,0,33.5
8,7,Stephen Hauschka,SEA,31,,16,0,,,13,11,13,13,10,8,1,1,37,33,53,89.2%,35,29,82.9%,86,5477,54,62.8%,63.7,,,,,
9,8,Matt Prater*,DET,32,,16,0,,,10,10,5,4,14,10,7,7,36,31,58,86.1%,33,31,93.9%,2,116,1,50.0%,58.0,,,,,
10,9,Sebastian Janikowski,OAK,38,,16,0,1,1,9,9,6,6,11,10,8,3,35,29,56,82.9%,39,37,94.9%,88,5630,43,48.9%,64.0,,,,,
11,10,Cairo Santos,KAN,25,,16,0,,,9,8,17,15,7,6,2,2,35,31,53,88.6%,39,36,92.3%,86,5355,48,55.8%,62.3,,,,,
12,11,Wil Lutz,NOR,22,,16,0,1,1,7,7,11,9,8,8,7,3,34,28,57,82.4%,50,49,98.0%,93,5693,49,52.7%,61.2,,,,,
13,12,Brandon McManus,DEN,25,,16,0,,,9,9,10,10,9,7,6,3,34,29,55,85.3%,33,32,97.0%,79,4836,51,64.6%,61.2,,,,,
14,13,Jason Myers,JAX,25,,16,0,,,7,7,4,3,11,10,12,7,34,27,56,79.4%,32,29,90.6%,76,4673,60,78.9%,61.5,,,,,
15,14,Dan Bailey,DAL,28,,16,0,,,9,9,8,8,9,7,6,3,32,27,56,84.4%,46,46,100.0%,91,5827,57,62.6%,64.0,,,,,
16,15,Stephen Gostkowski,NWE,32,,16,0,,,9,9,9,7,10,9,4,2,32,27,53,84.4%,49,46,93.9%,93,5924,52,55.9%,63.7,,,,,
17,16,Josh Lambo,SDG,26,,16,0,,,7,7,14,13,8,6,3,,32,26,47,81.3%,46,42,91.3%,91,5694,67,73.6%,62.6,,,,,
18,17,Roberto Aguayo,TAM,22,,16,0,,,5,5,15,13,10,4,1,,31,22,43,71.0%,34,32,94.1%,79,4993,52,65.8%,63.2,,,,,
19,18,Nick Folk,NYJ,32,,16,0,,,13,12,11,10,3,3,4,2,31,27,51,87.1%,26,24,92.3%,70,4425,39,55.7%,63.2,,,,,
20,19,Adam Vinatieri,IND,44,,16,0,,,3,3,7,7,12,10,9,7,31,27,54,87.1%,44,44,100.0%,,,,,,,,,,
21,20,Mason Crosby,GNB,32,,16,0,1,1,6,6,15,13,6,5,2,1,30,26,53,86.7%,47,44,93.6%,89,5608,46,51.7%,63.0,,,,,
22,21,Mike Nugent,CIN,34,,13,0,,,9,9,10,9,7,5,3,,29,23,47,79.3%,29,23,79.3%,63,3970,28,44.4%,63.0,,,,,
23,22,Chandler Catanzaro,ARI,25,,16,0,1,1,6,5,7,6,8,6,6,3,28,21,60,75.0%,47,43,91.5%,83,5220,52,62.7%,62.9,2,66,47,0,33.0
24,23,Chris Boswell,PIT,25,,15,0,,,2,2,9,8,12,11,2,,25,21,49,84.0%,36,36,100.0%,80,4953,49,61.3%,61.9,,,,,
25,24,Dan Carpenter,BUF,31,,16,0,1,1,8,8,5,5,9,4,2,1,25,19,54,76.0%,45,40,88.9%,69,4154,28,40.6%,60.2,,,,,
26,25,Cody Parkey,CLE,24,,14,0,,,6,6,6,6,12,7,1,1,25,20,51,80.0%,21,20,95.2%,57,3475,34,59.6%,61.0,,,,,
27,26,Ryan Succop,TEN,30,,16,0,1,1,4,4,6,6,8,8,5,3,24,22,53,91.7%,41,39,95.1%,82,5086,58,70.7%,62.0,,,,,
28,27,Connor Barth,CHI,30,,16,0,,,8,7,8,7,4,3,3,1,23,18,54,78.3%,32,31,96.9%,64,3973,26,40.6%,62.1,,,,,
