,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Justin Tucker,BAL,26,,16,0,,,10,10,9,9,11,10,10,4,40,33,52,82.5%,29,29,100.0%,74,4753,63,85.1%,64.2,,,,,
3,2,Robbie Gould,CHI,33,,16,0,1,1,8,8,12,10,9,7,9,7,39,33,55,84.6%,29,28,96.6%,83,5003,39,47.0%,60.3,,,,,
4,3,Blair Walsh,MIN,25,,16,0,,,9,9,15,13,7,6,8,6,39,34,54,87.2%,37,33,89.2%,86,5651,47,54.7%,65.7,,,,,
5,4,Cairo Santos,KAN,24,,16,0,,,8,7,10,10,11,9,8,4,37,30,53,81.1%,41,39,95.1%,90,5721,40,44.4%,63.6,,,,,
6,5,Graham Gano,CAR,28,,16,0,1,1,10,10,5,4,16,13,4,2,36,30,52,83.3%,59,56,94.9%,102,6706,69,67.6%,65.7,,,,,
7,6,Stephen Gostkowski*+,NWE,31,,16,0,,,6,6,11,11,14,12,5,4,36,33,57,91.7%,52,52,100.0%,99,6249,69,69.7%,63.1,,,,,
8,7,Brandon McManus,DEN,24,,16,0,,,12,12,8,8,8,5,7,5,35,30,57,85.7%,36,35,97.2%,81,5046,55,67.9%,62.3,1,41,41,0,41.0
9,8,Dan Bailey*,DAL,27,,16,0,,,9,9,10,10,7,6,6,5,32,30,54,93.8%,25,25,100.0%,73,4620,49,67.1%,63.3,,,,,
10,9,Chris Boswell,PIT,24,,12,0,1,1,9,9,8,8,12,9,2,2,32,29,51,90.6%,27,26,96.3%,74,4680,26,35.1%,63.2,,,,,
11,10,Josh Brown *,NYG,36,,16,0,1,1,6,6,12,12,10,8,3,3,32,30,53,93.8%,45,44,97.8%,93,5697,37,39.8%,61.3,,,,,
12,11,Travis Coons,CLE,23,,16,0,,,11,11,10,10,9,7,2,,32,28,47,87.5%,24,22,91.7%,70,4420,27,38.6%,63.1,,,,,
13,12,Josh Lambo,SDG,25,,16,0,,,4,4,7,7,16,11,5,4,32,26,54,81.3%,32,28,87.5%,75,4783,41,54.7%,63.8,,,,,
14,13,Chandler Catanzaro,ARI,24,,16,0,1,1,12,12,9,9,7,6,2,,31,28,47,90.3%,58,53,91.4%,99,6445,50,50.5%,65.1,,,,,
15,14,Stephen Hauschka,SEA,30,,16,0,,,9,9,7,7,9,7,6,6,31,29,54,93.5%,44,40,90.9%,91,5869,47,51.6%,64.5,,,,,
16,15,Jason Myers,JAX,24,,16,0,,,10,9,8,8,8,6,4,3,30,26,58,86.7%,39,32,82.1%,84,5208,55,65.5%,62.0,,,,,
17,16,Greg Zuerlein,STL,28,,14,0,1,1,2,2,10,9,8,5,9,3,30,20,61,66.7%,28,26,92.9%,64,4168,38,59.4%,65.1,,,,,
18,17,Connor Barth,TAM,29,,12,0,,,9,9,8,8,6,3,5,3,28,23,53,82.1%,26,25,96.2%,64,4062,32,50.0%,63.5,,,,,
19,18,Mason Crosby,GNB,31,,16,0,1,1,7,7,4,4,11,8,5,4,28,24,56,85.7%,36,36,100.0%,80,5050,41,51.3%,63.1,,,,,
20,19,Dustin Hopkins ,WAS,25,,15,0,,,7,7,9,9,8,7,4,2,28,25,54,89.3%,40,39,97.5%,80,4967,52,65.0%,62.1,,,,,
21,20,Mike Nugent,CIN,33,,16,0,,,6,6,6,5,13,10,3,2,28,23,52,82.1%,49,48,98.0%,89,5786,42,47.2%,65.0,,,,,
22,21,Phil Dawson,SFO,40,,16,0,,,10,9,6,6,8,6,3,3,27,24,54,88.9%,21,20,95.2%,6,268,,,44.7,1,48,48,0,48.0
23,22,Dan Carpenter,BUF,30,,16,0,,,5,5,9,8,8,7,5,3,27,23,52,85.2%,40,34,85.0%,4,213,,,53.3,,,,,
24,23,Adam Vinatieri,IND,43,,16,0,,,8,7,6,6,8,8,5,4,27,25,55,92.6%,35,32,91.4%,,,,,,,,,,
25,24,Sebastian Janikowski,OAK,37,,16,0,,,7,7,6,5,8,5,5,4,26,21,56,80.8%,39,38,97.4%,79,4941,44,55.7%,62.5,,,,,
26,25,Matt Prater,DET,31,,16,0,,,3,3,9,8,6,6,6,5,24,22,59,91.7%,39,36,92.3%,4,223,,,55.8,,,,,
27,26,Randy Bullock,2TM,26,,11,0,1,1,4,4,6,6,11,8,1,,23,19,49,82.6%,25,22,88.0%,56,3617,30,53.6%,64.6,,,,,
28,27,Caleb Sturgis,PHI,26,,13,0,,,4,4,10,8,4,4,4,2,22,18,53,81.8%,37,35,94.6%,68,4171,39,57.4%,61.3,,,,,
