,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Antonio Brown *+,PIT,27,WR,16,16,193,136,70.5%,1834,13.5,10,84,59,9.5,8.5,114.6,3
1,2,Julio Jones *+,ATL,26,WR,16,16,203,136,67.0%,1871,13.8,8,93,70,9.2,8.5,116.9,3
2,3,DeAndre Hopkins*,HOU,23,WR,16,16,192,111,57.8%,1521,13.7,11,83,61,7.9,6.9,95.1,1
3,4,Jarvis Landry *,MIA,23,WR,16,14,166,110,66.3%,1157,10.5,4,60,50,7.0,6.9,72.3,1
4,5,Larry Fitzgerald*,ARI,32,WR,16,16,145,109,75.2%,1215,11.1,9,65,44,8.4,6.8,75.9,2
5,6,Brandon Marshall*,NYJ,31,WR,16,16,173,109,63.0%,1502,13.8,14,76,69,8.7,6.8,93.9,3
6,7,Demaryius Thomas,DEN,28,WR,16,16,177,105,59.3%,1304,12.4,6,63,72,7.4,6.6,81.5,2
7,8,Odell Beckham Jr.*,NYG,23,WR,15,15,158,96,60.8%,1450,15.1,13,68,87,9.2,6.4,96.7,2
8,9,Delanie Walker*,TEN,31,TE,15,10,133,94,70.7%,1088,11.6,6,53,61,8.2,6.3,72.5,0
9,10,Golden Tate,DET,27,WR,16,16,128,90,70.3%,813,9.0,6,50,43,6.4,5.6,50.8,1
10,11,Calvin Johnson *,DET,30,WR,16,16,149,88,59.1%,1214,13.8,9,66,57,8.1,5.5,75.9,1
11,12,Jeremy Maclin,KAN,27,WR,15,15,124,87,70.2%,1088,12.5,8,50,61,8.8,5.8,72.5,2
12,13,Jordan Reed,WAS,25,TE,14,8,114,87,76.3%,952,10.9,11,54,32,8.4,6.2,68.0,3
13,14,A.J. Green*,CIN,27,WR,16,16,132,86,65.2%,1297,15.1,10,63,80,9.8,5.4,81.1,1
14,15,Michael Crabtree,OAK,28,WR,16,15,146,85,58.2%,922,10.8,9,47,38,6.3,5.3,57.6,1
15,16,Jordan Matthews,PHI,23,WR,16,12,126,85,67.5%,997,11.7,8,46,78,7.9,5.3,62.3,2
16,17,Brandin Cooks,NOR,22,WR,16,12,129,84,65.1%,1138,13.5,9,45,71,8.8,5.3,71.1,1
17,18,Eric Decker,NYJ,28,WR,15,13,132,80,60.6%,1027,12.8,12,60,35,7.8,5.3,68.5,1
18,19,Theo Riddick,DET,24,rb,16,1,99,80,80.8%,697,8.7,3,32,34,7.0,5.0,43.6,1
19,20,Allen Robinson*,JAX,22,WR,16,16,151,80,53.0%,1400,17.5,14,61,90,9.3,5.0,87.5,0
20,21,Danny Woodhead,SDG,30,,16,2,106,80,75.5%,755,9.4,6,39,61,7.1,5.0,47.2,0
21,22,Gary Barnidge*,CLE,30,TE,16,13,125,79,63.2%,1043,13.2,9,52,40,8.3,4.9,65.2,0
22,23,Randall Cobb,GNB,25,WR,16,15,129,79,61.2%,829,10.5,6,42,53,6.4,4.9,51.8,1
23,24,Doug Baldwin ,SEA,27,WR,16,16,103,78,75.7%,1069,13.7,14,49,80,10.4,4.9,66.8,1
24,25,Greg Olsen*,CAR,30,TE,16,16,124,77,62.1%,1104,14.3,7,52,52,8.9,4.8,69.0,1
25,26,Jason Witten,DAL,33,TE,16,16,104,77,74.0%,713,9.3,3,37,35,6.9,4.8,44.6,1
26,27,Emmanuel Sanders ,DEN,28,WR,15,15,136,76,55.9%,1135,14.9,6,51,75,8.3,5.1,75.7,2
27,28,Kamar Aiken,BAL,26,WR,16,14,127,75,59.1%,944,12.6,5,55,48,7.4,4.7,59.0,1
28,29,Zach Ertz,PHI,25,te,15,7,112,75,67.0%,853,11.4,2,40,60,7.6,5.0,56.9,1
29,30,Mike Evans,TAM,22,WR,15,14,148,74,50.0%,1206,16.3,3,63,68,8.1,4.9,80.4,1
30,31,Ben Watson,NOR,35,TE,16,16,110,74,67.3%,825,11.1,6,42,46,7.5,4.6,51.6,1
31,32,Devonta Freeman *,ATL,23,RB,15,13,97,73,75.3%,578,7.9,3,21,44,6.0,4.9,38.5,3
32,33,Amari Cooper*,OAK,21,WR,16,15,130,72,55.4%,1070,14.9,6,47,68,8.2,4.5,66.9,1
33,34,Pierre Garcon,WAS,29,WR,16,16,111,72,64.9%,777,10.8,6,44,39,7.0,4.5,48.6,0
34,35,Rob Gronkowski *+,NWE,26,TE,15,15,120,72,60.0%,1176,16.3,11,52,76,9.8,4.8,78.4,0
35,36,Travis Kelce*,KAN,26,TE,16,16,103,72,69.9%,875,12.2,5,40,42,8.5,4.5,54.7,2
36,37,Anquan Boldin,SFO,35,WR,14,13,111,69,62.2%,789,11.4,4,36,51,7.1,4.9,56.4,1
37,38,T.Y. Hilton*,IND,26,WR,16,15,134,69,51.5%,1124,16.3,5,50,87,8.4,4.3,70.3,1
38,39,Willie Snead ,NOR,23,WR,15,8,101,69,68.3%,984,14.3,3,44,63,9.7,4.6,65.6,2
39,40,Travis Benjamin,CLE,26,WR,16,15,125,68,54.4%,966,14.2,5,38,61,7.7,4.3,60.4,3
40,41,Keenan Allen,SDG,23,WR,8,8,89,67,75.3%,725,10.8,4,34,38,8.1,8.4,90.6,1
41,42,Danny Amendola,NWE,30,wr,14,7,87,65,74.7%,648,10.0,3,32,41,7.4,4.6,46.3,1
42,43,John Brown,ARI,25,WR,15,11,101,65,64.4%,1003,15.4,7,49,68,9.9,4.3,66.9,1
43,44,Marvin Jones ,CIN,25,WR,16,13,103,65,63.1%,816,12.6,4,34,47,7.9,4.1,51.0,0
44,45,Allen Hurns,JAX,24,WR,15,15,105,64,61.0%,1031,16.1,10,49,80,9.8,4.3,68.7,2
45,46,Donte Moncrief,IND,22,wr,16,10,105,64,61.0%,733,11.5,6,41,33,7.0,4.0,45.8,0
46,47,Julian Edelman,NWE,29,WR,9,9,88,61,69.3%,692,11.3,7,37,59,7.9,6.8,76.9,1
47,48,Duke Johnson,CLE,22,rb,16,7,74,61,82.4%,534,8.8,2,24,52,7.2,3.8,33.4,1
48,49,Heath Miller,PIT,33,TE,15,15,81,60,74.1%,535,8.9,2,30,27,6.6,4.0,35.7,0
49,50,Sammy Watkins,BUF,22,WR,13,13,96,60,62.5%,1047,17.5,9,41,63,10.9,4.6,80.5,0
50,51,Jamison Crowder,WAS,22,wr,16,6,78,59,75.6%,604,10.2,2,34,44,7.7,3.7,37.8,4
51,52,Jacob Tamme,ATL,30,te,15,8,81,59,72.8%,657,11.1,1,31,41,8.1,3.9,43.8,0
52,53,Shane Vereen,NYG,26,,16,0,81,59,72.8%,495,8.4,4,22,37,6.1,3.7,30.9,1
53,54,Richard Rodgers ,GNB,23,TE,16,12,85,58,68.2%,510,8.8,8,28,61,6.0,3.6,31.9,0
54,55,Rueben Randle ,NYG,24,WR,16,16,90,57,63.3%,797,14.0,8,36,72,8.9,3.6,49.8,0
55,56,Antonio Gates,SDG,35,te,11,4,85,56,65.9%,630,11.3,5,33,40,7.4,5.1,57.3,0
56,57,Darren Sproles *,PHI,32,,16,4,83,55,66.3%,388,7.1,1,21,35,4.7,3.4,24.3,1
57,58,Coby Fleener ,IND,27,TE,16,11,84,54,64.3%,491,9.1,3,23,57,5.8,3.4,30.7,0
58,59,Alshon Jeffery,CHI,25,WR,9,8,94,54,57.4%,807,14.9,4,43,50,8.6,6.0,89.7,1
59,60,Martellus Bennett ,CHI,28,TE,11,11,80,53,66.3%,439,8.3,3,26,24,5.5,4.8,39.9,2
60,61,Tavon Austin,STL,25,WR,16,15,87,52,59.8%,473,9.1,5,21,66,5.4,3.3,29.6,2
61,62,Cole Beasley,DAL,26,,16,3,75,52,69.3%,536,10.3,5,31,30,7.1,3.3,33.5,2
62,63,Stefon Diggs,MIN,22,WR,13,9,84,52,61.9%,720,13.8,4,30,40,8.6,4.0,55.4,2
63,64,Tyler Eifert*,CIN,25,TE,13,12,74,52,70.3%,615,11.8,13,38,31,8.3,4.0,47.3,0
64,65,Michael Floyd ,ARI,26,wr,15,6,89,52,58.4%,849,16.3,6,40,60,9.5,3.5,56.6,0
65,66,Terrance Williams,DAL,26,WR,16,13,93,52,55.9%,840,16.2,3,36,42,9.0,3.3,52.5,0
66,67,Charles Clay,BUF,26,TE,13,13,77,51,66.2%,528,10.4,3,26,40,6.9,3.9,40.6,1
67,68,Tyler Lockett*+,SEA,23,WR,16,8,69,51,73.9%,664,13.0,6,31,49,9.6,3.2,41.5,1
68,69,Charles Sims,TAM,25,,16,0,70,51,72.9%,561,11.0,4,22,56,8.0,3.2,35.1,2
69,70,Davante Adams,GNB,23,WR,13,12,94,50,53.2%,483,9.7,1,20,40,5.1,3.8,37.2,0
70,71,Martavis Bryant,PIT,24,wr,11,5,92,50,54.3%,765,15.3,6,25,88,8.3,4.5,69.5,1
71,72,Mark Ingram,NOR,26,RB,12,10,60,50,83.3%,405,8.1,0,22,59,6.8,4.2,33.8,2
72,73,James Jones,GNB,31,WR,16,15,99,50,50.5%,890,17.8,8,40,65,9.0,3.1,55.6,1
73,74,Giovani Bernard,CIN,24,rb,16,1,66,49,74.2%,472,9.6,0,19,45,7.2,3.1,29.5,1
74,75,Jermaine Kearse,SEA,25,WR,16,16,68,49,72.1%,685,14.0,5,32,50,10.1,3.1,42.8,1
75,76,Kyle Rudolph ,MIN,26,TE,16,16,73,49,67.1%,495,10.1,5,25,47,6.8,3.1,30.9,0
76,77,Jimmy Graham,SEA,29,TE,11,11,74,48,64.9%,605,12.6,2,29,45,8.2,4.4,55.0,0
77,78,Eric Ebron,DET,22,TE,14,8,70,47,67.1%,537,11.4,5,27,55,7.7,3.4,38.4,0
78,79,Lamar Miller,MIA,24,RB,16,16,57,47,82.5%,397,8.4,2,15,54,7.0,2.9,24.8,1
79,80,Bilal Powell,NYJ,27,,11,2,63,47,74.6%,388,8.3,2,21,25,6.2,4.3,35.3,2
80,81,Nate Washington,HOU,32,WR,14,14,94,47,50.0%,658,14.0,4,33,49,7.0,3.4,47.0,0
81,82,Robert Woods,BUF,23,WR,14,9,80,47,58.8%,552,11.7,3,27,37,6.9,3.4,39.4,2
82,83,Owen Daniels,DEN,33,TE,16,16,77,46,59.7%,517,11.2,3,27,37,6.7,2.9,32.3,0
83,84,Brian Hartline ,CLE,29,,12,4,77,46,59.7%,523,11.4,2,30,41,6.8,3.8,43.6,1
84,85,Steve Smith,BAL,36,WR,7,7,73,46,63.0%,670,14.6,3,29,50,9.2,6.6,95.7,0
85,86,Julius Thomas,JAX,27,TE,12,10,80,46,57.5%,455,9.9,5,25,34,5.7,3.8,37.9,0
86,87,Javorius Allen,BAL,24,rb,16,6,62,45,72.6%,353,7.8,2,15,41,5.7,2.8,22.1,2
87,88,Marques Colston,NOR,32,wr,13,5,67,45,67.2%,520,11.6,4,26,53,7.8,3.5,40.0,0
88,89,Steve Johnson,SDG,29,WR,10,8,65,45,69.2%,497,11.0,3,29,34,7.6,4.5,49.7,1
89,90,Matt Forte ,CHI,30,RB,13,13,58,44,75.9%,389,8.8,3,17,38,6.7,3.4,29.9,2
