,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Rob Bironas*+,TEN,29,,16,0,,,12,10,12,12,10,9,5,4,39,35,56,89.7%,28,28,100.0%,75,5014,16,21.3%,66.9,,,,,
3,2,Mason Crosby,GNB,23,,16,0,1,1,8,8,11,10,14,9,5,3,39,31,53,79.5%,48,48,100.0%,93,5783,14,15.1%,62.2,,,,,
4,3,Robbie Gould,CHI,25,,16,0,,,7,7,13,12,14,12,2,,36,31,49,86.1%,33,33,100.0%,79,4644,3,3.8%,58.8,2,53,28,0,26.5
5,4,Mike Nugent,NYJ,25,,16,0,1,1,11,11,12,10,8,6,4,1,36,29,50,80.6%,24,23,95.8%,65,3952,9,13.8%,60.8,,,,,
6,5,Jason Hanson,DET,37,,16,0,1,1,5,4,12,10,13,11,4,3,35,29,53,82.9%,36,35,97.2%,82,5197,13,15.9%,63.4,,,,,
7,6,Shaun Suisham,WAS,26,,16,0,,,10,10,10,8,13,10,2,1,35,29,49,82.9%,30,29,96.7%,76,4377,6,7.9%,57.6,,,,,
8,7,Josh Brown ,SEA,28,,16,0,,,12,12,5,5,12,8,5,3,34,28,54,82.4%,43,43,100.0%,87,5481,13,14.9%,63.0,,,,,
9,8,Shayne Graham,CIN,30,,16,0,1,1,12,11,13,13,7,6,1,,34,31,48,91.2%,37,37,100.0%,86,5300,8,9.3%,61.6,,,,,
10,9,Matt Bryant,TAM,32,,16,0,,,12,11,11,11,7,6,3,,33,28,49,84.8%,34,34,100.0%,78,4683,6,7.7%,60.0,,,,,
11,10,David Akers,PHI,33,,16,0,,,12,12,10,10,6,1,4,1,32,24,53,75.0%,36,36,100.0%,78,4796,6,7.7%,61.5,,,,,
12,11,Sebastian Janikowski,OAK,29,,16,0,,,4,4,7,6,10,7,11,6,32,23,54,71.9%,28,28,100.0%,67,4259,22,32.8%,63.6,,,,,
13,12,Matt Stover,BAL,39,,16,0,1,1,11,11,7,7,12,8,1,,32,27,49,84.4%,26,26,100.0%,65,4032,7,10.8%,62.0,,,,,
14,13,Jeff Wilkins ,STL,35,,16,0,,,8,7,7,6,13,8,4,3,32,24,53,75.0%,25,25,100.0%,66,4142,5,7.6%,62.8,,,,,
15,14,Jason Elam,DEN,37,,16,0,,,11,11,6,6,12,9,2,1,31,27,50,87.1%,33,33,100.0%,,,,,,1,31,31,0,31.0
16,15,Nick Folk*,DAL,23,,16,0,,,12,10,7,7,7,7,5,2,31,26,53,83.9%,53,53,100.0%,94,5800,4,4.3%,61.7,,,,,
17,16,Phil Dawson,CLE,32,,16,0,2,2,10,9,8,7,8,7,2,1,30,26,51,86.7%,43,42,97.7%,85,5214,5,5.9%,61.3,,,,,
18,17,Neil Rackers,ARI,31,,16,0,2,2,5,5,8,6,6,5,9,3,30,21,52,70.0%,48,47,97.9%,80,5138,17,21.3%,64.2,,,,,
19,18,Kris Brown,HOU,31,,16,0,1,1,7,6,6,6,10,7,5,5,29,25,57,86.2%,40,40,100.0%,84,5274,11,13.1%,62.8,,,,,
20,19,Adam Vinatieri,IND,35,,16,0,1,1,15,14,10,8,2,,1,,29,23,39,79.3%,51,49,96.1%,91,5906,9,9.9%,64.9,,,,,
21,20,John Kasay,CAR,38,,16,0,2,2,6,6,9,8,9,6,2,2,28,24,53,85.7%,27,27,100.0%,53,3211,2,3.8%,60.6,2,60,32,0,30.0
22,21,Morten Andersen,ATL,47,,14,0,,,9,9,12,12,7,4,,,28,25,47,89.3%,24,24,100.0%,,,,,,,,,,
23,22,Nate Kaeding,SDG,25,,16,0,,,11,11,6,5,8,7,2,1,27,24,51,88.9%,46,46,100.0%,72,4528,7,9.7%,62.9,,,,,
24,23,Rian Lindell,BUF,30,,16,0,,,11,11,7,7,6,4,3,2,27,24,52,88.9%,24,24,100.0%,65,3972,6,9.2%,61.1,,,,,
25,24,Lawrence Tynes,NYG,29,,16,0,1,1,10,9,8,5,8,8,,,27,23,48,85.2%,42,40,95.2%,82,4931,8,9.8%,60.1,,,,,
26,25,Jeff Reed,PIT,28,,16,0,,,9,9,10,10,5,4,1,,25,23,49,92.0%,44,44,100.0%,86,5242,10,11.6%,61.0,,,,,
27,26,Stephen Gostkowski,NWE,23,,16,0,,,10,10,9,8,5,3,,,24,21,45,87.5%,74,74,100.0%,112,7109,15,13.4%,63.5,,,,,
28,27,Ryan Longwell ,MIN,33,,16,0,,,3,3,6,6,11,10,4,1,24,20,55,83.3%,40,39,97.5%,77,4778,9,11.7%,62.1,,,,,
