,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 5,Jacksonville Jaguars,@,Pittsburgh Steelers,boxscore,31,29
1,WildCard,Sat,January 5,Seattle Seahawks,,Washington Redskins,boxscore,35,14
2,WildCard,Sun,January 6,New York Giants,@,Tampa Bay Buccaneers,boxscore,24,14
3,WildCard,Sun,January 6,San Diego Chargers,,Tennessee Titans,boxscore,17,6
4,Division,Sat,January 12,Green Bay Packers,,Seattle Seahawks,boxscore,42,20
5,Division,Sat,January 12,New England Patriots,,Jacksonville Jaguars,boxscore,31,20
6,Division,Sun,January 13,New York Giants,@,Dallas Cowboys,boxscore,21,17
7,Division,Sun,January 13,San Diego Chargers,@,Indianapolis Colts,boxscore,28,24
8,ConfChamp,Sun,January 20,New England Patriots,,San Diego Chargers,boxscore,21,12
9,ConfChamp,Sun,January 20,New York Giants,@,Green Bay Packers,boxscore,23,20
10,SuperBowl,Sun,February 3,New York Giants,N,New England Patriots,boxscore,17,14
