,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Clinton Portis,WAS,26,RB,16,16,325,1262,11,61,32,3.9,78.9,6
3,2,Edgerrin James,ARI,29,RB,16,16,324,1222,7,57,27,3.8,76.4,5
4,3,Willie Parker*,PIT,27,RB,15,15,321,1316,2,48,32,4.1,87.7,4
5,4,LaDainian Tomlinson*+,SDG,28,RB,16,16,315,1474,15,75,49,4.7,92.1,0
6,5,Thomas Jones,NYJ,29,RB,16,14,310,1119,1,57,36,3.6,69.9,2
7,6,LenDale White,TEN,23,RB,16,16,303,1110,7,60,28,3.7,69.4,5
8,7,Jamal Lewis,CLE,28,RB,15,15,298,1304,9,59,66,4.4,86.9,4
9,8,Willis McGahee*,BAL,26,RB,15,15,294,1207,7,57,46,4.1,80.5,4
10,9,Marshawn Lynch ,BUF,21,RB,13,13,280,1115,7,55,56,4.0,85.8,2
11,10,Brian Westbrook *+,PHI,28,RB,15,15,278,1333,7,74,36,4.8,88.9,2
12,11,Joseph Addai*,IND,24,RB,15,15,261,1072,12,66,23,4.1,71.5,0
13,12,Frank Gore,SFO,24,RB,15,15,260,1102,5,42,43,4.2,73.5,4
14,13,DeShaun Foster ,CAR,27,RB,16,16,247,876,3,43,20,3.5,54.8,7
15,14,Adrian Peterson*,MIN,22,RB,14,9,238,1341,12,63,73,5.6,95.8,4
16,15,Steven Jackson,STL,24,RB,12,12,237,1002,5,37,54,4.2,83.5,5
17,16,Warrick Dunn,ATL,32,RB,16,15,227,720,4,36,38,3.2,45.0,2
18,17,Fred Taylor*,JAX,31,RB,15,15,223,1202,5,45,80,5.4,80.1,2
19,18,Justin Fargas,OAK,27,RB,14,7,222,1009,4,52,48,4.5,72.1,3
20,19,Earnest Graham,TAM,27,RB,15,10,222,898,10,47,28,4.0,59.9,1
21,20,Shaun Alexander ,SEA,30,RB,13,10,207,716,4,39,25,3.5,55.1,2
22,21,Marion Barber III*,DAL,24,,16,0,204,975,10,54,54,4.8,60.9,3
23,22,Brandon Jacobs,NYG,25,RB,11,9,202,1009,4,52,43,5.0,91.7,5
24,23,Cedric Benson ,CHI,25,RB,11,11,196,674,4,34,43,3.4,61.3,3
25,24,Ron Dayne,HOU,29,RB,13,8,194,773,6,44,39,4.0,59.5,1
26,25,Ryan Grant,GNB,25,RB,15,7,188,956,8,38,66,5.1,63.7,1
27,26,Laurence Maroney,NWE,22,rb,13,6,185,835,6,48,59,4.5,64.2,0
28,27,Kenny Watson,CIN,29,fb,16,5,178,763,7,42,24,4.3,47.7,3
29,28,Rudi Johnson,CIN,28,RB,11,9,170,497,3,27,22,2.9,45.2,3
30,29,Travis Henry ,DEN,29,rb,12,7,167,691,4,37,33,4.1,57.6,3
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Maurice Jones-Drew,JAX,22,,15,0,167,768,9,47,57,4.6,51.2,2
33,31,Julius Jones,DAL,26,RB,16,16,164,588,2,24,25,3.6,36.8,0
34,32,Larry Johnson,KAN,28,RB,8,8,158,559,3,24,54,3.5,69.9,1
35,33,Reggie Bush,NOR,22,RB,12,10,157,581,4,37,22,3.7,48.4,8
36,34,Chester Taylor,MIN,28,rb,14,8,157,844,7,36,84,5.4,60.3,5
37,35,Kevin Jones,DET,25,RB,13,10,153,581,8,35,34,3.8,44.7,2
38,36,Adrian Peterson,CHI,28,rb,16,5,151,510,3,28,21,3.4,31.9,3
39,37,LaMont Jordan,OAK,29,rb,12,7,144,549,3,25,33,3.8,45.8,0
40,38,DeAngelo Williams,CAR,24,,16,0,144,717,4,30,75,5.0,44.8,1
41,39,Maurice Morris ,SEA,28,rb,14,6,140,628,4,33,46,4.5,44.9,1
42,40,Selvin Young,DEN,24,RB,15,8,140,729,1,24,50,5.2,48.6,2
