,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,T.J. Houshmandzadeh*,CIN,30,WR,16,15,169,112,66.3%,1143,10.2,12,69,42,6.8,7.0,71.4,2
1,2,Wes Welker,NWE,26,WR,16,13,145,112,77.2%,1175,10.5,8,65,42,8.1,7.0,73.4,3
2,3,Reggie Wayne*,IND,29,WR,16,16,156,104,66.7%,1510,14.5,10,72,64,9.7,6.5,94.4,3
3,4,Derrick Mason,BAL,33,WR,16,16,164,103,62.8%,1087,10.6,5,58,79,6.6,6.4,67.9,1
4,5,Brandon Marshall,DEN,23,WR,16,16,170,102,60.0%,1325,13.0,7,71,68,7.8,6.4,82.8,3
5,6,Larry Fitzgerald*,ARI,24,WR,15,15,167,100,59.9%,1409,14.1,10,70,48,8.4,6.7,93.9,3
6,7,Tony Gonzalez*,KAN,31,TE,16,16,153,99,64.7%,1172,11.8,5,59,31,7.7,6.2,73.3,0
7,8,Marques Colston,NOR,24,WR,16,14,143,98,68.5%,1202,12.3,11,64,45,8.4,6.1,75.1,1
8,9,Randy Moss*+,NWE,30,WR,16,16,160,98,61.3%,1493,15.2,23,74,65,9.3,6.1,93.3,0
9,10,Jason Witten*+,DAL,25,TE,16,16,141,96,68.1%,1145,11.9,7,56,53,8.1,6.0,71.6,1
10,11,Bobby Engram,SEA,34,WR,16,13,134,94,70.1%,1147,12.2,6,62,49,8.6,5.9,71.7,1
11,12,Torry Holt*,STL,31,WR,16,16,149,93,62.4%,1189,12.8,7,62,40,8.0,5.8,74.3,2
12,13,Chad Johnson *,CIN,29,WR,16,16,161,93,57.8%,1440,15.5,8,74,70,8.9,5.8,90.0,2
13,14,Brian Westbrook *+,PHI,28,RB,15,15,118,90,76.3%,771,8.6,5,32,57,6.5,6.0,51.4,2
14,15,Steve Smith,CAR,28,WR,15,15,148,87,58.8%,1002,11.5,7,45,74,6.8,5.8,66.8,1
15,16,Roddy White,ATL,26,WR,16,15,137,83,60.6%,1202,14.5,6,52,69,8.8,5.2,75.1,3
