,Stadium Name,From,To,G,City,State,Primary Team(s)
103,Braves Field,1925,1962,31,Boston,MA,"Boston Bulldogs, Boston Braves, Boston Patriots"
104,Griffith Stadium,1937,1960,145,Washington,DC,Washington Redskins
105,Comiskey Park,1922,1958,135,Chicago,IL,Chicago Cardinals
106,Shibe Park,1925,1957,105,Philadelphia,PA,Philadelphia Eagles
107,City Stadium,1925,1956,136,Green Bay,WI,Green Bay Packers
108,Marquette Stadium,1952,1952,3,Milwaukee,WI,
109,Rubber Bowl,1941,1952,3,Akron,OH,
110,Wisconsin State Fair Park,1934,1951,42,West Allis,WI,
111,Philadelphia Municipal Stadium,1931,1950,23,Philadelphia,PA,Philadelphia Eagles
112,Ebbets Field,1926,1948,115,New York,NY,"Brooklyn Lions, Brooklyn Dodgers, Brooklyn Dodgers"
113,League Park,1923,1945,30,Cleveland,OH,"Cleveland Bulldogs, Cleveland Rams"
114,Erie Stadium,1938,1942,2,Erie,PA,
115,University of Detroit Stadium,1928,1940,34,Detroit,MI,"Detroit Wolverines, Detroit Lions"
116,Broadmoor Stadium,1939,1939,1,Colorado Springs,CO,
117,Laidley Field,1938,1938,1,Charleston,WV,
118,Shaw Stadium,1938,1938,4,East Cleveland,OH,Cleveland Rams
119,Point Stadium,1936,1936,1,Johnstown,PA,
120,Baker Bowl,1931,1935,16,Philadelphia,PA,"Frankford Yellow Jackets, Philadelphia Eagles"
121,Temple Stadium,1934,1935,2,Philadelphia,PA,
122,Corcoran Field,1934,1934,1,Cincinnati,OH,Cincinnati Reds
123,Crosley Field,1931,1934,7,Cincinnati,OH,Cincinnati Reds
124,Triangle Park,1922,1934,11,Dayton,OH,Dayton Triangles
125,Universal Stadium,1930,1934,26,Portsmouth,OH,Portsmouth Spartans
126,Borchert Field,1922,1933,25,Milwaukee,WI,Milwaukee Badgers
127,Chicago Stadium,1932,1932,1,Chicago,IL,
128,Thompson's Stadium,1929,1932,26,Staten Island,NY,Staten Island Stapletons
129,Cycledrome,1925,1931,57,Providence,RI,Providence Steam Roller
130,Loyola Stadium,1931,1931,1,Chicago,IL,
131,Frankford Stadium,1924,1930,76,Philadelphia,PA,Frankford Yellow Jackets
132,Mills Stadium,1930,1930,1,Chicago,IL,
133,Newark Schools Stadium,1930,1930,3,Newark,NJ,Newark Tornadoes
134,Nicollet Park,1922,1930,14,Minneapolis,MN,Minneapolis Marines
135,Velodrome,1930,1930,2,Newark,NJ,
136,Bison Stadium,1924,1929,23,Buffalo,NY,Buffalo Bisons
137,Breese Stevens Field,1929,1929,1,Madison,WI,
138,Kinsley Park,1929,1929,1,Providence,RI,
139,Knights of Columbus Stadium,1929,1929,5,East Orange,NJ,Orange Tornadoes
140,Minersville Park,1925,1929,32,Minersville,PA,Pottsville Maroons
141,Normal Park,1920,1928,31,Chicago,IL,Chicago Cardinals
142,Archbold Stadium,1927,1927,1,Syracuse,NY,
143,Luna Park,1927,1927,5,Cleveland,OH,Cleveland Bulldogs
144,East Hartford Velodrome,1926,1926,8,East Hartford,CT,Hartford Blues
145,General Field,1924,1926,7,Akron,OH,Akron Indians
146,Horlick Legion Field,1922,1926,21,Racine,WI,Racine Legion
147,Lakeside Park,1922,1926,25,Canton,OH,Canton Bulldogs
148,Muehlebach Field,1924,1926,6,Kansas City,MO,Kansas City Blues
149,Turner Field,1926,1926,1,Hammond,IN,Hammond Pros
150,West Side Athletic Club Field ,1924,1926,3,Columbus,OH,Columbus Tigers
151,Clarkin Field,1925,1925,1,Hartford,CT,
152,DePaul Field,1925,1925,1,Chicago,IL,
153,Douglas Park,1920,1925,25,Rock Island,IL,Rock Island Independents
154,Duluth Athletic Park,1923,1925,7,Duluth,MN,Duluth Eskimos
155,Bellevue Park,1923,1924,12,Green Bay,WI,Green Bay Packers
156,Edgerton Park,1922,1924,6,Rochester,NY,Rochester Jeffersons
157,Nash Employees' Field,1924,1924,1,Kenosha,WI,Kenosha Maroons
158,Armory Park,1923,1923,3,Toledo,OH,Toledo Maroons
159,Buffalo Baseball Park,1922,1923,11,Buffalo,NY,Buffalo All-Americans
160,Neil Park,1922,1923,7,Columbus,OH,Columbus Panhandles
161,Parkway Field,1923,1923,1,Louisville,KY,Louisville Brecks
162,Wooster Avenue Stadium,1923,1923,1,Akron,OH,Akron Pros
163,Hagemeister Park,1921,1922,9,Green Bay,WI,Green Bay Packers
164,League Park,1922,1922,5,Akron,OH,Akron Pros
165,Lincoln Park,1922,1922,1,Marion,OH,Oorang Indians
166,Swayne Field,1922,1922,6,Toledo,OH,Toledo Maroons
167,Bosse Field,1921,1921,4,Evansville,IN,
168,Staley Field,1920,1921,3,Decatur,IL,
169,Pyott's Park,1920,1920,1,Chicago,IL,
170,St. Rita's Stadium,1920,1920,1,Chicago,IL,
171,Aloha Stadium,,,0,Honolulu,HI,
172,IG Field,,,0,Winnipeg,Mani,
