,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Games,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
2,1,Jonathan Vilma*,NYJ,23,MLB,16,16,1,1,0,1,6,4,1,1,4,0,0.5,173,128,45,7,,
3,2,Donnie Edwards,SDG,32,LILB,16,16,2,15,0,14,11,2,0,0,0,0,3.0,154,114,40,4,,
4,3,Zach Thomas*,MIA,32,MLB,14,14,1,0,0,0,3,4,0,1,0,0,2.0,162,107,55,13,,
5,4,London Fletcher,BUF,30,MLB,16,16,1,20,0,20,3,1,0,2,0,0,4.0,158,104,54,6,,1
6,5,Shelton Quarles,TAM,34,MLB,16,16,0,0,0,0,2,4,0,1,0,0,1.0,134,104,30,6,,1
7,6,Keith Bulluck,TEN,28,RLB,16,16,2,16,0,16,10,1,0,1,0,0,5.0,138,102,36,12,,
8,7,Jeremiah Trotter*,PHI,28,MLB,15,15,1,2,0,2,10,2,0,0,0,0,1.0,121,102,19,11,,
9,8,Demorrio Williams,ATL,25,RLB,16,16,2,6,0,6,3,1,0,1,0,0,3.0,127,99,28,9,,
10,9,Brian Urlacher*+,CHI,27,MLB,16,16,0,0,0,0,5,1,0,0,0,0,6.0,122,98,24,17,,
11,10,Mike Peterson,JAX,29,MLB,16,16,3,54,1,26,6,2,0,1,0,0,6.0,132,95,37,10,,
12,11,Derrick Brooks*+,TAM,32,RLB,16,16,1,0,0,0,11,1,0,0,0,0,3.0,125,93,32,10,,
13,12,Adrian Wilson,ARI,26,SS,16,16,1,36,0,36,9,2,0,2,0,0,8.0,109,93,16,13,,
14,13,Nick Barnett,GNB,24,MLB,16,16,1,95,1,95,2,1,0,3,17,0,1.0,139,92,47,9,,
15,14,Gary Brackett,IND,25,MLB,16,16,3,50,0,31,6,,,,,,1.0,127,92,35,0,,
16,15,Michael Lewis,PHI,25,SS,16,16,2,13,0,13,8,1,0,1,0,0,1.0,106,92,14,4,,
17,16,Gibril Wilson,NYG,24,SS,16,16,2,36,0,19,5,2,0,0,0,0,3.0,114,92,22,4,,
18,17,Kirk Morrison ,OAK,23,LLB,16,15,0,0,0,0,2,0,0,2,0,0,0.0,116,91,25,5,,
19,18,Derek Smith,SFO,30,RILB,16,16,1,13,0,13,7,0,0,1,0,1,0.0,116,90,26,12,,
20,19,Keith Brooking*,ATL,30,MLB,16,16,4,50,0,22,10,0,0,1,0,0,3.5,115,89,26,5,,
21,20,Andra Davis,CLE,27,LILB,16,16,1,14,0,14,6,,,,,,2.0,149,89,60,9,,
22,21,Antoine Winfield,MIN,28,LCB,16,16,4,5,0,4,8,0,0,2,0,0,0.0,98,89,9,1,,
23,22,Kerry Rhodes,NYJ,23,FS,16,16,1,0,0,0,7,1,0,0,0,0,1.0,106,86,20,1,,
24,23,Lance Briggs*+,CHI,25,RLB,16,16,2,30,1,20,11,1,0,2,0,0,2.0,109,85,24,8,,
25,24,Lofa Tatupu*,SEA,23,MLB,16,16,3,55,1,38,10,0,0,1,0,0,4.0,105,85,20,9,,
26,25,Charles Tillman ,CHI,24,LCB,15,15,5,172,1,95,16,4,0,1,0,0,1.0,96,85,11,0,,
27,26,Erik Coleman,NYJ,23,SS,16,16,2,4,0,4,7,,,,,,0.0,121,84,37,1,,
28,27,Kawika Mitchell ,KAN,26,MLB,16,16,1,0,0,0,11,0,0,2,0,0,2.0,105,84,21,8,,
29,28,Ronde Barber*+,TAM,30,RCB,16,16,5,105,0,42,20,0,0,1,4,0,2.0,99,83,16,2,,
30,29,Danny Clark,OAK,28,MLB,16,15,0,0,0,0,7,,,,,,1.0,113,82,31,6,,
31,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
32,30,Morlon Greenwood,HOU,27,RILB,16,16,0,0,0,0,7,0,0,2,0,0,2.0,112,82,30,4,,
33,31,Nate Clements,BUF,26,RCB,16,16,2,0,0,0,13,3,0,1,0,0,0.0,102,81,21,4,,
34,32,Lemar Marshall,WAS,29,MLB,16,16,4,55,1,27,9,2,0,0,0,0,2.0,101,81,20,5,,
35,33,Angelo Crowell,BUF,24,RLB,15,13,2,3,0,2,5,2,0,0,0,0,3.0,120,80,40,9,,
36,34,Derrick Johnson ,KAN,23,LLB,16,16,0,0,0,0,5,2,0,1,0,0,2.0,96,80,16,7,,
37,35,Antonio Pierce,NYG,27,MLB,13,13,2,41,0,24,11,1,0,2,12,1,2.5,100,80,20,7,,
38,36,Ben Taylor,CLE,27,RILB,16,16,0,0,0,0,3,,,,,,0.0,113,77,36,2,,
39,37,James Farrior,PIT,30,LILB,14,14,0,0,0,0,4,2,0,1,0,0,2.0,121,76,45,7,,
40,38,Larry Foote,PIT,25,RILB,16,16,0,0,0,0,2,0,0,1,27,0,3.0,102,76,26,13,,1
41,39,Renaldo Hill,OAK,27,DB,16,13,1,0,0,0,5,,,,,,0.0,89,75,14,4,,
42,40,Kenoy Kennedy ,DET,28,SS,16,16,2,64,1,64,6,1,1,0,0,0,0.0,99,75,24,3,,
43,41,Lawyer Milloy,BUF,32,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,107,75,32,4,,
44,42,Ike Taylor,PIT,25,LCB,16,15,1,0,0,0,20,0,0,2,8,0,0.0,91,75,16,0,,
45,43,Jason Webster,ATL,28,RCB,15,13,1,19,0,19,5,2,0,0,0,0,0.0,81,75,6,2,,
46,44,Ian Gold,DEN,27,RLB,16,16,0,0,0,0,4,4,0,2,0,0,3.0,90,74,16,12,,
47,45,Marlon McCree,CAR,28,SS,16,15,3,73,0,46,10,0,0,1,4,0,0.0,88,74,14,2,,
48,46,Troy Polamalu*+,PIT,24,SS,16,16,2,42,0,36,8,1,0,2,78,1,3.0,92,74,18,7,,
49,47,Shawntae Spencer,SFO,23,RCB,15,14,4,85,1,61,19,,,,,,0.0,83,74,9,2,,
50,48,Marcus Washington,WAS,28,LLB,16,16,1,41,0,41,8,3,0,2,-1,0,7.5,94,74,20,11,,
51,49,Bradie James,DAL,24,LILB,16,16,0,0,0,0,4,,,,,,2.5,93,73,20,4,,
52,50,Tommy Polley,BAL,27,MLB,16,15,0,0,0,0,3,0,0,1,2,0,4.0,97,73,24,5,,
53,51,Mike Vrabel,NWE,30,RILB,16,16,2,23,1,24,5,1,0,0,0,0,4.5,108,73,35,7,,
54,52,Bob Sanders *+,IND,24,FS,14,14,1,0,0,0,4,1,0,1,0,0,0.0,92,72,20,3,,
55,53,Stuart Schweigert,OAK,24,FS,16,13,2,35,0,33,9,2,0,3,3,0,0.0,89,72,17,0,,
56,54,Roy Williams*,DAL,25,SS,16,16,3,52,1,46,10,3,0,1,0,0,2.5,84,72,12,4,,
57,55,Sam Cowart,MIN,30,MLB,15,14,0,0,0,0,2,,,,,,2.0,84,71,13,7,,
58,56,James Darling,ARI,31,MLB,14,14,2,22,0,15,4,,,,,,1.0,88,71,17,4,,
59,57,Sammy Knight,KAN,30,SS,16,16,2,12,0,12,13,2,0,2,80,1,2.0,91,71,20,3,,
60,58,Daylon McCutcheon,CLE,29,LCB,16,16,2,14,0,14,9,2,0,0,0,0,0.0,78,71,7,3,,
61,59,Adalius Thomas,BAL,28,LLB,16,16,2,48,1,28,5,4,0,4,44,2,9.0,86,71,15,8,,
62,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
63,60,Pisa Tinoisamoa,STL,24,LLB,16,16,2,35,0,20,9,1,0,0,0,0,1.5,94,71,23,7,,
64,61,Karlos Dansby,ARI,24,LLB,15,15,3,31,2,18,5,2,0,2,0,0,4.0,89,70,19,13,,
65,62,Chris Hope,PIT,25,FS,16,16,3,60,0,55,5,1,0,1,6,0,0.0,97,70,27,1,,
66,63,Mark Roman,GNB,28,SS,16,16,2,18,0,12,8,0,0,2,0,0,0.0,90,70,20,2,,
67,64,Daryl Smith,JAX,23,RLB,16,16,1,0,0,0,2,,,,,,4.0,82,70,12,10,,
68,65,Brian Dawkins*,PHI,32,FS,16,16,3,24,0,24,24,4,0,1,0,0,3.5,80,69,11,4,,
69,66,Dunta Robinson,HOU,23,RCB,16,16,1,1,0,1,10,1,0,1,0,0,1.0,88,69,19,2,,
70,67,Cato June*,IND,26,RLB,13,13,5,115,2,36,7,,,,,,0.0,103,68,35,1,,
