,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
75,76,Ashley Lelie,DEN,25,WR,16,13,88,42,47.7%,770,18.3,1,29,56,8.8,2.6,48.1,0
76,77,Dennis Northcutt,CLE,28,WR,16,7,77,42,54.5%,441,10.5,2,19,58,5.7,2.6,27.6,0
77,78,Alex Smith,TAM,23,TE,16,10,61,41,67.2%,367,9.0,2,22,24,6.0,2.6,22.9,0
78,79,Brandon Stokley,IND,29,,15,4,67,41,61.2%,543,13.2,1,29,45,8.1,2.7,36.2,0
79,80,Chester Taylor,BAL,26,,15,1,53,41,77.4%,292,7.1,1,13,20,5.5,2.7,19.5,3
80,81,Ernest Wilford,JAX,26,WR,16,8,74,41,55.4%,681,16.6,7,35,39,9.2,2.6,42.6,0
81,82,Bryant Johnson ,ARI,24,,14,4,72,40,55.6%,432,10.8,1,25,41,6.0,2.9,30.9,0
82,83,Scottie Vines,DET,26,WR,13,11,71,40,56.3%,417,10.4,0,22,40,5.9,3.1,32.1,0
83,84,Marty Booker,MIA,29,WR,15,12,86,39,45.3%,686,17.6,3,30,60,8.0,2.6,45.7,0
84,85,Troy Brown,NWE,34,,13,3,59,39,66.1%,466,11.9,2,25,71,7.9,3.0,35.8,0
85,86,Reuben Droughns,CLE,27,RB,16,16,56,39,69.6%,369,9.5,0,14,51,6.6,2.4,23.1,6
86,87,Heath Miller,PIT,23,TE,16,15,52,39,75.0%,459,11.8,6,22,50,8.8,2.4,28.7,0
87,88,Domanick Williams,HOU,25,RB,11,11,48,39,81.3%,337,8.6,4,19,33,7.0,3.5,30.6,2
88,89,Darrell Jackson,SEA,27,wr,6,6,55,38,69.1%,482,12.7,3,29,48,8.8,6.3,80.3,0
89,90,Shawn Bryson,DET,29,,16,2,47,37,78.7%,284,7.7,0,12,63,6.0,2.3,17.8,1
90,91,Dallas Clark,IND,26,TE,15,14,52,37,71.2%,488,13.2,4,25,56,9.4,2.5,32.5,0
91,92,Doug Gabriel,OAK,25,,14,2,72,37,51.4%,554,15.0,3,31,38,7.7,2.6,39.6,0
92,93,Mewelde Moore,MIN,23,RB,16,8,49,37,75.5%,339,9.2,2,17,29,6.9,2.3,21.2,2
93,94,Jeb Putzier,DEN,26,,16,4,58,37,63.8%,481,13.0,0,28,32,8.3,2.3,30.1,1
94,95,Bo Scaife,TEN,24,te,16,5,56,37,66.1%,273,7.4,2,17,19,4.9,2.3,17.1,0
95,96,Isaac Bruce,STL,33,WR,11,10,71,36,50.7%,525,14.6,3,21,46,7.4,3.3,47.7,0
96,97,Michael Jenkins,ATL,23,WR,14,12,71,36,50.7%,508,14.1,3,28,58,7.2,2.6,36.3,1
97,98,Matt Jones,JAX,22,,16,1,69,36,52.2%,432,12.0,5,23,42,6.3,2.3,27.0,2
98,99,Samie Parker,KAN,24,WR,12,9,58,36,62.1%,533,14.8,3,27,49,9.2,3.0,44.4,2
99,100,Michael Pittman,TAM,30,,16,4,46,36,78.3%,300,8.3,1,14,41,6.5,2.3,18.8,1
100,101,Ike Hilliard,TAM,29,,16,2,53,35,66.0%,282,8.1,1,24,22,5.3,2.2,17.6,0
