,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 7,New England Patriots,,Jacksonville Jaguars,boxscore,28,3
1,WildCard,Sat,January 7,Washington Redskins,@,Tampa Bay Buccaneers,boxscore,17,10
2,WildCard,Sun,January 8,Carolina Panthers,@,New York Giants,boxscore,23,0
3,WildCard,Sun,January 8,Pittsburgh Steelers,@,Cincinnati Bengals,boxscore,31,17
4,Division,Sat,January 14,Denver Broncos,,New England Patriots,boxscore,27,13
5,Division,Sat,January 14,Seattle Seahawks,,Washington Redskins,boxscore,20,10
6,Division,Sun,January 15,Carolina Panthers,@,Chicago Bears,boxscore,29,21
7,Division,Sun,January 15,Pittsburgh Steelers,@,Indianapolis Colts,boxscore,21,18
8,ConfChamp,Sun,January 22,Seattle Seahawks,,Carolina Panthers,boxscore,34,14
9,ConfChamp,Sun,January 22,Pittsburgh Steelers,@,Denver Broncos,boxscore,34,17
10,SuperBowl,Sun,February 5,Pittsburgh Steelers,N,Seattle Seahawks,boxscore,21,10
