,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Chris Carr,OAK,22,,16,0,34,186,0,34,5.5,73,1752,0,62,24.0,1937
3,2,Dante Hall ,KAN,27,,16,2,42,276,0,52,6.6,65,1560,1,96,24.0,2283
4,3,Reggie Swinton,ARI,30,,15,0,42,334,0,32,8.0,63,1456,0,90,23.1,1790
5,4,Wes Welker,MIA,24,,16,1,43,390,0,47,9.1,61,1379,0,46,22.6,2208
6,5,Darren Sproles ,SDG,22,,15,0,18,108,0,23,6.0,63,1528,0,58,24.3,1696
7,6,B.J. Sams,BAL,25,,14,0,33,401,0,51,12.2,44,998,0,87,22.7,1399
8,7,Eddie Drummond,DET,25,,12,0,26,157,0,38,6.0,49,1077,0,48,22.0,1231
9,8,Adam Jones,TEN,22,RCB,15,13,29,272,1,52,9.4,43,1127,0,85,26.2,1399
10,9,Chad Morton,NYG,28,,16,0,47,453,1,58,9.6,24,559,0,41,23.3,1012
11,10,Jerome Mathis*+,HOU,22,,12,0,12,68,0,19,5.7,54,1542,2,99,28.6,1675
12,11,Justin Miller,NYJ,21,rcb,16,8,6,9,0,12,1.5,60,1577,1,95,26.3,1586
13,12,Tab Perry ,CIN,23,,16,0,,,,,,64,1562,0,94,24.4,1592
14,13,Josh Scobey,SEA,26,,16,0,,,,,,59,1326,0,53,22.5,1326
15,14,Alvin Pearman,JAX,23,,16,0,49,410,0,24,8.4,8,187,0,34,23.4,986
16,15,Tyson Thompson,DAL,24,,15,0,,,,,,57,1399,0,49,24.5,1597
17,16,Mark Jones,TAM,25,,16,0,51,492,0,31,9.6,5,95,0,24,19.0,587
18,17,Antonio Chatman,GNB,26,,16,3,45,381,1,85,8.5,5,91,0,33,18.2,1055
19,18,Koren Robinson*,MIN,25,wr,14,5,2,0,0,0,0.0,47,1221,1,86,26.0,1595
20,19,Allen Rossum,ATL,30,,10,0,17,145,0,29,8.5,31,702,0,47,22.6,847
21,20,Josh Cribbs,CLE,22,,14,0,1,5,0,5,5.0,45,1094,1,90,24.3,1106
22,21,Terrence McGee,BUF,25,LCB,15,14,,,,,,46,1391,1,99,30.2,1488
23,22,Antwaan Randle El ,PIT,26,WR,16,15,44,448,2,81,10.2,1,16,0,16,16.0,1095
24,23,Az-Zahir Hakim,NOR,28,,12,2,34,260,0,42,7.6,9,171,0,29,19.0,920
25,24,Rasheed Marshall,SFO,24,,12,0,17,87,0,13,5.1,26,488,0,29,18.8,567
26,25,Tim Dwight,NWE,30,,16,1,32,273,0,29,8.5,10,250,0,38,25.0,866
27,26,Dominic Rhodes,IND,26,,13,1,,,,,,41,855,0,39,20.9,1061
28,27,Derrick Wimbush,JAX,25,,14,1,,,,,,39,955,1,91,24.5,993
29,28,Roderick Hood,PHI,24,rcb,16,6,,,,,,38,900,0,53,23.7,917
30,29,Chris Johnson ,STL,26,,13,1,,,,,,38,857,1,99,22.6,857
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Dexter Wynn,PHI,24,,10,0,22,110,0,27,5.0,16,284,0,27,17.8,394
33,31,Dennis Northcutt,CLE,28,WR,16,7,35,368,1,62,10.5,,,,,,842
34,32,Willie Ponder,NYG,25,,11,0,,,,,,35,905,1,95,25.9,909
35,33,Darrent Williams,DEN,23,RCB,12,9,17,148,0,52,8.7,18,431,0,36,23.9,687
36,34,Maurice Hicks,SFO,27,,14,3,,,,,,34,689,0,40,20.3,1044
37,35,Bobby Wade,2TM,24,,14,1,33,317,1,73,9.6,,,,,,438
38,36,Jerry Azumah,CHI,28,,15,1,,,,,,32,705,0,40,22.0,705
39,37,Antonio Brown,WAS,27,,7,0,13,63,0,16,4.8,19,439,1,91,23.1,509
40,38,Bethel Johnson ,NWE,26,,11,1,1,11,0,11,11.0,31,694,0,54,22.4,772
41,39,Aaron Stecker,NOR,30,,15,4,,,,,,31,672,0,46,21.7,1316
42,40,David Allen,STL,27,,4,0,7,38,0,12,5.4,23,472,0,32,20.5,510
43,41,Steve Smith*+,CAR,26,WR,16,16,27,286,0,44,10.6,3,61,0,33,20.3,1940
44,42,Rod Smart,CAR,28,,12,0,,,,,,29,615,0,60,21.2,621
45,43,Keiwan Ratliff,CIN,24,,16,3,28,157,0,13,5.6,,,,,,209
46,44,Jerricho Cotchery,NYJ,23,,16,1,23,182,0,18,7.9,4,105,0,30,26.3,542
47,45,Charlie Adams,DEN,26,,16,2,16,133,0,32,8.3,10,218,0,32,21.8,568
48,46,R.W. McQuarters,DET,29,rcb,16,11,10,117,0,49,11.7,16,381,0,73,23.8,523
49,47,Otis Amey,SFO,24,,11,0,11,125,1,75,11.4,14,241,0,25,17.2,366
50,48,Mewelde Moore,MIN,23,RB,16,8,21,245,1,71,11.7,4,72,0,27,18.0,1318
51,49,Ladell Betts,WAS,26,,12,0,,,,,,24,621,1,94,25.9,1037
52,50,Torrie Cox,TAM,25,,15,0,,,,,,24,464,0,30,19.3,464
53,51,Roscoe Parrish,BUF,23,,10,1,14,186,0,43,13.3,10,261,0,45,26.1,593
54,52,Jimmy Williams,SEA,26,,14,1,24,139,0,24,5.8,,,,,,145
55,53,Patrick Crayton,DAL,26,,11,0,23,166,0,25,7.2,,,,,,507
56,54,Quincy Morgan,PIT,28,,16,0,,,,,,23,583,0,74,25.3,733
57,55,Ricardo Colclough,PIT,22,,14,0,,,,,,22,473,0,63,21.5,487
58,56,Reno Mahe,PHI,25,,15,0,21,269,0,44,12.8,1,19,0,19,19.0,443
59,57,Fred McAfee,NOR,37,,16,0,,,,,,22,485,0,34,22.0,485
60,58,Courtney Roby,TEN,22,wr,13,6,,,,,,22,495,0,59,22.5,800
61,59,Troy Walters,IND,29,,16,1,21,172,0,29,8.2,1,13,0,13,13.0,337
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Vernand Morency,HOU,25,,12,1,,,,,,20,437,0,31,21.9,708
64,61,Edell Shepherd,TAM,25,,16,0,,,,,,20,414,0,30,20.7,517
65,62,Ahmad Carroll,GNB,22,LCB,16,16,,,,,,19,390,0,57,20.5,428
