,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 6,Atlanta Falcons,@,Los Angeles Rams,boxscore,26,13
1,WildCard,Sat,January 6,Tennessee Titans,@,Kansas City Chiefs,boxscore,22,21
2,WildCard,Sun,January 7,Jacksonville Jaguars,,Buffalo Bills,boxscore,10,3
3,WildCard,Sun,January 7,New Orleans Saints,,Carolina Panthers,boxscore,31,26
4,Division,Sat,January 13,New England Patriots,,Tennessee Titans,boxscore,35,14
5,Division,Sat,January 13,Philadelphia Eagles,,Atlanta Falcons,boxscore,15,10
6,Division,Sun,January 14,Minnesota Vikings,,New Orleans Saints,boxscore,29,24
7,Division,Sun,January 14,Jacksonville Jaguars,@,Pittsburgh Steelers,boxscore,45,42
8,ConfChamp,Sun,January 21,New England Patriots,,Jacksonville Jaguars,boxscore,24,20
9,ConfChamp,Sun,January 21,Philadelphia Eagles,,Minnesota Vikings,boxscore,38,7
10,SuperBowl,Sun,February 4,Philadelphia Eagles,N,New England Patriots,boxscore,41,33
