,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Harrison Butker,KAN,22,,13,0,,,8,8,17,16,12,10,5,4,42,38,53,90.5%,28,28,100.0%,78,5006,61,78.2%,64.2,,,,,
3,2,Ryan Succop,TEN,31,,16,0,,,10,10,7,7,20,16,5,2,42,35,52,83.3%,33,31,93.9%,80,5120,47,58.8%,64.0,,,,,
4,3,Robbie Gould,SFO,35,,16,0,,,8,7,11,11,18,17,4,4,41,39,52,95.1%,30,28,93.3%,4,101,,,25.3,,,,,
5,4,Phil Dawson,ARI,42,,16,0,1,1,7,7,14,10,13,10,5,4,40,32,57,80.0%,26,23,88.5%,76,4647,34,44.7%,61.1,,,,,
6,5,Stephen Gostkowski,NWE,33,,16,0,,,16,16,9,9,11,8,4,4,40,37,62,92.5%,47,45,95.7%,99,6228,40,40.4%,62.9,,,,,
7,6,Greg Zuerlein*+,LAR,30,,14,0,1,1,8,8,12,11,12,12,7,6,40,38,56,95.0%,46,44,95.7%,95,6075,73,76.8%,63.9,,,,,
8,7,Matt Bryant,ATL,42,,16,0,1,1,6,6,13,10,10,9,9,8,39,34,57,87.2%,35,35,100.0%,,,,,,,,,,
9,8,Chris Boswell*,PIT,26,,16,0,,,10,10,14,12,10,9,4,4,38,35,53,92.1%,39,37,94.9%,90,5681,46,51.1%,63.1,,,,,
10,9,Kai Forbath,MIN,30,,16,0,,,8,8,14,12,7,6,9,6,38,32,53,84.2%,39,34,87.2%,88,5587,44,50.0%,63.5,,,,,
11,10,Justin Tucker,BAL,28,,16,0,,,7,7,11,11,12,11,7,5,37,34,57,91.9%,39,39,100.0%,90,5601,55,61.1%,62.2,,,,,
12,11,Wil Lutz,NOR,23,,16,0,,,10,10,5,4,16,13,5,4,36,31,53,86.1%,50,47,94.0%,94,5972,58,61.7%,63.5,,,,,
13,12,Matt Prater,DET,33,,16,0,2,2,4,4,10,10,8,7,11,7,35,30,58,85.7%,41,40,97.6%,17,977,6,35.3%,57.5,4,139,47,0,34.8
14,13,Adam Vinatieri,IND,45,,15,0,,,11,11,10,7,7,6,6,5,34,29,54,85.3%,24,22,91.7%,,,,,,,,,,
15,14,Stephen Hauschka,BUF,32,,16,0,,,6,6,9,9,9,7,9,7,33,29,56,87.9%,29,29,100.0%,74,4361,37,50.0%,58.9,,,,,
16,15,Brandon McManus,DEN,26,,16,0,,,8,6,12,11,6,4,6,3,32,24,53,75.0%,27,27,100.0%,71,4191,45,63.4%,59.0,1,26,26,0,26.0
17,16,Jake Elliott,PHI,22,,15,0,,,5,5,7,4,13,12,6,5,31,26,61,83.9%,42,39,92.9%,84,5212,42,50.0%,62.0,,,,,
18,17,Chandler Catanzaro,NYJ,26,,16,0,1,1,6,6,4,4,17,12,2,2,30,25,57,83.3%,29,29,100.0%,71,4349,45,63.4%,61.3,,,,,
19,18,Graham Gano*,CAR,30,,16,0,,,8,8,11,11,10,10,1,,30,29,48,96.7%,37,34,91.9%,83,5313,70,84.3%,64.0,,,,,
20,19,Blair Walsh,SEA,27,,16,0,,,6,6,10,7,12,8,1,,29,21,49,72.4%,38,37,97.4%,78,4837,39,50.0%,62.0,,,,,
21,20,Ka'imi Fairbairn,HOU,23,,16,0,,,4,3,10,8,7,6,4,3,25,20,55,80.0%,35,32,91.4%,75,4718,49,65.3%,62.9,,,,,
22,21,Aldrick Rosas,NYG,23,,16,0,,,8,8,5,3,9,4,3,3,25,18,52,72.0%,23,20,87.0%,62,3759,26,41.9%,60.6,,,,,
23,22,Patrick Murray,TAM,26,,12,0,,,5,5,8,8,5,4,5,2,23,19,50,82.6%,22,21,95.5%,59,3590,14,23.7%,60.8,,,,,
24,23,Cody Parkey,MIA,25,,16,0,,,6,6,8,8,7,6,2,1,23,21,54,91.3%,29,26,89.7%,67,4013,28,41.8%,59.9,,,,,
25,24,Giorgio Tavecchio,OAK,27,,16,0,,,5,5,7,5,5,3,4,3,21,16,53,76.2%,34,33,97.1%,64,4058,48,75.0%,63.4,,,,,
26,25,Zane Gonzalez,CLE,22,,16,0,,,5,5,6,4,6,4,3,2,20,15,54,75.0%,26,25,96.2%,56,3286,33,58.9%,58.7,1,16,16,0,16.0
27,26,Dan Bailey,DAL,29,,12,0,1,1,4,3,5,4,5,4,5,3,20,15,56,75.0%,28,26,92.9%,56,3605,32,57.1%,64.4,,,,,
28,27,Randy Bullock,CIN,28,,15,0,,,6,6,8,7,5,4,1,1,20,18,51,90.0%,33,31,93.9%,65,4071,30,46.2%,62.6,,,,,
