,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,Misc,,Approx Val,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,
1,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,1,1,KAN,Eric Fisher,T,22,2020,0,1,7,52,52,113,0,0,0,0,0,0,0,0,1,-3,1,,,,Central Michigan,
3,1,2,JAX,Luke Joeckel,T,21,2017,0,0,3,20,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M,College Stats
4,1,3,MIA,Dion Jordan,DE,23,2020,0,0,0,8,4,59,0,0,0,0,0,0,0,0,0,0,0,78,,11.5,Oregon,College Stats
5,1,4,PHI,Lane Johnson,T,23,2020,1,3,6,53,53,99,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
6,1,5,DET,Ezekiel Ansah,DE,24,2020,0,1,5,39,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,BYU,College Stats
7,1,6,CLE,Barkevious Mingo,LB,22,2020,0,0,2,23,10,121,0,0,0,0,0,1,11,0,0,0,0,175,1,11.5,LSU,College Stats
8,1,7,ARI,Jonathan Cooper,G,23,2018,0,0,2,14,6,46,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
9,1,8,STL,Tavon Austin,WR,23,2019,0,0,4,25,22,96,0,1,0,0,0,196,1340,10,215,2006,15,1,,,West Virginia,College Stats
10,1,9,NYJ,Dee Milliner,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama,College Stats
11,1,10,TEN,Chance Warmack,G,21,2018,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
12,1,11,SDG,D.J. Fluker,T,22,2020,0,0,6,40,31,103,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
13,1,12,OAK,D.J. Hayden,DB,23,2020,0,0,2,14,8,91,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5,Houston,College Stats
14,1,13,NYJ,Sheldon Richardson ,DT,22,2020,0,1,8,55,33,116,0,0,0,0,0,4,4,2,0,0,0,263,1,30.0,Missouri,College Stats
15,1,14,CAR,Star Lotulelei,DT,23,2019,0,0,7,43,27,108,0,0,0,0,0,0,0,0,0,0,0,105,1,13.5,Utah,College Stats
16,1,15,NOR,Kenny Vaccaro,DB,22,2020,0,0,7,31,20,107,0,0,0,0,0,0,0,0,0,0,0,424,10,11.5,Texas,College Stats
17,1,16,BUF,EJ Manuel,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,,,,Florida St.,College Stats
18,1,17,PIT,Jarvis Jones,LB,23,2016,0,0,1,17,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6.0,Georgia,College Stats
19,1,18,SFO,Eric Reid,DB,21,2019,0,1,7,32,25,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6.0,LSU,College Stats
20,1,19,NYG,Justin Pugh,T,23,2020,0,0,8,36,25,97,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse,College Stats
21,1,20,CHI,Kyle Long ,G,24,2019,0,3,6,41,41,77,0,0,0,0,0,0,0,0,1,-1,0,,,,Oregon,
22,1,21,CIN,Tyler Eifert,TE,22,2020,0,1,2,17,17,69,0,0,0,0,0,0,0,0,207,2356,26,,,,Notre Dame,College Stats
23,1,22,ATL,Desmond Trufant,DB,22,2020,0,1,7,34,34,103,0,0,0,0,0,0,0,0,0,0,0,288,14,6.0,Washington,College Stats
24,1,23,MIN,Sharrif Floyd ,DT,21,2016,0,0,2,13,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5,Florida,College Stats
25,1,24,IND,Bjoern Werner,DE,23,2015,0,0,1,10,10,38,0,0,0,0,0,0,0,0,0,0,0,58,,6.5,Florida St.,College Stats
26,1,25,MIN,Xavier Rhodes,DB,23,2020,1,3,7,41,41,115,0,0,0,0,0,0,0,0,0,0,0,337,12,,Florida St.,College Stats
27,1,26,GNB,Datone Jones,DE,23,2020,0,0,0,10,9,68,0,0,0,0,0,0,0,0,0,0,0,64,1,10.0,UCLA,College Stats
28,1,27,HOU,DeAndre Hopkins,WR,21,2020,3,4,8,59,59,121,1,3,6,1,1,3,11,0,709,9569,58,,,,Clemson,College Stats
29,1,28,DEN,Sylvester Williams,DT,24,2020,0,0,4,29,22,100,0,0,0,0,0,0,0,0,0,0,0,92,,5.5,North Carolina,College Stats
30,1,29,MIN,Cordarrelle Patterson,WR,22,2020,3,3,2,26,17,122,0,0,0,0,0,146,911,7,214,2079,10,16,,,Tennessee,College Stats
31,1,30,STL,Alec Ogletree,LB,21,2020,0,0,6,51,40,95,0,0,0,0,0,0,0,0,0,0,0,476,12,7.5,Georgia,College Stats
32,1,31,DAL,Travis Frederick ,C,22,2019,1,5,6,53,53,96,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
33,1,32,BAL,Matt Elam,DB,22,2016,0,0,2,13,13,41,0,0,0,0,0,0,0,0,0,0,0,89,1,0.5,Florida,College Stats
34,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
35,2,33,JAX,Johnathan Cyprien,DB,23,2020,0,0,5,23,20,79,0,0,0,0,0,0,0,0,0,0,0,381,2,3.0,Florida International,College Stats
36,2,34,TEN,Justin Hunter,WR,22,2018,0,0,1,9,7,60,0,0,0,0,0,0,0,0,85,1349,13,,,,Tennessee,College Stats
37,2,35,PHI,Zach Ertz,TE,22,2020,0,3,4,40,40,112,0,0,0,0,0,0,0,0,549,5921,36,,,,Stanford,College Stats
38,2,36,DET,Darius Slay,DB,22,2020,1,3,7,41,41,114,0,0,0,0,0,0,0,0,0,0,0,339,19,1.0,Mississippi St.,College Stats
39,2,37,CIN,Giovani Bernard,RB,21,2020,0,0,1,38,38,110,0,0,0,0,0,862,3504,21,329,2773,10,,,,North Carolina,College Stats
40,2,38,SDG,Manti Te'o,LB,22,2019,0,0,4,20,14,62,0,0,0,0,0,0,0,0,0,0,0,212,2,1.5,Notre Dame,College Stats
41,2,39,NYJ,Geno Smith,QB,22,2018,0,0,2,15,15,40,523,906,6182,29,36,147,661,7,1,13,0,,,,West Virginia,College Stats
42,2,40,SFO,Tank Carradine,DE,23,2019,0,0,0,7,7,46,0,0,0,0,0,0,0,0,0,0,0,56,,5.5,Florida St.,College Stats
43,2,41,BUF,Robert Woods,WR,21,2020,0,0,8,45,16,111,0,0,0,0,0,62,421,4,496,6264,30,6,,,USC,College Stats
44,2,42,OAK,Menelik Watson,T,24,2017,0,0,2,9,7,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
45,2,43,TAM,Johnthan Banks,DB,23,2017,0,0,2,12,12,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,Mississippi St.,College Stats
46,2,44,CAR,Kawann Short,DT,24,2020,0,2,5,40,40,99,0,0,0,0,0,0,0,0,0,0,0,167,,32.5,Purdue,College Stats
47,2,45,ARI,Kevin Minter,LB,22,2020,0,0,3,24,20,103,0,0,0,0,0,0,0,0,0,0,0,221,,6.0,LSU,College Stats
48,2,46,BUF,Kiko Alonso,LB,23,2019,0,0,4,32,9,86,0,0,0,0,0,0,0,0,0,0,0,369,10,3.0,Oregon,College Stats
49,2,47,DAL,Gavin Escobar ,TE,22,2017,0,0,0,2,2,64,0,0,0,0,0,0,0,0,30,333,8,5,,,San Diego St.,College Stats
50,2,48,PIT,Le'Veon Bell,RB,21,2020,2,3,5,59,56,84,0,1,0,0,0,1521,6300,39,388,3207,8,,,,Michigan St.,College Stats
51,2,49,NYG,Johnathan Hankins,DT,21,2020,0,0,7,34,18,109,0,0,0,0,0,0,0,0,0,0,0,181,,13.5,Ohio St.,College Stats
52,2,50,CHI,Jonathan Bostic,LB,22,2020,0,0,5,25,6,97,0,0,0,0,0,0,0,0,0,0,0,306,2,8.5,Florida,College Stats
53,2,51,WAS,David Amerson,DB,21,2018,0,0,4,20,7,74,0,0,0,0,0,0,0,0,0,0,0,234,9,,North Carolina St.,College Stats
54,2,52,NWE,Jamie Collins,LB,23,2020,0,1,7,55,41,107,0,0,0,0,0,0,0,0,0,0,0,427,11,25.5,Southern Miss,College Stats
55,2,53,CIN,Margus Hunt,DE,26,2020,0,0,1,17,3,99,0,0,0,0,0,0,0,0,0,0,0,74,,7.5,SMU,College Stats
56,2,54,MIA,Jamar Taylor,DB,22,2020,0,0,2,15,3,98,0,0,0,0,0,0,0,0,0,0,0,216,5,1.5,Boise St.,College Stats
57,2,55,SFO,Vance McDonald,TE,23,2020,0,0,5,14,5,96,0,0,0,0,0,1,2,0,175,1998,15,6,,,Rice,College Stats
58,2,56,BAL,Arthur Brown,LB,20,2016,0,0,0,3,2,48,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,Kansas St.,College Stats
59,2,57,HOU,D.J. Swearinger,DB,22,2020,0,0,5,29,8,106,0,0,0,0,0,0,0,0,0,0,0,323,14,4.5,South Carolina,College Stats
60,2,58,DEN,Montee Ball,RB,22,2014,0,0,0,8,8,21,0,0,0,0,0,175,731,5,29,207,0,6,,,Wisconsin,College Stats
61,2,59,NWE,Aaron Dobson,WR,22,2015,0,0,1,6,6,24,0,0,0,0,0,0,0,0,53,698,4,,,,Marshall,College Stats
62,2,60,ATL,Robert Alford,DB,24,2018,0,0,5,24,24,88,0,0,0,0,0,0,0,0,0,0,0,250,10,,Southeastern Louisiana,
63,2,61,GNB,Eddie Lacy,RB,23,2017,0,1,3,36,34,60,0,0,0,0,0,857,3614,23,107,947,6,,,,Alabama,College Stats
64,2,62,SEA,Christine Michael ,RB,22,2018,0,0,1,9,8,38,0,0,0,0,0,256,1089,7,26,135,1,,,,Texas A&M,College Stats
65,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
66,3,63,KAN,Travis Kelce,TE,23,2020,2,5,7,59,59,107,1,3,4,0,1,4,6,1,581,7443,44,,,,Cincinnati,College Stats
67,3,64,JAX,Dwayne Gratz,DB,23,2016,0,0,1,10,10,43,0,0,0,0,0,0,0,0,0,0,0,91,3,,Connecticut,College Stats
68,3,65,DET,Larry Warford ,G,22,2019,0,3,7,47,20,101,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
69,3,66,OAK,Sio Moore,LB,23,2016,0,0,2,15,10,47,0,0,0,0,0,0,0,0,0,0,0,164,,7.5,Connecticut,College Stats
70,3,67,PHI,Bennie Logan,DT,23,2018,0,0,5,32,21,89,0,0,0,0,0,0,0,0,0,0,0,161,,7.0,LSU,College Stats
71,3,68,CLE,Leon McFadden,DB,22,2016,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,25,,,San Diego St.,College Stats
72,3,69,ARI,Tyrann Mathieu,DB,21,2020,2,1,7,39,23,109,0,0,0,0,0,0,0,0,0,0,0,455,20,9.0,LSU,College Stats
73,3,70,TEN,Blidi Wreh-Wilson,DB,23,2020,0,0,1,8,6,71,0,0,0,0,0,0,0,0,0,0,0,108,3,,Connecticut,College Stats
74,3,71,STL,T.J. McDonald,DB,22,2018,0,0,6,25,18,75,0,0,0,0,0,0,0,0,0,0,0,312,8,5.0,USC,College Stats
75,3,72,NYJ,Brian Winters ,G,22,2020,0,0,6,26,26,100,0,0,0,0,0,0,0,0,0,0,0,,,,Kent St.,
76,3,73,TAM,Mike Glennon,QB,23,2020,0,0,1,13,11,30,508,836,5398,38,20,45,96,0,0,0,0,,,,North Carolina St.,College Stats
77,3,74,DAL,Terrance Williams,WR,23,2018,0,0,4,28,28,83,0,0,0,0,0,5,19,0,232,3377,20,,,,Baylor,College Stats
78,3,75,NOR,Terron Armstead,T,22,2020,0,2,7,47,47,85,0,0,0,0,0,0,0,0,0,0,0,,,,Ark-Pine Bluff,
