,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
37,35,Bryan Anger,JAX,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,95,4338,61,0,45.7
38,36,Steve Weatherford,NYG,31,,16,0,,,,,,,,,,,,,,,,,,1,49,,,49.0,91,4271,68,0,46.9
39,37,Sam Koch,BAL,31,,16,0,,,,,,,,,,,,,,,,,,,,,,,90,4138,69,1,46.0
40,38,Shane Lechler,HOU,37,,16,0,,,,,,,,,,,,,,,,,,1,68,,,68.0,88,4189,65,0,47.6
41,39,Dustin Colquitt,KAN,31,,16,0,,,,,,,,,,,,,,,,,,1,77,,,77.0,87,4005,65,1,46.0
42,40,Michael Koenen,TAM,31,,16,0,,,,,,,,,,,,,,,,,,69,4294,41,59.4%,62.2,87,3846,62,0,44.2
43,41,Brandon Fields*,MIA,29,,16,0,,,,,,,,,,,,,,,,,,1,53,,,53.0,85,4150,74,0,48.8
44,42,Marquette King,OAK,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,84,4107,66,2,48.9
45,43,Spencer Lanning,CLE,25,,16,0,,,,,,,,,,,,,,,1,1,100.0%,8,403,,,50.4,84,3679,59,1,43.8
46,44,Saverio Rocca,WAS,40,,16,0,,,,,,,,,,,,,,,,,,1,56,,,56.0,84,3526,63,1,42.0
47,45,Donnie Jones ,PHI,33,,16,0,,,,,,,,,,,,,,,,,,,,,,,82,3681,70,1,44.9
48,46,Andy Lee ,SFO,31,,16,0,,,,,,,,,,,,,,,,,,1,53,,,53.0,79,3804,62,0,48.2
49,47,Johnny Hekker*+,STL,23,,16,0,,,,,,,,,,,,,,,,,,3,69,,,23.0,78,3609,64,0,46.3
50,48,Brett Kern,TEN,27,,16,0,,,,,,,,,,,,,,,,,,3,181,,,60.3,78,3386,63,1,43.4
51,49,Dave Zastudil,ARI,35,,16,0,,,,,,,,,,,,,,,,,,1,51,,,51.0,78,3566,60,0,45.7
