,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Keshawn Martin ,HOU,23,,16,1,39,345,1,87,8.8,36,947,0,50,26.3,1545
3,2,Marcus Thigpen,MIA,27,,16,0,34,264,0,34,7.8,39,878,0,50,22.5,1257
4,3,Brandon Tate,CIN,26,,16,0,36,336,0,43,9.3,35,914,0,71,26.1,1256
5,4,Devin Hester,CHI,31,,16,0,18,256,1,81,14.2,52,1436,0,80,27.6,1692
6,5,Trindon Holliday,DEN,27,,15,0,32,271,1,81,8.5,28,775,1,105,27.7,1053
7,6,Dexter McCluster*,KAN,24,wr,15,6,58,686,2,89,11.8,1,3,0,3,3.0,1205
8,7,Golden Tate,SEA,25,WR,16,13,51,585,0,71,11.5,3,57,0,24,19.0,1571
9,8,Tavon Austin,STL,23,,13,3,33,280,1,98,8.5,18,398,0,32,22.1,1247
10,9,Ted Ginn Jr.,CAR,28,,16,2,26,316,0,41,12.2,25,595,0,38,23.8,1496
11,10,Jacoby Jones,BAL,29,WR,12,9,19,237,0,37,12.5,31,892,1,77,28.8,1584
12,11,Dwayne Harris,DAL,26,,13,3,20,256,1,86,12.8,28,857,0,90,30.6,1199
13,12,Micah Hyde,GNB,23,,16,3,24,296,1,93,12.3,22,531,0,70,24.1,827
14,13,Eric Page,TAM,22,,16,1,23,251,0,52,10.9,22,548,0,44,24.9,881
15,14,Cordarrelle Patterson*+,MIN,22,wr,16,6,,,,,,43,1393,2,109,32.4,2020
16,15,Darren Sproles ,NOR,30,rb,15,4,29,194,0,28,6.7,12,255,0,32,21.3,1273
17,16,Micheal Spurlock,2TM,30,,11,0,23,207,0,62,9.0,18,389,0,36,21.6,596
18,17,Jeremy Ross,2TM,25,,13,2,17,263,1,58,15.5,21,514,1,98,24.5,884
19,18,Darius Reynaud,2TM,29,,9,0,18,135,0,35,7.5,18,430,0,40,23.9,569
20,19,Julian Edelman,NWE,27,WR,16,11,35,374,0,43,10.7,,,,,,1441
21,20,LaMichael James,SFO,24,,10,0,23,251,0,40,10.9,12,321,0,41,26.8,647
22,21,Patrick Peterson*+,ARI,23,LCB,16,16,33,198,0,22,6.0,1,18,0,18,18.0,350
23,22,Antonio Brown *,PIT,25,WR,16,14,32,409,1,67,12.8,1,16,0,16,16.0,1928
24,23,Quintin Demps,KAN,28,db,16,6,,,,,,33,992,1,95,30.1,1053
25,24,Leodis McKelvin,BUF,28,LCB,15,13,32,180,0,21,5.6,,,,,,180
26,25,Damaris Johnson,PHI,24,,13,0,12,100,0,21,8.3,17,441,0,33,25.9,555
27,26,Rueben Randle ,NYG,22,,16,3,29,237,0,32,8.2,,,,,,848
28,27,Fozzy Whittaker ,2TM,24,,14,2,,,,,,29,638,0,56,22.0,872
29,28,Josh Cribbs,NYJ,30,,6,0,8,96,0,21,12.0,20,490,0,42,24.5,647
30,29,Ace Sanders ,JAX,22,wr,15,4,25,140,0,17,5.6,3,75,0,31,25.0,703
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Taiwan Jones,OAK,25,,16,0,,,,,,26,623,0,41,24.0,701
33,31,Jordan Todman,JAX,23,,16,2,,,,,,26,712,0,59,27.4,1084
34,32,Travis Benjamin,CLE,24,,8,3,22,257,1,79,11.7,3,146,0,86,48.7,553
35,33,Jacquizz Rodgers ,ATL,23,rb,15,4,,,,,,25,575,0,34,23.0,1248
36,34,Javier Arenas,ARI,26,,16,0,1,0,0,0,0.0,23,493,0,46,21.4,493
37,35,David Reed,IND,26,,7,0,,,,,,24,590,0,39,24.6,592
38,36,Tandon Doss,BAL,24,,15,2,23,359,1,82,15.6,,,,,,664
39,37,Felix Jones,PIT,26,,16,2,,,,,,23,510,0,42,22.2,757
40,38,Leon Washington,2TM,31,,7,0,6,78,0,33,13.0,17,500,0,95,29.4,579
41,39,Marcus Sherels,MIN,26,,16,3,22,335,1,86,15.2,,,,,,335
42,40,Michael Cox,NYG,25,,14,1,,,,,,20,436,0,56,21.8,491
43,41,Jacoby Ford,OAK,26,,14,1,9,77,0,14,8.6,11,253,0,30,23.0,444
44,42,Josh Morgan,WAS,28,wr,14,7,8,59,0,34,7.4,12,239,0,25,19.9,525
45,43,Niles Paul,WAS,24,,15,4,,,,,,20,411,0,39,20.6,462
46,44,Robert McClain,ATL,25,rcb,16,6,19,193,0,25,10.2,,,,,,193
47,45,Santana Moss,WAS,34,,16,1,18,130,0,18,7.2,1,15,0,15,15.0,622
48,46,Kyle Williams,2TM,25,,10,5,12,61,0,22,5.1,7,134,0,35,19.1,331
49,47,LeGarrette Blount,NWE,27,RB,16,7,,,,,,17,494,0,83,29.1,1304
50,48,T.Y. Hilton,IND,24,WR,16,10,17,159,0,34,9.4,,,,,,1248
51,49,Marquise Goodwin,BUF,23,,12,1,,,,,,16,351,0,28,21.9,647
52,50,Greg Jenkins,OAK,24,,6,0,6,49,0,14,8.2,10,221,0,29,22.1,293
53,51,Keenan Allen,SDG,21,WR,15,14,15,125,0,28,8.3,,,,,,1171
54,52,DeSean Jackson*,PHI,27,WR,16,16,14,71,0,32,5.1,1,10,0,10,10.0,1415
55,53,Chris Thompson,WAS,23,,4,0,7,36,0,11,5.1,8,160,0,28,20.0,196
56,54,Jeremy Kerley,NYJ,25,WR,12,8,13,115,0,24,8.8,1,19,0,19,19.0,668
57,55,Benny Cunningham,STL,23,,14,0,,,,,,13,299,0,32,23.0,619
58,56,Jermaine Kearse,SEA,23,wr,15,5,,,,,,13,283,0,40,21.8,629
59,57,Danny Woodhead,SDG,28,,16,2,,,,,,12,262,0,37,21.8,1296
60,58,Cole Beasley,DAL,24,,14,3,10,68,0,14,6.8,1,11,0,11,11.0,447
61,59,Jerrel Jernigan,NYG,24,,15,3,,,,,,11,246,0,46,22.4,632
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Adam Jones,CIN,30,RCB,16,13,11,88,0,27,8.0,,,,,,191
64,61,Travaris Cadet,NOR,24,,13,0,1,0,0,0,0.0,9,239,0,82,26.6,244
65,62,Knile Davis ,KAN,22,,16,1,,,,,,10,321,1,108,32.1,638
