,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
65,62,Quincy Morgan,DEN,29,,7,0,,,,,,17,423,0,64,24.9,423
66,63,J.R. Reed,STL,24,,6,0,,,,,,17,346,0,40,20.4,346
67,64,Josh Scobey,SEA,27,,12,0,,,,,,17,315,0,33,18.5,315
68,65,Richard Marshall,CAR,22,rcb,16,8,2,-1,0,0,-0.5,14,291,0,26,20.8,374
69,66,Tim Dwight,NYJ,31,,9,2,14,146,0,18,10.4,,,,,,286
70,67,Jimmy Williams,SEA,27,,16,0,14,102,0,22,7.3,,,,,,102
71,68,Troy Williamson,MIN,23,WR,14,11,,,,,,14,324,0,44,23.1,779
72,69,Jerious Norwood,ATL,23,,14,0,,,,,,13,320,0,37,24.6,1055
73,70,Antonio Chatman,CIN,27,,3,0,8,53,0,19,6.6,4,93,0,31,23.3,168
74,71,Koren Robinson,GNB,26,,4,0,,,,,,12,253,0,31,21.1,342
75,72,Shaun Bodiford,2TM,24,,6,0,6,25,0,16,4.2,5,81,0,22,16.2,106
76,73,Patrick Crayton,DAL,27,WR,16,7,11,85,0,19,7.7,,,,,,601
77,74,Steve Smith*,CAR,27,WR,14,14,9,30,0,16,3.3,2,-1,0,3,-0.5,1256
78,75,Antonio Cromartie,SDG,22,,16,0,,,,,,10,297,0,91,29.7,297
79,76,Devale Ellis,DET,22,,9,2,4,61,0,48,15.3,6,139,0,28,23.2,244
80,77,Ellis Hobbs,NWE,23,RCB,15,9,,,,,,10,360,1,93,36.0,444
81,78,Sinorice Moss,NYG,23,,6,0,,,,,,10,194,0,33,19.4,219
82,79,Aaron Stecker,NOR,31,,12,1,,,,,,10,216,0,31,21.6,417
83,80,Kenny Watson,CIN,28,,16,0,,,,,,10,198,0,34,19.8,549
84,81,Kevin Curtis,STL,28,,16,1,,,,,,9,188,0,28,20.9,671
85,82,Nick Goings,CAR,28,,11,0,,,,,,9,218,0,33,24.2,377
86,83,Chad Owens,JAX,24,,4,0,9,56,0,13,6.2,,,,,,56
87,84,Tony Fisher,STL,27,,8,0,,,,,,8,165,0,26,20.6,333
88,85,Skyler Green,DAL,22,,2,0,5,26,0,13,5.2,3,59,0,21,19.7,85
89,86,Noah Herron,GNB,24,,16,0,,,,,,8,143,0,23,17.9,504
90,87,David Kircus,DEN,26,,16,0,6,86,0,42,14.3,2,38,0,20,19.0,311
91,88,Sean Morey,PIT,30,,16,0,,,,,,8,202,0,76,25.3,231
92,89,Derrick Wimbush,JAX,26,fb,12,6,,,,,,8,181,0,33,22.6,207
93,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
94,90,Adam Jennings,ATL,24,,15,0,,,,,,7,123,0,26,17.6,119
95,91,Jim Leonhard,BUF,24,,15,1,7,58,0,32,8.3,0,18,0,18,,76
96,92,Dane Looker,STL,30,,16,0,7,47,0,10,6.7,,,,,,60
97,93,Jerome Mathis,HOU,23,,2,0,,,,,,7,192,0,87,27.4,192
98,94,Jeff Webb,KAN,24,,10,0,,,,,,7,169,0,50,24.1,192
99,95,Arnaz Battle,SFO,26,WR,16,15,6,90,0,60,15.0,,,,,,801
100,96,Andre' Davis,BUF,27,,16,1,,,,,,6,99,0,27,16.5,112
101,97,Jamal Jones ,NOR,25,,12,1,,,,,,6,130,0,29,21.7,238
102,98,Lance Moore,NOR,23,,4,0,6,45,0,25,7.5,,,,,,55
103,99,Mike Bell,DEN,23,rb,15,3,,,,,,5,97,0,22,19.4,932
104,100,Ricardo Colclough,PIT,23,,3,0,4,6,0,3,1.5,1,26,0,26,26.0,32
105,101,Robert Ferguson ,GNB,27,,4,1,,,,,,5,110,0,26,22.0,141
106,102,Cletis Gordon,SDG,23,,2,0,3,12,0,6,4.0,2,55,0,32,27.5,67
107,103,Greg Jennings,GNB,23,WR,14,11,5,29,0,10,5.8,,,,,,661
108,104,Keenan McCardell,SDG,36,WR,14,11,5,39,0,12,7.8,,,,,,484
