,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 6,Indianapolis Colts,,Kansas City Chiefs,boxscore,23,8
1,WildCard,Sat,January 6,Seattle Seahawks,,Dallas Cowboys,boxscore,21,20
2,WildCard,Sun,January 7,New England Patriots,,New York Jets,boxscore,37,16
3,WildCard,Sun,January 7,Philadelphia Eagles,,New York Giants,boxscore,23,20
4,Division,Sat,January 13,New Orleans Saints,,Philadelphia Eagles,boxscore,27,24
5,Division,Sat,January 13,Indianapolis Colts,@,Baltimore Ravens,boxscore,15,6
6,Division,Sun,January 14,Chicago Bears,,Seattle Seahawks,boxscore,27,24
7,Division,Sun,January 14,New England Patriots,@,San Diego Chargers,boxscore,24,21
8,ConfChamp,Sun,January 21,Chicago Bears,,New Orleans Saints,boxscore,39,14
9,ConfChamp,Sun,January 21,Indianapolis Colts,,New England Patriots,boxscore,38,34
10,SuperBowl,Sun,February 4,Indianapolis Colts,N,Chicago Bears,boxscore,29,17
