,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,2006 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
1,Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
2,Dennis Green,ARI,16,5,11,0,48,16,32,0,207,113,94,0,0,0,0,0,0,0,12,4,8,
3,Jim Mora,ATL,16,7,9,0,48,26,22,0,64,31,33,0,0,0,0,2,1,1,2,1,1,
4,Brian Billick,BAL,16,13,3,0,144,80,64,0,144,80,64,0,1,0,1,8,5,3,8,5,3,
5,Dick Jauron,BUF,16,7,9,0,57,24,33,0,142,60,82,0,0,0,0,0,0,0,1,0,1,
6,John Fox,CAR,16,8,8,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,
7,Lovie Smith,CHI,16,13,3,0,144,81,63,0,176,89,87,0,3,2,1,6,3,3,6,3,3,NFC Champions
8,Marvin Lewis,CIN,16,8,8,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,
9,Romeo Crennel,CLE,16,4,12,0,64,24,40,0,90,32,58,0,0,0,0,0,0,0,0,0,0,
10,Bill Parcells,DAL,16,9,7,0,64,34,30,0,303,172,130,1,1,0,1,2,0,2,19,11,8,
11,Mike Shanahan,DEN,16,9,7,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,
12,Rod Marinelli,DET,16,3,13,0,48,10,38,0,48,10,38,0,0,0,0,0,0,0,0,0,0,
13,Mike McCarthy,GNB,16,8,8,0,204,125,77,2,215,128,85,2,0,0,0,18,10,8,18,10,8,
14,Gary Kubiak,HOU,16,6,10,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
15,Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,4,4,0,13,7,6,19,9,10,Super Bowl Champions
16,Jack Del Rio,JAX,16,8,8,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,
17,Herm Edwards,KAN,16,9,7,0,48,15,33,0,128,54,74,0,1,0,1,1,0,1,6,2,4,
18,Nick Saban,MIA,16,6,10,0,32,15,17,0,32,15,17,0,0,0,0,0,0,0,0,0,0,
19,Brad Childress,MIN,16,6,10,0,74,39,35,0,74,39,35,0,0,0,0,3,1,2,3,1,2,
20,Sean Payton,NOR,16,10,6,0,219,140,79,0,219,140,79,0,2,1,1,15,8,7,15,8,7,
21,Bill Belichick,NWE,16,12,4,0,331,242,89,0,411,278,133,0,3,2,1,41,30,11,43,31,12,
22,Tom Coughlin,NYG,16,8,8,0,192,102,90,0,320,170,150,0,1,0,1,11,8,3,19,12,7,
23,Eric Mangini,NYJ,16,10,6,0,48,23,25,0,80,33,47,0,1,0,1,1,0,1,1,0,1,
24,Art Shell,OAK,16,2,14,0,108,56,52,0,108,56,52,0,0,0,0,5,2,3,5,2,3,
25,Andy Reid,PHI,16,10,6,0,224,130,93,1,347,217,129,1,2,1,1,19,10,9,29,15,14,
26,Bill Cowher,PIT,16,8,8,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,
27,Marty Schottenheimer,SDG,16,14,2,0,80,47,33,0,327,200,126,1,1,0,1,2,0,2,18,5,13,
28,Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,2,1,1,10,4,6,24,13,11,
29,Mike Nolan,SFO,16,7,9,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,
30,Scott Linehan,STL,16,8,8,0,36,11,25,0,36,11,25,0,0,0,0,0,0,0,0,0,0,
31,Jon Gruden,TAM,16,4,12,0,112,57,55,0,219,112,107,0,0,0,0,5,3,2,9,5,4,
32,Jeff Fisher,TEN,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,
33,Joe Gibbs,WAS,16,5,11,0,248,154,94,0,248,154,94,0,0,0,0,24,17,7,24,17,7,
