,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 3,Carolina Panthers,,Arizona Cardinals,boxscore,27,16
1,WildCard,Sat,January 3,Baltimore Ravens,@,Pittsburgh Steelers,boxscore,30,17
2,WildCard,Sun,January 4,Indianapolis Colts,,Cincinnati Bengals,boxscore,26,10
3,WildCard,Sun,January 4,Dallas Cowboys,,Detroit Lions,boxscore,24,20
4,Division,Sat,January 10,New England Patriots,,Baltimore Ravens,boxscore,35,31
5,Division,Sat,January 10,Seattle Seahawks,,Carolina Panthers,boxscore,31,17
6,Division,Sun,January 11,Green Bay Packers,,Dallas Cowboys,boxscore,26,21
7,Division,Sun,January 11,Indianapolis Colts,@,Denver Broncos,boxscore,24,13
8,ConfChamp,Sun,January 18,New England Patriots,,Indianapolis Colts,boxscore,45,7
9,ConfChamp,Sun,January 18,Seattle Seahawks,,Green Bay Packers,boxscore,28,22
10,SuperBowl,Sun,February 1,New England Patriots,N,Seattle Seahawks,boxscore,28,24
