,Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
0,1,Tom Brady ,TAM,43,QB,12,12,7-5-0,307,474,64.8,3300,28,5.9,11,2.3,169,50,7.0,7.1,10.7,275.0,95.1,69.6,16,103,6.52,6.66,3.3,2,2
1,2,Ben Roethlisberger,PIT,38,QB,11,11,11-0-0,291,431,67.5,2800,25,5.8,6,1.4,146,84,6.5,7.0,9.6,254.5,99.0,65.7,10,87,6.15,6.67,2.3,3,3
2,3,Matt Ryan,ATL,35,QB,11,11,4-7-0,277,427,64.9,3163,17,4.0,8,1.9,165,63,7.4,7.4,11.4,287.5,92.5,69.4,28,178,6.56,6.52,6.2,,
3,4,Patrick Mahomes ,KAN,25,QB,11,11,10-1-0,291,423,68.8,3497,30,7.1,2,0.5,175,75,8.3,9.5,12.0,317.9,115.5,86.1,14,81,7.82,8.98,3.2,2,2
4,5,Carson Wentz ,PHI,28,QB,11,11,3-7-1,245,422,58.1,2541,16,3.8,15,3.6,126,59,6.0,5.2,10.4,231.0,73.4,49.6,46,304,4.78,4.02,9.8,3,2
5,6,Joe Burrow ,CIN,24,QB,10,10,2-7-1,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,57.7,32,231,5.64,5.72,7.3,,
6,7,Jared Goff,LAR,26,QB,11,11,7-4-0,271,403,67.2,3021,16,4.0,10,2.5,145,56,7.5,7.2,11.1,274.6,92.3,57.3,15,111,6.96,6.65,3.6,0,1
7,8,Justin Herbert ,LAC,22,QB,10,10,2-8-0,269,402,66.9,3015,23,5.7,7,1.7,146,72,7.5,7.9,11.2,301.5,100.9,68.9,22,139,6.78,7.13,5.2,,
8,9,Russell Wilson ,SEA,32,QB,11,11,8-3-0,278,393,70.7,3216,31,7.9,10,2.5,158,62,8.2,8.6,11.6,292.4,110.8,74.9,35,204,7.04,7.43,8.2,2,2
9,10,Philip Rivers,IND,39,QB,11,11,7-4-0,263,391,67.3,2978,16,4.1,9,2.3,146,55,7.6,7.4,11.3,270.7,93.9,62.5,10,58,7.28,7.07,2.5,2,2
10,11,Josh Allen ,BUF,24,QB,11,11,8-3-0,267,388,68.8,3028,22,5.7,8,2.1,144,49,7.8,8.0,11.3,275.3,102.3,75.4,22,126,7.08,7.27,5.4,2,3
11,12,Kyler Murray ,ARI,23,QB,11,11,6-5-0,264,387,68.2,2814,19,4.9,9,2.3,150,80,7.3,7.2,10.7,255.8,95.9,72.7,18,88,6.73,6.67,4.4,3,3
12,13,Matthew Stafford,DET,32,QB,11,11,4-7-0,244,386,63.2,2876,18,4.7,8,2.1,144,73,7.5,7.5,11.8,261.5,92.7,61.3,31,216,6.38,6.38,7.4,2,3
13,14,Aaron Rodgers ,GNB,37,QB,11,11,8-3-0,261,381,68.5,3100,33,8.7,4,1.0,152,78,8.1,9.4,11.9,281.8,117.6,85.1,11,108,7.63,8.86,2.8,1,2
14,15,Teddy Bridgewater,CAR,28,QB,11,11,3-8-0,257,366,70.2,2819,14,3.8,8,2.2,137,75,7.7,7.5,11.0,256.3,96.3,71.0,19,118,7.02,6.81,4.9,,
15,16,Deshaun Watson ,HOU,25,QB,11,11,4-7-0,250,363,68.9,3201,24,6.6,5,1.4,149,77,8.8,9.5,12.8,291.0,112.5,74.2,28,151,7.80,8.45,7.2,,
16,17,Daniel Jones ,NYG,23,QB,11,11,4-7-0,228,361,63.2,2335,8,2.2,9,2.5,123,53,6.5,5.8,10.2,212.3,78.7,66.9,31,179,5.50,4.88,7.9,0,0
17,18,Derek Carr,LVR,29,QB,11,11,6-5-0,241,348,69.3,2646,19,5.5,4,1.1,130,72,7.6,8.2,11.0,240.5,104.9,73.6,17,100,6.98,7.52,4.7,1,3
18,19,Ryan Tannehill,TEN,32,QB,11,11,8-3-0,217,334,65.0,2608,23,6.9,4,1.2,137,73,7.8,8.6,12.0,237.1,106.7,76.7,15,112,7.15,7.95,4.3,4,5
19,20,Kirk Cousins ,MIN,32,QB,11,11,5-6-0,218,320,68.1,2768,23,7.2,11,3.4,132,71,8.7,8.5,12.7,251.6,104.5,67.8,21,113,7.79,7.68,6.2,1,2
20,21,Nick Foles,CHI,31,qb,8,7,2-5-0,202,311,65.0,1852,10,3.2,8,2.6,93,50,6.0,5.4,9.2,231.5,81.0,43.6,18,145,5.19,4.70,5.5,2,2
21,22,Drew Brees,NOR,41,qb,9,9,7-2-0,219,298,73.5,2196,18,6.0,3,1.0,115,52,7.4,8.1,10.0,244.0,110.0,81.1,10,70,6.90,7.63,3.2,1,3
22,23,Baker Mayfield,CLE,25,QB,11,11,8-3-0,180,294,61.2,2108,17,5.8,7,2.4,113,43,7.2,7.3,11.7,191.6,92.3,68.6,17,90,6.49,6.57,5.5,2,2
23,24,Lamar Jackson,BAL,23,QB,10,10,6-4-0,175,276,63.4,1948,15,5.4,6,2.2,100,47,7.1,7.2,11.1,194.8,93.4,61.8,24,138,6.03,6.13,8.0,,
