,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Joey Slye,CAR,24,k,12,0,,,10,9,7,7,8,7,6,1,31,24,56,77.4%,28,26,92.9%,64,4001,56,87.5%,62.5,,,,,
3,2,Younghoe Koo,ATL,26,k,10,0,,,7,7,9,9,8,7,6,6,30,29,54,96.7%,25,22,88.0%,51,3198,22,43.1%,62.7,,,,,
4,3,Tyler Bass,BUF,23,k,11,0,1,1,4,4,7,4,9,8,6,4,27,21,58,77.8%,33,32,97.0%,64,4081,41,64.1%,63.8,,,,,
5,4,Rodrigo Blankenship ,IND,23,k,11,0,,,5,5,11,10,9,8,1,,26,23,44,88.5%,29,27,93.1%,5,309,3,60.0%,61.8,,,,,
6,5,Graham Gano,NYG,33,k,11,0,,,4,4,10,10,7,7,5,4,26,25,55,96.2%,17,17,100.0%,55,3302,24,43.6%,60.0,,,,,
7,6,Randy Bullock,CIN,31,k,11,0,,,3,3,10,8,8,7,4,3,25,21,55,84.0%,24,23,95.8%,56,3487,41,73.2%,62.3,,,,,
8,7,Daniel Carlson,LVR,25,k,11,0,,,11,11,6,6,4,2,4,4,25,23,54,92.0%,32,31,96.9%,64,4012,38,59.4%,62.7,,,,,
9,8,Matt Prater,DET,36,k,11,0,,,4,4,6,6,7,4,8,4,25,18,59,72.0%,26,26,100.0%,4,208,,,52.0,,,,,
10,9,Jason Sanders,MIA,25,k,11,0,,,5,5,3,3,9,8,8,8,25,24,56,96.0%,26,26,100.0%,63,3872,42,66.7%,61.5,,,,,
11,10,Stephen Gostkowski,TEN,36,k,11,0,,,3,2,4,3,10,5,7,6,24,16,55,66.7%,34,32,94.1%,65,4155,39,60.0%,63.9,,,,,
12,11,Ryan Succop,TAM,34,k,12,0,,,7,7,8,8,7,6,2,1,24,22,50,91.7%,38,36,94.7%,1,16,,,16.0,,,,,
13,12,Greg Zuerlein,DAL,33,k,11,0,1,1,2,2,8,8,9,9,4,1,24,21,59,87.5%,21,18,85.7%,58,3571,39,67.2%,61.6,,,,,
14,13,Michael Badgley,LAC,25,k,11,0,,,6,6,3,3,9,6,4,2,22,17,53,77.3%,29,26,89.7%,3,177,,,59.0,,,,,
15,14,Dustin Hopkins ,WAS,30,k,11,0,,,3,3,7,6,10,6,2,1,22,16,50,72.7%,24,23,95.8%,53,3329,45,84.9%,62.8,,,,,
16,15,Wil Lutz,NOR,26,k,11,0,,,6,5,8,8,6,6,2,1,22,20,53,90.9%,38,38,100.0%,66,4163,45,68.2%,63.1,,,,,
17,16,Brandon McManus,DEN,29,k,11,0,,,4,4,2,2,8,8,8,7,22,21,58,95.5%,19,18,94.7%,51,3096,36,70.6%,60.7,,,,,
18,17,Ka'imi Fairbairn,HOU,26,k,11,0,,,4,4,7,7,7,5,3,2,21,18,54,85.7%,28,26,92.9%,59,3658,33,55.9%,62.0,1,26,26,0,26.0
19,18,Nick Folk,NWE,36,k,11,0,,,5,5,5,5,8,7,3,2,21,19,51,90.5%,22,20,90.9%,,,,,,,,,,
20,19,Zane Gonzalez,ARI,25,k,11,0,,,4,4,2,2,12,8,3,2,21,16,56,76.2%,35,34,97.1%,61,3856,34,55.7%,63.2,,,,,
21,20,Cairo Santos,CHI,29,k,11,0,,,6,6,6,6,5,4,3,2,20,18,55,90.0%,20,20,100.0%,53,3197,28,52.8%,60.3,,,,,
22,21,Justin Tucker,BAL,31,k,11,0,,,5,5,4,4,8,8,3,2,20,19,55,95.0%,31,31,100.0%,61,3926,43,70.5%,64.4,,,,,
23,22,Chris Boswell,PIT,29,k,11,0,,,4,4,6,6,8,7,1,1,19,18,59,94.7%,35,31,88.6%,66,4164,40,60.6%,63.1,,,,,
24,23,Harrison Butker,KAN,25,k,11,0,2,2,4,4,7,7,3,1,3,3,19,17,58,89.5%,41,35,85.4%,69,4349,50,72.5%,63.0,,,,,
25,24,Robbie Gould,SFO,38,k,11,0,,,3,3,4,4,7,7,4,2,18,16,52,88.9%,28,27,96.4%,11,555,1,9.1%,50.5,,,,,
26,25,Cody Parkey,CLE,28,k,10,0,,,3,3,5,4,9,8,,,17,15,46,88.2%,29,28,96.6%,53,3348,30,56.6%,63.2,,,,,
27,26,Jake Elliott,PHI,25,k,11,0,,,2,1,5,5,4,4,4,1,15,11,54,73.3%,15,14,93.3%,52,3165,32,61.5%,60.9,,,,,
28,27,Jason Myers,SEA,29,k,11,0,,,1,1,4,4,8,8,2,2,15,15,61,100.0%,40,38,95.0%,64,4091,37,57.8%,63.9,,,,,
