,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Keenan Allen,LAC,28,WR,11,10,122,85,69.7%,875,10.3,7,53,28,7.2,7.7,79.5,3
1,2,Stefon Diggs,BUF,27,WR,11,11,110,80,72.7%,945,11.8,4,40,49,8.6,7.3,85.9,0
2,3,DeAndre Hopkins,ARI,28,WR,11,11,103,77,74.8%,967,12.6,4,52,60,9.4,7.0,87.9,1
3,4,Robby Anderson,CAR,27,WR,12,12,102,75,73.5%,912,12.2,2,40,75,8.9,6.3,76.0,1
4,5,Davante Adams,GNB,28,wr,9,9,99,74,74.7%,908,12.3,11,48,49,9.2,8.2,100.9,1
5,6,Travis Kelce,KAN,31,TE,11,11,98,74,75.5%,978,13.2,7,54,45,10.0,6.7,88.9,1
6,7,Tyler Boyd,CIN,26,wr,11,8,93,72,77.4%,725,10.1,3,41,25,7.8,6.5,65.9,1
7,8,Amari Cooper,DAL,26,WR,11,10,98,71,72.4%,848,11.9,3,42,58,8.7,6.5,77.1,0
8,9,Allen Robinson,CHI,27,WR,11,11,108,71,65.7%,829,11.7,5,42,42,7.7,6.5,75.4,0
9,10,Tyler Lockett,SEA,28,WR,11,11,92,70,76.1%,771,11.0,8,40,47,8.4,6.4,70.1,0
10,11,Terry McLaurin ,WAS,25,WR,11,11,102,69,67.6%,963,14.0,3,43,68,9.4,6.3,87.5,1
11,12,Tyreek Hill,KAN,26,WR,11,11,101,68,67.3%,1021,15.0,13,44,75,10.1,6.2,92.8,1
12,13,Alvin Kamara,NOR,25,rb,11,6,83,68,81.9%,646,9.5,4,29,52,7.8,6.2,58.7,1
13,14,Cooper Kupp,LAR,27,WR,11,10,96,66,68.8%,763,11.6,2,32,55,7.9,6.0,69.4,1
14,15,JuJu Smith-Schuster,PIT,24,WR,11,11,84,66,78.6%,572,8.7,6,32,31,6.8,6.0,52.0,1
15,16,Darren Waller,LVR,28,TE,11,10,90,64,71.1%,542,8.5,5,38,26,6.0,5.8,49.3,1
16,17,Robert Woods,LAR,28,WR,11,11,87,61,70.1%,679,11.1,5,31,56,7.8,5.5,61.7,2
17,18,D.K. Metcalf,SEA,23,WR,11,11,90,58,64.4%,1039,17.9,9,45,62,11.5,5.3,94.5,1
