,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 8,New York Jets,@,Indianapolis Colts,boxscore,17,16
1,WildCard,Sat,January 8,Seattle Seahawks,,New Orleans Saints,boxscore,41,36
2,WildCard,Sun,January 9,Green Bay Packers,@,Philadelphia Eagles,boxscore,21,16
3,WildCard,Sun,January 9,Baltimore Ravens,@,Kansas City Chiefs,boxscore,30,7
4,Division,Sat,January 15,Pittsburgh Steelers,,Baltimore Ravens,boxscore,31,24
5,Division,Sat,January 15,Green Bay Packers,@,Atlanta Falcons,boxscore,48,21
6,Division,Sun,January 16,Chicago Bears,,Seattle Seahawks,boxscore,35,24
7,Division,Sun,January 16,New York Jets,@,New England Patriots,boxscore,28,21
8,ConfChamp,Sun,January 23,Pittsburgh Steelers,,New York Jets,boxscore,24,19
9,ConfChamp,Sun,January 23,Green Bay Packers,@,Chicago Bears,boxscore,21,14
10,SuperBowl,Sun,February 6,Green Bay Packers,N,Pittsburgh Steelers,boxscore,31,25
