,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Sebastian Janikowski,OAK,32,,16,0,,,8,8,14,13,12,8,7,4,41,33,59,80.5%,43,43,100.0%,93,6007,29,31.2%,64.6,1,33,33,0,33.0
3,2,Dan Carpenter,MIA,25,,16,0,1,1,9,9,5,5,18,11,8,4,41,30,60,73.2%,25,25,100.0%,70,4470,14,20.0%,63.9,,,,,
4,3,Josh Brown ,STL,31,,16,0,,,12,11,14,12,9,7,4,3,39,33,53,84.6%,27,26,96.3%,,,,,,,,,,
5,4,Nick Folk,NYJ,26,,16,0,1,1,11,10,16,14,6,3,5,2,39,30,56,76.9%,37,37,100.0%,81,4986,7,8.6%,61.6,,,,,
6,5,David Akers*,PHI,36,,16,0,,,12,12,11,9,12,10,3,1,38,32,50,84.2%,47,47,100.0%,96,6135,23,24.0%,63.9,,,,,
7,6,Graham Gano,WAS,23,,16,0,1,1,10,8,7,4,14,11,3,,35,24,49,68.6%,28,28,100.0%,71,4617,9,12.7%,65.0,4,141,42,1,35.3
8,7,David Buehler,DAL,23,,16,0,,,8,8,7,4,11,8,6,4,32,24,53,75.0%,44,42,95.5%,84,5409,22,26.2%,64.4,,,,,
9,8,Jeff Reed,2TM,31,,14,0,2,2,10,9,9,8,7,3,4,2,32,24,53,75.0%,32,32,100.0%,71,4341,6,8.5%,61.1,,,,,
10,9,Matt Bryant,ATL,35,,16,0,,,11,11,9,8,10,8,1,1,31,28,51,90.3%,44,44,100.0%,,,,,,,,,,
11,10,Robbie Gould,CHI,28,,16,0,1,1,9,9,9,8,7,4,4,3,30,25,54,83.3%,35,35,100.0%,77,4890,16,20.8%,63.5,,,,,
12,11,Olindo Mare,SEA,37,,16,0,2,2,12,10,7,7,7,5,2,1,30,25,51,83.3%,31,31,100.0%,72,4679,20,27.8%,65.0,,,,,
13,12,Neil Rackers,HOU,34,,16,0,,,8,8,11,11,7,5,4,3,30,27,57,90.0%,43,43,100.0%,86,5658,13,15.1%,65.8,,,,,
14,13,Billy Cundiff*+,BAL,30,,16,0,,,11,11,9,8,8,7,1,,29,26,49,89.7%,39,39,100.0%,79,5399,40,50.6%,68.3,,,,,
15,14,John Kasay,CAR,41,,16,0,,,9,9,2,2,14,11,4,3,29,25,55,86.2%,17,17,100.0%,4,228,,,57.0,,,,,
16,15,Connor Barth,TAM,24,,16,0,,,6,6,10,10,10,6,2,1,28,23,53,82.1%,36,36,100.0%,78,4809,1,1.3%,61.7,1,33,33,0,33.0
17,16,Mason Crosby,GNB,26,,16,0,1,1,8,7,5,4,10,8,4,2,28,22,56,78.6%,46,46,100.0%,84,5088,4,4.8%,60.6,,,,,
18,17,Phil Dawson,CLE,35,,16,0,3,3,7,7,10,10,5,3,3,,28,23,48,82.1%,28,28,100.0%,67,4035,7,10.4%,60.2,,,,,
19,18,Nate Kaeding,SDG,28,,13,0,,,6,6,8,7,10,9,4,1,28,23,50,82.1%,40,40,100.0%,72,4490,4,5.6%,62.4,,,,,
20,19,Josh Scobee ,JAX,28,,16,0,2,2,3,3,7,6,14,9,2,2,28,22,59,78.6%,41,41,100.0%,76,4949,15,19.7%,65.1,,,,,
21,20,Adam Vinatieri,IND,38,,16,0,,,8,8,10,9,10,9,,,28,26,48,92.9%,51,51,100.0%,,,,,,,,,,
22,21,Jay Feely,ARI,34,,16,0,,,8,8,6,6,10,8,3,2,27,24,55,88.9%,29,29,100.0%,70,4512,16,22.9%,64.5,,,,,
23,22,Ryan Succop,KAN,24,,16,0,,,6,6,9,7,8,6,3,1,26,20,53,76.9%,42,42,100.0%,78,4730,8,10.3%,60.6,1,33,33,0,33.0
24,23,Rob Bironas,TEN,32,,16,0,,,6,6,9,8,8,8,3,2,26,24,55,92.3%,38,38,100.0%,76,4956,17,22.4%,65.2,,,,,
25,24,Garrett Hartley ,NOR,24,,14,0,1,1,6,4,9,7,7,6,2,2,25,20,52,80.0%,40,40,100.0%,34,2096,4,11.8%,61.6,,,,,
26,25,Lawrence Tynes,NYG,32,,15,0,,,12,12,4,2,4,3,3,2,23,19,53,82.6%,43,43,100.0%,78,4826,6,7.7%,61.9,,,,,
27,26,Rian Lindell,BUF,33,,16,0,1,1,6,6,6,5,2,1,6,3,21,16,51,76.2%,32,31,96.9%,67,4192,8,11.9%,62.6,,,,,
28,27,Mike Nugent,CIN,28,,9,0,,,5,5,7,7,3,1,4,2,19,15,54,78.9%,17,17,100.0%,44,2765,7,15.9%,62.8,,,,,
