,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 8,New York Jets,@,San Diego Chargers,boxscore,20,17
1,WildCard,Sat,January 8,St. Louis Rams,@,Seattle Seahawks,boxscore,27,20
2,WildCard,Sun,January 9,Indianapolis Colts,,Denver Broncos,boxscore,49,24
3,WildCard,Sun,January 9,Minnesota Vikings,@,Green Bay Packers,boxscore,31,17
4,Division,Sat,January 15,Atlanta Falcons,,St. Louis Rams,boxscore,47,17
5,Division,Sat,January 15,Pittsburgh Steelers,,New York Jets,boxscore,20,17
6,Division,Sun,January 16,New England Patriots,,Indianapolis Colts,boxscore,20,3
7,Division,Sun,January 16,Philadelphia Eagles,,Minnesota Vikings,boxscore,27,14
8,ConfChamp,Sun,January 23,New England Patriots,@,Pittsburgh Steelers,boxscore,41,27
9,ConfChamp,Sun,January 23,Philadelphia Eagles,,Atlanta Falcons,boxscore,27,10
10,SuperBowl,Sun,February 6,New England Patriots,N,Philadelphia Eagles,boxscore,24,21
