,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Tony Gonzalez*,KAN,28,TE,16,16,148,102,68.9%,1258,12.3,7,70,32,8.5,6.4,78.6,0
1,2,Derrick Mason,TEN,30,WR,16,16,158,96,60.8%,1168,12.2,7,67,37,7.4,6.0,73.0,2
2,3,Chad Johnson *,CIN,26,WR,16,16,170,95,55.9%,1274,13.4,9,63,53,7.5,5.9,79.6,1
3,4,Torry Holt*,STL,28,WR,16,16,135,94,69.6%,1372,14.6,10,59,75,10.2,5.9,85.8,3
4,5,Joe Horn*,NOR,32,WR,16,16,153,94,61.4%,1399,14.9,11,73,57,9.1,5.9,87.4,0
5,6,Muhsin Muhammad*+,CAR,31,WR,16,16,160,93,58.1%,1405,15.1,16,74,51,8.8,5.8,87.8,3
6,7,Laveranues Coles,WAS,27,WR,16,16,168,90,53.6%,950,10.6,1,52,45,5.7,5.6,59.4,1
7,8,Isaac Bruce,STL,32,WR,16,16,148,89,60.1%,1292,14.5,6,64,56,8.7,5.6,80.8,5
8,9,Javon Walker*,GNB,26,WR,16,12,144,89,61.8%,1382,15.5,12,63,79,9.6,5.6,86.4,2
9,10,Eric Moulds,BUF,31,WR,16,16,152,88,57.9%,1043,11.9,5,53,49,6.9,5.5,65.2,1
10,11,Darrell Jackson,SEA,26,WR,16,16,156,87,55.8%,1199,13.8,7,59,56,7.7,5.4,74.9,2
11,12,Jason Witten*,DAL,22,TE,16,15,122,87,71.3%,980,11.3,6,45,42,8.0,5.4,61.3,2
12,13,Marvin Harrison*,IND,32,WR,16,16,139,86,61.9%,1113,12.9,15,63,59,8.0,5.4,69.6,1
13,14,Donald Driver,GNB,29,WR,16,11,137,84,61.3%,1208,14.4,9,61,50,8.8,5.3,75.5,2
14,15,Eric Johnson ,SFO,25,TE,16,14,117,82,70.1%,825,10.1,2,46,25,7.1,5.1,51.6,1
15,16,Antonio Gates*+,SDG,24,TE,15,15,114,81,71.1%,964,11.9,13,55,72,8.5,5.4,64.3,0
16,17,Drew Bennett,TEN,26,WR,16,16,144,80,55.6%,1247,15.6,11,62,48,8.7,5.0,77.9,3
17,18,Michael Clayton,TAM,22,WR,16,13,122,80,65.6%,1193,14.9,7,56,75,9.8,5.0,74.6,1
18,19,Hines Ward *,PIT,28,WR,16,16,108,80,74.1%,1004,12.6,4,52,58,9.3,5.0,62.8,1
19,20,Andre Johnson *,HOU,23,WR,16,16,138,79,57.2%,1142,14.5,6,53,54,8.3,4.9,71.4,1
20,21,Rod Smith,DEN,34,WR,16,16,136,79,58.1%,1144,14.5,7,52,85,8.4,4.9,71.5,4
