,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Jason Elam,DEN,34,,16,0,,,10,10,8,7,12,9,4,3,34,29,52,85.3%,42,42,100.0%,1,18,,,18.0,,,,,
3,2,Jeff Reed,PIT,25,,16,0,1,1,9,8,13,12,8,5,2,2,33,28,51,84.8%,40,40,100.0%,84,5127,7,8.3%,61.0,,,,,
4,3,Adam Vinatieri*+,NWE,32,,16,0,,,13,13,7,7,12,11,1,,33,31,48,93.9%,48,48,100.0%,94,5886,6,6.4%,62.6,,,,,
5,4,David Akers*,PHI,30,,16,0,,,4,4,7,6,18,15,3,2,32,27,51,84.4%,42,41,97.6%,86,5557,12,14.0%,64.6,1,36,36,0,36.0
6,5,Matt Stover,BAL,36,,16,0,2,2,9,9,8,7,10,9,3,2,32,29,50,90.6%,30,30,100.0%,23,1441,2,8.7%,62.7,1,33,33,0,33.0
7,6,Shayne Graham,CIN,27,,16,0,,,7,7,12,10,8,7,4,3,31,27,53,87.1%,41,41,100.0%,82,4956,2,2.4%,60.4,,,,,
8,7,Josh Scobee ,JAX,22,,16,0,,,10,10,11,8,7,5,3,1,31,24,53,77.4%,21,21,100.0%,62,3955,11,17.7%,63.8,,,,,
9,8,Doug Brien,NYJ,34,,16,0,,,10,9,6,4,11,10,2,1,29,24,53,82.8%,34,33,97.1%,3,199,,,66.3,,,,,
10,9,Phil Dawson,CLE,29,,16,0,,,11,11,8,6,9,6,1,1,29,24,50,82.8%,28,28,100.0%,69,4170,5,7.2%,60.4,,,,,
11,10,Neil Rackers,ARI,28,,16,0,,,6,6,7,5,7,6,9,5,29,22,55,75.9%,28,28,100.0%,70,4658,23,32.9%,66.5,,,,,
12,11,Steve Christie,NYG,37,,16,0,1,1,8,8,8,6,7,4,4,3,28,22,53,78.6%,33,33,100.0%,71,4064,2,2.8%,57.2,1,19,19,0,19.0
13,12,Rian Lindell,BUF,27,,16,0,,,14,13,11,10,3,1,,,28,24,43,85.7%,45,45,100.0%,83,4835,3,3.6%,58.3,1,37,37,0,37.0
14,13,Jason Hanson,DET,34,,16,0,,,9,9,11,10,8,5,,,28,24,48,85.7%,28,28,100.0%,71,4462,14,19.7%,62.8,,,,,
15,14,Sebastian Janikowski,OAK,26,,16,0,1,1,7,7,8,7,10,8,2,2,28,25,52,89.3%,32,31,96.9%,76,4828,12,15.8%,63.5,,,,,
16,15,Ryan Longwell ,GNB,30,,16,0,,,8,8,9,8,8,6,3,2,28,24,53,85.7%,48,48,100.0%,83,4862,2,2.4%,58.6,,,,,
17,16,John Carney,NOR,40,,16,0,,,3,3,15,12,6,5,3,2,27,22,53,81.5%,38,38,100.0%,42,2622,,,62.4,,,,,
18,17,Billy Cundiff,DAL,24,,16,0,1,1,6,6,4,4,13,9,2,,26,20,49,76.9%,31,31,100.0%,67,4090,3,4.5%,61.0,1,34,34,0,34.0
19,18,Josh Brown ,SEA,25,,16,0,1,1,7,7,9,8,7,6,1,1,25,23,54,92.0%,40,40,100.0%,82,5018,5,6.1%,61.2,1,35,35,0,35.0
20,19,Nate Kaeding,SDG,22,,16,0,1,1,11,9,2,2,6,5,5,3,25,20,53,80.0%,55,54,98.2%,89,5298,2,2.2%,59.5,,,,,
21,20,Mike Vanderjagt,IND,34,,15,0,,,6,6,11,9,7,5,1,,25,20,47,80.0%,60,59,98.3%,32,1858,,,58.1,,,,,
22,21,Paul Edinger,CHI,26,,16,0,,,7,6,5,2,7,4,5,3,24,15,53,62.5%,22,22,100.0%,56,3285,,,58.7,2,53,30,0,26.5
23,22,Kris Brown,HOU,28,,16,0,,,7,7,5,3,9,6,3,1,24,17,50,70.8%,34,34,100.0%,69,4383,9,13.0%,63.5,,,,,
24,23,Jeff Wilkins ,STL,32,,16,0,,,7,7,6,5,6,3,5,4,24,19,53,79.2%,32,32,100.0%,70,4433,3,4.3%,63.3,,,,,
25,24,Jay Feely,ATL,28,,16,0,1,1,7,7,9,7,6,3,,,23,18,47,78.3%,40,40,100.0%,73,4580,13,17.8%,62.7,,,,,
26,25,Lawrence Tynes,KAN,26,,16,0,,,5,5,8,7,6,3,4,2,23,17,50,73.9%,60,58,96.7%,94,5674,7,7.4%,60.4,,,,,
27,26,John Kasay,CAR,35,,14,0,,,11,11,4,4,2,1,5,3,22,19,54,86.4%,28,27,96.4%,55,3291,2,3.6%,59.8,2,51,34,0,25.5
28,27,Morten Andersen,MIN,44,,16,0,1,1,8,8,7,5,6,4,,,22,18,48,81.8%,45,45,100.0%,8,433,,,54.1,,,,,
