,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Ricky Williams,MIA,26,RB,16,16,392,1372,9,68,45,3.5,85.8,7
3,2,Jamal Lewis*+,BAL,24,RB,16,16,387,2066,14,85,82,5.3,129.1,8
4,3,Ahman Green*,GNB,26,RB,16,16,355,1883,15,100,98,5.3,117.7,7
5,4,Deuce McAllister*,NOR,25,RB,16,16,351,1641,8,69,76,4.7,102.6,6
6,5,Fred Taylor,JAX,27,RB,16,16,345,1572,6,79,62,4.6,98.3,6
7,6,Travis Henry ,BUF,25,RB,15,15,331,1356,10,77,64,4.1,90.4,7
8,7,Shaun Alexander *,SEA,26,RB,16,15,326,1435,14,81,55,4.4,89.7,4
9,8,Curtis Martin ,NYJ,30,RB,16,16,323,1308,2,57,56,4.0,81.8,2
10,9,Priest Holmes*+,KAN,30,RB,16,16,320,1420,27,90,31,4.4,88.8,1
11,10,Stephen Davis *,CAR,29,RB,14,14,318,1444,8,69,40,4.5,103.1,3
12,11,LaDainian Tomlinson,SDG,24,RB,16,16,313,1645,13,83,73,5.3,102.8,2
13,12,Eddie George,TEN,30,RB,16,16,312,1031,5,52,27,3.3,64.4,1
14,13,Edgerrin James,IND,25,RB,13,13,310,1259,11,84,43,4.1,96.8,5
15,14,Clinton Portis*,DEN,22,RB,13,13,290,1591,14,79,65,5.5,122.4,3
16,15,Tiki Barber,NYG,28,RB,16,16,278,1216,2,68,27,4.4,76.0,9
17,16,Troy Hambrick,DAL,27,RB,16,16,275,972,5,58,42,3.5,60.8,4
18,17,Jerome Bettis,PIT,31,RB,16,10,246,811,7,44,21,3.3,50.7,5
19,18,Anthony Thomas,CHI,26,RB,13,13,244,1024,6,47,67,4.2,78.8,1
20,19,Domanick Williams,HOU,23,RB,14,10,238,1031,8,48,51,4.3,73.6,4
21,20,Marcel Shipp,ARI,25,RB,16,11,228,830,0,37,36,3.6,51.9,3
22,21,Rudi Johnson,CIN,24,RB,13,5,215,957,9,51,54,4.5,73.6,0
23,22,Marshall Faulk,STL,30,RB,11,11,209,818,10,51,52,3.9,74.4,0
24,23,Kevan Barlow,SFO,24,rb,16,4,201,1024,6,44,78,5.1,64.0,5
25,24,T.J. Duckett,ATL,22,RB,16,10,197,779,11,39,55,4.0,48.7,3
26,25,Michael Pittman,TAM,28,RB,16,13,187,751,0,39,17,4.0,46.9,4
27,26,Antowain Smith,NWE,31,rb,13,6,182,642,3,31,30,3.5,49.4,1
28,27,Kevin Faulk,NWE,27,RB,15,8,178,638,0,30,23,3.6,42.5,4
29,28,Garrison Hearst,SFO,32,RB,12,12,178,768,3,41,36,4.3,64.0,2
30,29,Moe Williams,MIN,29,RB,16,7,174,745,5,43,61,4.3,46.6,2
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Tyrone Wheatley,OAK,31,rb,15,5,159,678,4,31,41,4.3,45.2,2
33,31,Shawn Bryson,DET,27,RB,16,13,158,606,3,32,39,3.8,37.9,2
34,32,Trung Canidate,WAS,26,RB,11,10,142,600,1,27,38,4.2,54.5,1
35,33,William Green,CLE,24,RB,7,7,142,559,1,30,26,3.9,79.9,5
36,34,Corey Dillon,CIN,29,rb,13,11,138,541,2,27,39,3.9,41.6,0
37,35,Thomas Jones,TAM,25,,16,3,137,627,3,24,61,4.6,39.2,4
38,36,Amos Zereoue,PIT,27,rb,16,6,132,433,2,22,22,3.3,27.1,0
39,37,Correll Buckhalter,PHI,25,rb,15,5,126,542,8,31,64,4.3,36.1,3
40,38,Warrick Dunn,ATL,28,rb,11,6,125,672,3,28,69,5.4,61.1,2
41,39,Charlie Garner,OAK,31,RB,14,9,120,553,3,27,33,4.6,39.5,1
42,40,Brian Westbrook ,PHI,24,RB,15,8,117,613,7,30,62,5.2,40.9,3
