,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Jeff Wilkins *,STL,31,,16,0,,,16,16,13,11,9,8,4,4,42,39,53,92.9%,46,46,100.0%,96,6182,12,12.5%,64.4,,,,,
3,2,John Kasay,CAR,34,,16,0,,,13,13,8,6,13,11,4,2,38,32,53,84.2%,30,29,96.7%,74,4622,4,5.4%,62.5,1,33,33,0,33.0
4,3,Matt Stover,BAL,35,,16,0,,,16,16,6,6,14,11,2,,38,33,49,86.8%,35,35,100.0%,7,420,1,14.3%,60.0,1,34,34,0,34.0
5,4,Mike Vanderjagt*+,IND,33,,16,0,,,17,17,7,7,12,12,1,1,37,37,50,100.0%,46,46,100.0%,99,5955,4,4.0%,60.2,1,29,29,0,29.0
6,5,Paul Edinger,CHI,25,,16,0,1,1,4,4,13,9,14,9,4,3,36,26,54,72.2%,27,27,100.0%,69,3956,1,1.4%,57.3,,,,,
7,6,Adam Vinatieri,NWE,31,,16,0,,,17,16,8,4,8,5,1,,34,25,48,73.5%,38,37,97.4%,78,4889,2,2.6%,62.7,,,,,
8,7,John Hall,WAS,29,,16,0,,,8,8,9,7,9,6,7,4,33,25,54,75.8%,27,26,96.3%,72,4418,11,15.3%,61.4,,,,,
9,8,Seth Marler ,JAX,22,,16,0,,,11,10,8,4,12,5,2,1,33,20,53,60.6%,30,30,100.0%,64,3663,3,4.7%,57.2,,,,,
10,9,Doug Brien,NYJ,33,,16,0,,,5,5,15,15,8,7,4,,32,27,48,84.4%,24,24,100.0%,72,4312,1,1.4%,59.9,,,,,
11,10,Jeff Reed,PIT,24,,16,0,,,12,9,7,6,12,7,1,1,32,23,51,71.9%,32,31,96.9%,70,4373,5,7.1%,62.5,,,,,
12,11,Gary Anderson ,TEN,44,,15,0,,,5,5,12,12,14,10,,,31,27,43,87.1%,42,42,100.0%,,,,,,,,,,
13,12,Jason Elam,DEN,33,,16,0,,,11,10,6,6,11,9,3,2,31,27,51,87.1%,39,39,100.0%,,,,,,,,,,
14,13,Josh Brown ,SEA,24,,16,0,,,5,5,11,10,11,6,3,1,30,22,58,73.3%,48,48,100.0%,84,5031,3,3.6%,59.9,,,,,
15,14,John Carney,NOR,39,,16,0,,,6,6,12,10,9,5,3,1,30,22,50,73.3%,37,36,97.3%,20,1108,1,5.0%,55.4,,,,,
16,15,Billy Cundiff,DAL,23,,15,0,,,11,11,6,5,7,4,5,3,29,23,52,79.3%,31,30,96.8%,3,191,,,63.7,1,32,32,0,32.0
17,16,David Akers,PHI,29,,16,0,,,9,9,7,7,10,6,3,2,29,24,57,82.8%,42,42,100.0%,83,5237,8,9.6%,63.1,,,,,
18,17,Olindo Mare,MIA,30,,16,0,,,9,9,6,3,8,6,6,4,29,22,52,75.9%,34,33,97.1%,72,4652,24,33.3%,64.6,,,,,
19,18,Jay Feely,ATL,27,,16,0,,,6,6,11,9,7,4,3,,27,19,46,70.4%,33,32,97.0%,69,4305,7,10.1%,62.4,,,,,
20,19,Ryan Longwell ,GNB,29,,16,0,,,5,5,11,11,9,6,1,1,26,23,50,88.5%,51,51,100.0%,92,5398,4,4.3%,58.7,2,58,30,0,29.0
21,20,Martin Gramatica,TAM,28,,16,0,,,9,9,6,3,8,3,3,1,26,16,50,61.5%,34,33,97.1%,67,4098,5,7.5%,61.2,,,,,
22,21,Aaron Elling,MIN,25,,16,0,,,7,7,8,6,7,4,3,1,25,18,51,72.0%,48,48,100.0%,74,4425,1,1.4%,59.8,,,,,
23,22,Shayne Graham,CIN,26,,16,0,,,5,5,10,10,8,7,2,,25,22,48,88.0%,40,40,100.0%,77,4730,4,5.2%,61.4,,,,,
24,23,Sebastian Janikowski,OAK,25,,16,0,,,6,6,6,6,10,9,3,1,25,22,55,88.0%,29,28,96.6%,66,4112,7,10.6%,62.3,,,,,
25,24,Rian Lindell,BUF,26,,16,0,,,12,11,3,3,7,3,2,,24,17,44,70.8%,24,24,100.0%,60,3597,3,5.0%,60.0,,,,,
26,25,Jason Hanson,DET,33,,16,0,,,7,7,6,6,6,5,4,4,23,22,54,95.7%,27,26,96.3%,66,4186,10,15.2%,63.4,7,264,50,0,37.7
27,26,Kris Brown,HOU,27,,16,0,1,1,3,3,8,8,6,5,4,1,22,18,50,81.8%,27,27,100.0%,61,3876,8,13.1%,63.5,,,,,
28,27,Phil Dawson,CLE,28,,13,0,2,2,7,7,5,4,5,3,2,2,21,18,52,85.7%,21,20,95.2%,54,3225,1,1.9%,59.7,1,29,29,0,29.0
