,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 3,Carolina Panthers,,Dallas Cowboys,boxscore,29,10
1,WildCard,Sat,January 3,Tennessee Titans,@,Baltimore Ravens,boxscore,20,17
2,WildCard,Sun,January 4,Indianapolis Colts,,Denver Broncos,boxscore,41,10
3,WildCard,Sun,January 4,Green Bay Packers,,Seattle Seahawks,boxscore,33,27
4,Division,Sat,January 10,New England Patriots,,Tennessee Titans,boxscore,17,14
5,Division,Sat,January 10,Carolina Panthers,@,St. Louis Rams,boxscore,29,23
6,Division,Sun,January 11,Philadelphia Eagles,,Green Bay Packers,boxscore,20,17
7,Division,Sun,January 11,Indianapolis Colts,@,Kansas City Chiefs,boxscore,38,31
8,ConfChamp,Sun,January 18,New England Patriots,,Indianapolis Colts,boxscore,24,14
9,ConfChamp,Sun,January 18,Carolina Panthers,@,Philadelphia Eagles,boxscore,14,3
10,SuperBowl,Sun,February 1,New England Patriots,N,Carolina Panthers,boxscore,32,29
