,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Deonte Harris*+,NOR,22,,14,1,36,338,1,53,9.4,24,644,0,51,26.8,1037
3,2,Richie James,SFO,24,,16,1,33,264,0,32,8.0,20,428,0,81,21.4,849
4,3,Andre Roberts*,BUF,31,,13,0,28,223,0,22,8.0,25,664,0,66,26.6,914
5,4,Kenjon Barner,ATL,30,,14,0,35,267,1,78,7.6,17,406,0,47,23.9,723
6,5,Trevor Davis,3TM,26,,14,4,22,145,0,32,6.6,23,506,0,52,22.0,835
7,6,Mecole Hardman*,KAN,21,wr,16,5,18,167,0,36,9.3,27,704,1,104,26.1,1426
8,7,De'Anthony Thomas,2TM,26,,14,0,26,148,0,20,5.7,17,321,0,31,18.9,480
9,8,Pharoh Cooper,2TM,24,,13,1,17,129,0,29,7.6,25,561,0,39,22.4,935
10,9,Diontae Spencer,DEN,27,,16,2,26,208,0,42,8.0,15,436,0,60,29.1,681
11,10,Steven Sims,WAS,22,,16,2,6,26,0,11,4.3,32,819,1,91,25.6,1240
12,11,Desmond King,LAC,25,DB,15,8,21,118,1,68,5.6,16,331,0,43,20.7,462
13,12,Jamal Agnew,DET,24,,13,0,19,175,1,64,9.2,17,454,1,100,26.7,636
14,13,DeAndre Carter ,HOU,26,,16,3,22,214,0,23,9.7,14,308,0,31,22.0,684
15,14,Tarik Cohen,CHI,24,RB,16,11,33,302,0,71,9.2,2,23,0,16,11.5,994
16,15,Dontrell Hilliard,CLE,24,,14,0,15,107,0,18,7.1,17,421,0,74,24.8,669
17,16,Jojo Natson,LAR,25,,12,0,19,149,0,35,7.8,13,289,0,30,22.2,438
18,17,Alex Erickson ,CIN,27,wr,16,6,25,157,0,17,6.3,4,79,0,26,19.8,798
19,18,Jakeem Grant,MIA,27,,10,2,5,6,0,5,1.2,23,578,1,101,25.1,753
20,19,Cordarrelle Patterson*+,CHI,28,,16,4,,,,,,28,825,1,102,29.5,1011
21,20,Tyler Ervin ,2TM,26,,10,0,16,115,0,18,7.2,11,267,0,45,24.3,403
22,21,Tyler Lockett,SEA,27,WR,16,16,13,66,0,20,5.1,14,279,0,33,19.9,1397
23,22,T.J. Logan,TAM,25,,12,0,13,124,0,40,9.5,13,271,0,39,20.8,418
24,23,Braxton Berrios,NYJ,24,,16,0,21,240,0,26,11.4,4,48,0,25,12.0,403
25,24,Cody Latimer,NYG,27,WR/wr,15,10,,,,,,24,570,0,50,23.8,870
26,25,Brandon Bolden,NWE,29,,15,2,,,,,,23,515,0,38,22.4,694
27,26,Dede Westbrook,JAX,26,WR,15,11,23,132,0,43,5.7,,,,,,819
28,27,Kalif Raymond,TEN,25,,8,1,4,45,0,14,11.3,18,403,0,45,22.4,613
29,28,Michael Walker,JAX,23,,7,0,3,13,0,7,4.3,18,411,0,35,22.8,439
30,29,Diontae Johnson ,PIT,23,WR,16,12,20,248,1,85,12.4,,,,,,969
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Gunner Olszewski,NWE,23,,8,0,20,179,0,22,9.0,,,,,,213
33,31,Darius Phillips,CIN,24,,8,1,3,8,0,9,2.7,17,373,0,37,21.9,463
34,32,Brandon Wilson,CIN,25,,12,2,,,,,,20,625,1,92,31.3,625
35,33,Ray-Ray McCloud,CAR,23,,6,0,10,82,0,39,8.2,8,174,0,31,21.8,256
36,34,Ty Montgomery,NYJ,26,/rb,16,2,,,,,,18,364,0,34,20.2,557
37,35,Tavon Austin,DAL,29,,14,0,17,84,0,15,4.9,,,,,,308
38,36,Chester Rogers,IND,25,wr,12,6,14,137,0,21,9.8,3,27,0,13,9.0,361
39,37,Tremon Smith,2TM,23,,8,0,4,0,0,3,0.0,13,303,0,36,23.3,303
40,38,Ryan Switzer,PIT,25,,9,0,8,29,0,13,3.6,9,166,0,26,18.4,222
41,39,Trey Quinn,WAS,24,wr,12,6,16,78,0,15,4.9,,,,,,276
42,40,Boston Scott,PHI,24,,11,2,6,43,0,13,7.2,10,229,0,33,22.9,721
43,41,Marcus Sherels,2TM,32,,8,0,12,56,0,15,4.7,4,66,0,21,16.5,122
44,42,Nyheim Hines,IND,23,,16,2,9,281,2,84,31.2,6,123,0,25,20.5,923
45,43,Troymaine Pope,LAC,26,,14,0,1,0,0,0,0.0,14,288,0,34,20.6,322
46,44,Jalen Richard,OAK,26,,16,0,6,21,0,12,3.5,9,188,0,29,20.9,677
47,45,Bobo Wilson,TAM,24,,6,1,15,42,0,11,2.8,,,,,,77
48,46,Mike Hughes,MIN,22,,14,3,14,104,0,23,7.4,,,,,,104
49,47,Tony Pollard,DAL,22,,15,0,,,,,,14,245,0,30,17.5,807
50,48,Miles Sanders ,PHI,22,RB,16,11,,,,,,14,314,0,67,22.4,1641
51,49,Kerrith Whyte Jr,PIT,23,,6,0,,,,,,14,264,0,34,18.9,395
52,50,Ameer Abdullah,MIN,26,,16,0,,,,,,13,325,0,38,25.0,528
53,51,Justice Hill,BAL,22,,16,0,,,,,,12,227,0,46,18.9,522
54,52,Adam Humphries,TEN,26,,12,3,12,78,0,21,6.5,,,,,,453
55,53,Cyrus Jones,BAL,26,,8,1,12,113,0,25,9.4,,,,,,113
56,54,Dare Ogunbowale,TAM,25,,16,0,,,,,,12,223,0,26,18.6,526
57,55,Darrius Shepherd,GNB,24,,6,0,2,-9,0,0,-4.5,9,147,0,21,16.3,139
58,56,Darren Sproles ,PHI,36,/rb,6,1,11,86,0,17,7.8,,,,,,176
59,57,Danny Amendola,DET,34,WR,15,10,10,55,0,15,5.5,,,,,,733
60,58,Corey Ballentine,NYG,23,,13,2,,,,,,10,256,0,52,25.6,256
61,59,David Moore,SEA,24,,14,1,10,75,0,18,7.5,,,,,,401
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Zach Pascal,IND,25,WR,16,13,,,,,,10,263,0,47,26.3,886
64,61,Mohamed Sanu,2TM,30,,15,12,10,56,0,14,5.6,,,,,,587
65,62,Da'Mari Scott,NYG,24,,5,2,6,32,0,12,5.3,4,110,0,35,27.5,169
66,63,Vyncint Smith,NYJ,23,,13,4,,,,,,10,299,0,78,29.9,574
