,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Games,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
2,1,Budda Baker *,ARI,23,FS,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,
3,2,Zach Cunningham,HOU,25,RILB,16,16,0,0,0,0,2,0,0,2,24,0,2.0,142,99,43,7,3,
4,3,Blake Martinez,GNB,25,IL/LILB,16,16,1,22,0,22,2,1,0,0,0,0,3.0,155,97,58,5,3,
5,4,Eric Reid,CAR,28,SS,16,16,0,0,0,0,6,1,0,2,0,0,4.0,130,97,33,7,5,
6,5,Jordan Hicks,ARI,27,RILB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,
7,6,Joe Schobert,CLE,26,ML/MLB,16,16,4,24,0,20,9,2,0,1,21,0,2.0,133,89,44,7,4,
8,7,Fred Warner,SFO,23,MLB,16,16,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,
9,8,Demario Davis +,NOR,30,LLB,16,16,1,1,0,1,12,,,,,,4.0,111,87,24,11,9,
10,9,Bobby Wagner*+,SEA,29,MLB,16,16,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,
11,10,Anthony Walker,IND,24,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,
12,11,Jaylon Smith*,DAL,24,MLB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,
13,12,Lavonte David,TAM,29,RILB,16,16,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,
14,13,Tracy Walker,DET,24,FS,13,12,1,0,0,0,8,1,0,0,0,0,0.0,103,82,21,6,0,
15,14,Antoine Bethea,NYG,35,FS,16,16,1,7,0,7,6,0,0,2,0,0,0.0,110,81,29,2,0,
16,15,Luke Kuechly*,CAR,28,IL/RILB,16,16,2,26,0,25,12,,,,,,0.0,144,81,63,4,5,1
17,16,Shawn Williams,CIN,28,SS,16,15,1,12,0,12,3,,,,,,1.0,114,80,34,5,3,
18,17,Tahir Whitehead,OAK,29,LLB,16,16,0,0,0,0,1,,,,,,0.0,108,79,29,6,1,
19,18,Landon Collins,WAS,25,SS,15,15,0,0,0,0,4,2,0,0,0,0,1.0,117,78,39,9,3,
20,19,Todd Davis ,DEN,27,RILB,14,14,0,0,0,0,1,,,,,,0.0,134,78,56,6,1,
21,20,Cory Littleton,LAR,26,IL/RILB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,5,
22,21,Jerome Baker,MIA,23,ROLB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,5,
23,22,De'Vondre Campbell,ATL,26,LLB,16,15,2,-5,0,0,5,3,0,1,0,0,2.0,129,75,54,6,2,
24,23,Shaq Thompson,CAR,25,LILB,14,14,0,0,0,0,3,,,,,,3.0,109,75,34,11,4,
25,24,Cole Holcomb,WAS,23,LILB,16,15,0,0,0,0,1,3,0,0,0,0,1.0,105,74,31,6,2,
26,25,Logan Ryan,TEN,28,CB/LCB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,
27,26,Devin Bush Jr.,PIT,21,lilb,16,15,2,6,0,6,4,1,0,4,20,1,1.0,109,72,37,9,2,
28,27,Kyle Fuller *,CHI,27,LCB,16,16,3,37,0,29,12,,,,,,0.0,82,72,10,1,0,
29,28,Jessie Bates III,CIN,22,FS,16,16,3,33,0,20,9,1,0,1,0,0,0.0,100,71,29,0,0,
30,29,Terrell Edmunds,PIT,22,SS,16,16,0,0,0,0,3,,,,,,0.0,105,71,34,2,2,
31,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
32,30,Darius Leonard*,IND,24,LLB,13,13,5,92,1,80,7,2,0,0,0,0,5.0,121,71,50,7,6,
33,31,Jordan Poyer,BUF,28,SS,16,16,2,0,0,0,3,3,0,3,0,0,1.0,107,71,36,4,1,
34,32,Eric Kendricks*+,MIN,27,MLB,15,15,0,0,0,0,12,2,0,2,25,0,0.5,110,70,40,4,2,
35,33,Jayon Brown,TEN,24,RILB,14,14,1,0,0,0,8,0,0,1,47,1,1.0,105,69,36,3,3,
36,34,Rashaan Evans,TEN,24,LILB,16,16,,,,,,0,0,1,53,1,2.5,111,69,42,9,8,
37,35,Eric Weddle ,LAR,34,FS,16,16,0,0,0,0,4,,,,,,0.0,108,69,39,1,1,
38,36,Tavon Wilson,DET,29,SS,16,13,0,0,0,0,5,0,0,2,14,0,1.0,98,69,29,3,2,
39,37,Adrian Amos,GNB,26,SS,16,16,2,12,0,9,8,,,,,,1.0,84,68,16,4,2,
40,38,Deion Jones,ATL,25,MLB,16,16,1,27,1,27,5,0,0,1,5,0,0.0,110,68,42,8,4,
41,39,K.J. Wright,SEA,30,RLB,16,16,3,10,0,11,11,,,,,,0.0,132,67,65,5,1,
42,40,Vonn Bell,NOR,25,SS,13,13,1,19,0,19,5,2,0,5,38,1,1.5,89,66,23,4,4,
43,41,Tremaine Edmunds*,BUF,21,MLB,16,16,1,0,0,0,9,,,,,,1.5,115,66,49,10,4,1
44,42,Byron Murphy,ARI,21,LCB,16,16,1,0,0,0,10,,,,,,0.0,78,66,12,3,0,
45,43,Roquan Smith,CHI,22,RILB,12,12,1,0,0,0,2,,,,,,2.0,101,66,35,5,2,
46,44,Levi Wallace,BUF,24,LCB,16,16,2,2,0,2,9,,,,,,0.0,76,66,10,4,0,
47,45,Thomas Davis ,LAC,36,LLB,16,16,0,0,0,0,2,,,,,,1.0,112,65,47,3,2,
48,46,Tre Flowers,SEA,24,RCB,15,15,3,0,0,0,8,1,0,1,0,0,2.0,82,65,17,2,2,
49,47,Matt Milano,BUF,25,LLB,15,15,0,0,0,0,9,1,0,1,0,0,1.5,101,65,36,7,7,
50,48,Justin Simmons ,DEN,26,FS,16,16,4,30,0,17,15,0,1,0,0,0,0.0,93,65,28,2,0,
51,49,Harrison Smith*,MIN,30,SS,15,15,3,13,0,13,11,3,0,2,0,0,1.0,85,65,20,4,2,
52,50,Dre Greenlaw,SFO,22,RLB,16,11,1,47,0,47,2,,,,,,1.0,92,64,28,3,2,
53,51,Erik Harris,OAK,29,FS,16,14,3,145,2,59,8,,,,,,0.0,74,64,10,1,0,
54,52,Malcolm Jenkins,PHI,32,FS/SS,16,16,0,0,0,0,8,4,0,1,0,0,2.5,81,63,18,6,9,
55,53,Tyrann Mathieu+,KAN,27,SS,16,16,4,70,0,35,12,,,,,,2.0,75,63,12,3,2,
56,54,Ha Ha Clinton-Dix,CHI,27,FS/SS,16,16,2,96,1,59,5,0,0,2,1,0,0.0,78,62,16,0,0,
57,55,Taylor Rapp,LAR,22,SS,15,10,2,54,1,31,8,0,0,1,0,0,0.0,100,62,38,3,1,
58,56,Jamal Adams *+,NYJ,24,SS,14,14,1,61,1,61,7,2,0,1,25,1,6.5,75,61,14,10,13,
59,57,Drue Tranquill,LAC,24,,15,3,0,0,0,0,1,,,,,,0.0,75,61,14,4,0,
60,58,Kevin Byard ,TEN,26,FS,16,16,5,79,0,28,9,,,,,,0.0,84,60,24,2,0,
61,59,Nick Vigil,CIN,26,LILB,16,16,1,34,0,34,5,1,0,2,13,0,1.0,111,60,51,3,4,
62,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
63,60,Joe Haden*,PIT,30,LCB,16,16,5,20,0,16,17,1,0,1,3,0,0.0,65,59,6,3,0,
64,61,Rashaan Melvin,DET,30,CB/DB,13,12,0,0,0,0,11,,,,,,0.0,68,59,9,0,0,
65,62,Mark Barron,PIT,30,il/LILB,15,9,1,0,0,0,3,0,0,1,22,0,3.0,82,58,24,4,4,
66,63,Jamie Collins,NWE,30,LLB,16,15,3,85,1,69,7,3,0,1,0,0,7.0,81,58,23,10,10,
67,64,Darryl Roberts,NYJ,29,CB/RCB,13,10,1,13,0,13,6,,,,,,0.0,63,58,5,1,1,
68,65,Devin White,TAM,21,LILB,13,13,1,5,0,5,3,3,0,4,121,2,2.5,91,58,33,4,5,
69,66,Justin Reid,HOU,22,FS,15,15,2,55,0,37,5,0,0,1,0,0,0.0,78,57,21,1,1,
70,67,Jarrod Wilson,JAX,25,FS,16,16,2,4,0,4,4,1,0,0,0,0,0.0,79,57,22,6,2,
