,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 4,Houston Texans,,Buffalo Bills,boxscore,22,19
1,WildCard,Sat,January 4,Tennessee Titans,@,New England Patriots,boxscore,20,13
2,WildCard,Sun,January 5,Minnesota Vikings,@,New Orleans Saints,boxscore,26,20
3,WildCard,Sun,January 5,Seattle Seahawks,@,Philadelphia Eagles,boxscore,17,9
4,Division,Sat,January 11,San Francisco 49ers,,Minnesota Vikings,boxscore,27,10
5,Division,Sat,January 11,Tennessee Titans,@,Baltimore Ravens,boxscore,28,12
6,Division,Sun,January 12,Green Bay Packers,,Seattle Seahawks,boxscore,28,23
7,Division,Sun,January 12,Kansas City Chiefs,,Houston Texans,boxscore,51,31
8,ConfChamp,Sun,January 19,Kansas City Chiefs,,Tennessee Titans,boxscore,35,24
9,ConfChamp,Sun,January 19,San Francisco 49ers,,Green Bay Packers,boxscore,37,20
10,SuperBowl,Sun,February 2,Kansas City Chiefs,N,San Francisco 49ers,boxscore,31,20
