,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Jay Feely,ATL,26,,16,0,,,10,8,14,12,13,11,3,1,40,32,52,80.0%,43,42,97.7%,92,5875,16,17.4%,63.9,,,,,
3,2,Martin Gramatica,TAM,27,,16,0,,,8,7,15,14,10,6,6,5,39,32,53,82.1%,32,32,100.0%,81,5136,5,6.2%,63.4,1,23,23,0,23.0
4,3,Jason Elam,DEN,32,,16,0,1,1,9,9,9,7,11,5,6,4,36,26,55,72.2%,43,42,97.7%,44,2775,1,2.3%,63.1,,,,,
5,4,John Carney,NOR,38,,16,0,,,9,9,13,11,12,11,1,,35,31,48,88.6%,37,37,100.0%,26,1630,2,7.7%,62.7,,,,,
6,5,David Akers*,PHI,28,,16,0,,,9,9,16,14,7,6,2,1,34,30,51,88.2%,43,43,100.0%,89,5483,10,11.2%,61.6,,,,,
7,6,Ryan Longwell ,GNB,28,,16,0,1,1,9,8,13,12,10,7,1,,34,28,49,82.4%,44,44,100.0%,85,5182,2,2.4%,61.0,,,,,
8,7,Mike Hollis,BUF,30,,16,0,,,8,7,10,8,10,7,5,3,33,25,54,75.8%,40,40,100.0%,84,4845,2,2.4%,57.7,,,,,
9,8,Sebastian Janikowski,OAK,24,,16,0,,,11,10,8,7,12,7,2,2,33,26,51,78.8%,50,50,100.0%,97,6312,22,22.7%,65.1,,,,,
10,9,Matt Bryant,NYG,27,,16,0,2,2,7,7,19,14,4,3,,,32,26,47,81.3%,32,30,93.8%,75,4520,2,2.7%,60.3,,,,,
11,10,Jose Cortez,2TM,27,,14,0,,,13,11,9,8,10,4,,,32,23,45,71.9%,34,34,100.0%,71,4386,7,9.9%,61.8,,,,,
12,11,John Hall,NYJ,28,,16,0,,,9,9,11,9,10,6,1,,31,24,46,77.4%,37,35,94.6%,79,4905,5,6.3%,62.1,1,28,28,0,28.0
13,12,Olindo Mare,MIA,29,,16,0,,,14,13,3,2,11,7,3,2,31,24,53,77.4%,43,42,97.7%,84,5269,12,14.3%,62.7,,,,,
14,13,Joe Nedney,TEN,29,,16,0,,,9,9,12,10,8,5,2,1,31,25,53,80.6%,36,36,100.0%,84,5367,9,10.7%,63.9,,,,,
15,14,Mike Vanderjagt,IND,32,,16,0,1,1,8,7,7,6,12,6,3,3,31,23,54,74.2%,34,34,100.0%,77,4539,1,1.3%,58.9,,,,,
16,15,Adam Vinatieri*+,NWE,30,,16,0,,,6,6,12,12,10,8,2,1,30,27,57,90.0%,36,36,100.0%,83,4956,6,7.2%,59.7,,,,,
17,16,Rian Lindell,SEA,25,,16,0,1,1,9,9,10,8,5,4,4,1,29,23,52,79.3%,38,38,100.0%,79,4582,,,58.0,,,,,
18,17,Phil Dawson,CLE,27,,16,0,,,10,9,8,6,7,5,3,2,28,22,52,78.6%,35,34,97.1%,77,4597,7,9.1%,59.7,2,36,20,0,18.0
19,18,Paul Edinger,CHI,24,,16,0,,,4,4,6,5,10,8,8,5,28,22,53,78.6%,29,29,100.0%,67,4002,2,3.0%,59.7,,,,,
20,19,Jason Hanson,DET,32,,16,0,,,8,8,9,8,8,7,3,,28,23,49,82.1%,31,31,100.0%,74,4770,5,6.8%,64.5,,,,,
21,20,Morten Andersen,KAN,42,,14,0,,,6,6,10,10,9,5,1,1,26,22,50,84.6%,51,51,100.0%,64,3788,6,9.4%,59.2,,,,,
22,21,Steve Christie,SDG,35,,16,0,,,8,8,6,5,9,4,3,1,26,18,53,69.2%,36,35,97.2%,21,1147,,,54.6,,,,,
23,22,Matt Stover,BAL,34,,15,0,,,9,9,5,4,10,7,1,1,25,21,51,84.0%,33,33,100.0%,40,2298,1,2.5%,57.5,1,33,33,0,33.0
24,23,Jeff Wilkins ,STL,30,,16,0,,,5,5,10,8,9,6,1,,25,19,47,76.0%,37,37,100.0%,71,4372,9,12.7%,61.6,,,,,
25,24,Kris Brown,HOU,26,,16,0,1,,3,3,1,1,14,11,5,2,24,17,51,70.8%,20,20,100.0%,56,3402,2,3.6%,60.8,,,,,
26,25,Gary Anderson ,MIN,43,,14,0,1,1,8,8,5,5,8,3,1,1,23,18,53,78.3%,37,36,97.3%,8,444,,,55.5,,,,,
27,26,Bill Gramatica,ARI,24,,16,0,,,7,6,2,2,8,6,4,1,21,15,50,71.4%,29,29,100.0%,60,3580,,,59.7,,,,,
28,27,Todd Peterson,PIT,32,,10,0,1,1,3,2,10,6,7,3,,,21,12,46,57.1%,26,25,96.2%,49,2718,1,2.0%,55.5,,,,,
