,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Michael Turner*+,ATL,26,RB,16,16,376,1699,17,85,70,4.5,106.2,3
3,2,Adrian Peterson*+,MIN,23,RB,16,15,363,1760,10,82,67,4.8,110.0,9
4,3,Clinton Portis*,WAS,27,RB,16,16,342,1487,9,78,31,4.3,92.9,3
5,4,Matt Forte ,CHI,23,RB,16,16,316,1238,8,65,50,3.9,77.4,1
6,5,Ryan Grant,GNB,26,RB,16,14,312,1203,4,54,57,3.9,75.2,4
7,6,LaDainian Tomlinson,SDG,29,RB,16,16,292,1110,11,52,45,3.8,69.4,1
8,7,Thomas Jones*,NYJ,30,RB,16,14,290,1312,13,63,59,4.5,82.0,2
9,8,Jamal Lewis,CLE,29,RB,16,16,279,1002,4,43,29,3.6,62.6,2
10,9,DeAngelo Williams,CAR,25,RB,16,16,273,1515,18,65,69,5.5,94.7,0
11,10,Steve Slaton,HOU,22,RB,16,15,268,1282,9,62,71,4.8,80.1,3
12,11,Steven Jackson,STL,25,RB,12,11,253,1042,7,57,56,4.1,86.8,5
13,12,Chris Johnson *,TEN,23,RB,15,14,251,1228,9,54,66,4.9,81.9,1
14,13,Marshawn Lynch *,BUF,22,RB,15,15,250,1036,8,53,50,4.1,69.1,2
15,14,Frank Gore,SFO,25,RB,14,14,240,1036,6,44,41,4.3,74.0,6
16,15,Marion Barber III,DAL,25,RB,15,13,238,885,7,57,35,3.7,59.0,7
17,16,Kevin Smith,DET,22,RB,16,12,238,976,8,51,50,4.1,61.0,2
18,17,Brian Westbrook ,PHI,29,RB,14,14,233,936,9,49,39,4.0,66.9,2
19,18,Le'Ron McClain*+,BAL,24,FB,16,16,232,902,10,53,82,3.9,56.4,4
20,19,Brandon Jacobs,NYG,26,RB,13,13,219,1089,15,58,44,5.0,83.8,3
21,20,Justin Fargas,OAK,28,RB,14,14,218,853,1,33,42,3.9,60.9,3
22,21,Cedric Benson ,CIN,26,RB,12,10,214,747,2,36,46,3.5,62.3,2
23,22,Ronnie Brown*,MIA,27,RB,16,13,214,916,10,49,62,4.3,57.3,1
24,23,Willie Parker,PIT,28,RB,11,11,210,791,5,29,34,3.8,71.9,0
25,24,LenDale White,TEN,24,rb,16,2,200,773,15,43,80,3.9,48.3,1
26,25,Maurice Jones-Drew,JAX,23,rb,16,3,197,824,12,49,46,4.2,51.5,6
27,26,Larry Johnson,KAN,29,RB,12,12,193,874,5,44,65,4.5,72.8,5
28,27,Warrick Dunn,TAM,33,rb,15,6,186,786,2,31,40,4.2,52.4,0
29,28,Jonathan Stewart,CAR,21,,16,0,184,836,10,42,41,4.5,52.3,2
30,29,Derrick Ward,NYG,28,rb,16,3,182,1025,2,53,51,5.6,64.1,2
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Willis McGahee,BAL,27,RB,13,8,170,671,7,36,77,3.9,51.6,3
33,31,Ricky Williams,MIA,31,rb,16,3,160,659,4,36,51,4.1,41.2,5
34,32,Julius Jones,SEA,27,RB,15,10,158,698,2,30,33,4.4,46.5,4
35,33,Sammy Morris ,NWE,31,RB,13,7,156,727,7,46,35,4.7,55.9,1
36,34,Joseph Addai,IND,25,RB,12,12,155,544,5,34,23,3.5,45.3,1
37,35,Dominic Rhodes,IND,29,rb,15,4,152,538,6,27,38,3.5,35.9,0
38,36,Tim Hightower,ARI,22,rb,16,7,143,399,10,34,30,2.8,24.9,2
39,37,Fred Taylor,JAX,32,RB,13,13,143,556,1,24,34,3.9,42.8,1
40,38,Mewelde Moore,PIT,26,,16,4,140,588,5,36,32,4.2,36.8,2
41,39,Edgerrin James,ARI,30,RB,13,7,133,514,3,25,35,3.9,39.5,2
42,40,Earnest Graham,TAM,28,RB,10,10,132,563,4,26,68,4.3,56.3,2
