,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Andre Johnson *+,HOU,27,WR,16,16,171,115,67.3%,1575,13.7,8,79,65,9.2,7.2,98.4,1
1,2,Wes Welker*,NWE,27,WR,16,14,149,111,74.5%,1165,10.5,3,57,64,7.8,6.9,72.8,1
2,3,Brandon Marshall*,DEN,24,WR,15,15,181,104,57.5%,1265,12.2,6,67,47,7.0,6.9,84.3,4
3,4,Larry Fitzgerald*+,ARI,25,WR,16,16,154,96,62.3%,1431,14.9,12,66,78,9.3,6.0,89.4,1
4,5,Tony Gonzalez*+,KAN,32,TE,16,16,155,96,61.9%,1058,11.0,10,66,35,6.8,6.0,66.1,0
5,6,T.J. Houshmandzadeh,CIN,31,WR,15,15,137,92,67.2%,904,9.8,4,51,46,6.6,6.1,60.3,0
6,7,Eddie Royal,DEN,22,WR,15,15,129,91,70.5%,980,10.8,5,43,93,7.6,6.1,65.3,2
7,8,Anquan Boldin*,ARI,28,WR,12,11,127,89,70.1%,1038,11.7,11,56,79,8.2,7.4,86.5,4
8,9,Roddy White*,ATL,27,WR,16,15,148,88,59.5%,1382,15.7,7,60,70,9.3,5.5,86.4,1
9,10,Dwayne Bowe,KAN,24,WR,16,16,157,86,54.8%,1022,11.9,7,49,36,6.5,5.4,63.9,0
10,11,Antonio Bryant,TAM,27,WR,16,15,138,83,60.1%,1248,15.0,7,58,71,9.0,5.2,78.0,1
11,12,Chris Cooley*,WAS,26,TE,16,16,111,83,74.8%,849,10.2,1,43,28,7.6,5.2,53.1,3
12,13,Reggie Wayne*,IND,30,WR,16,16,131,82,62.6%,1145,14.0,6,65,65,8.7,5.1,71.6,0
13,14,Hines Ward ,PIT,32,WR,16,15,124,81,65.3%,1043,12.9,7,55,49,8.4,5.1,65.2,1
14,15,Jason Witten*,DAL,26,TE,16,16,121,81,66.9%,952,11.8,4,49,42,7.9,5.1,59.5,0
15,16,Greg Jennings,GNB,25,WR,16,15,140,80,57.1%,1292,16.2,9,55,63,9.2,5.0,80.8,1
16,17,Derrick Mason,BAL,34,WR,16,16,121,80,66.1%,1037,13.0,5,60,54,8.6,5.0,64.8,2
17,18,Lance Moore,NOR,25,WR,16,6,121,79,65.3%,928,11.7,10,40,70,7.7,4.9,58.0,1
18,19,Santana Moss,WAS,29,WR,16,16,138,79,57.2%,1044,13.2,6,50,67,7.6,4.9,65.3,1
19,20,Calvin Johnson ,DET,23,WR,16,16,150,78,52.0%,1331,17.1,12,52,96,8.9,4.9,83.2,3
20,21,Steve Smith*,CAR,29,WR,14,14,129,78,60.5%,1421,18.2,6,59,65,11.0,5.6,101.5,1
21,22,Steve Breaston,ARI,25,WR,16,9,113,77,68.1%,1006,13.1,3,44,58,8.9,4.8,62.9,1
22,23,Dallas Clark,IND,29,TE,15,15,107,77,72.0%,848,11.0,6,41,33,7.9,5.1,56.5,2
23,24,Donald Driver,GNB,33,WR,16,16,116,74,63.8%,1012,13.7,5,45,71,8.7,4.6,63.3,0
24,25,Jerricho Cotchery,NYJ,26,WR,16,16,112,71,63.4%,858,12.1,5,43,56,7.7,4.4,53.6,2
25,26,Laveranues Coles,NYJ,31,WR,16,16,116,70,60.3%,850,12.1,7,45,54,7.3,4.4,53.1,1
26,27,Owen Daniels*,HOU,26,TE,16,16,101,70,69.3%,862,12.3,2,46,35,8.5,4.4,53.9,2
27,28,Randy Moss,NWE,31,WR,16,16,125,69,55.2%,1008,14.6,11,46,76,8.1,4.3,63.0,3
28,29,Terrell Owens,DAL,35,WR,16,16,140,69,49.3%,1052,15.2,10,38,75,7.5,4.3,65.8,1
29,30,Matt Jones,JAX,25,WR,12,10,107,65,60.7%,761,11.7,2,46,35,7.1,5.4,63.4,1
30,31,Muhsin Muhammad,CAR,35,WR,16,15,107,65,60.7%,923,14.2,5,46,60,8.6,4.1,57.7,2
31,32,Torry Holt,STL,32,WR,16,14,119,64,53.8%,796,12.4,3,40,45,6.7,4.0,49.8,0
32,33,Lee Evans,BUF,27,WR,16,16,102,63,61.8%,1017,16.1,3,46,87,10.0,3.9,63.6,2
33,34,Matt Forte ,CHI,23,RB,16,16,76,63,82.9%,477,7.6,4,23,19,6.3,3.9,29.8,1
34,35,DeSean Jackson,PHI,22,WR,16,15,120,62,51.7%,912,14.7,2,43,60,7.6,3.9,57.0,4
35,36,Maurice Jones-Drew,JAX,23,rb,16,3,75,62,82.7%,565,9.1,2,28,26,7.5,3.9,35.3,6
36,37,Isaac Bruce,SFO,36,WR,16,15,108,61,56.5%,835,13.7,7,44,63,7.7,3.8,52.2,0
37,38,Antonio Gates*,SDG,28,TE,16,16,92,60,65.2%,704,11.7,8,39,34,7.7,3.8,44.0,1
38,39,Marvin Harrison,IND,36,WR,15,15,107,60,56.1%,636,10.6,5,41,67,5.9,4.0,42.4,1
39,40,Kevin Walter,HOU,27,WR,16,16,95,60,63.2%,899,15.0,8,39,61,9.5,3.8,56.2,0
40,41,Vincent Jackson,SDG,25,WR,16,16,101,59,58.4%,1098,18.6,7,52,60,10.9,3.7,68.6,1
41,42,Kevin Faulk,NWE,32,,15,3,74,58,78.4%,486,8.4,3,23,22,6.6,3.9,32.4,0
42,43,Bo Scaife,TEN,27,te,16,7,84,58,69.0%,561,9.7,2,28,44,6.7,3.6,35.1,1
43,44,Anthony Gonzalez,IND,24,,16,2,79,57,72.2%,664,11.6,4,36,58,8.4,3.6,41.5,0
44,45,Steve Smith,NYG,23,,16,4,82,57,69.5%,574,10.1,1,36,30,7.0,3.6,35.9,1
45,46,Ted Ginn Jr.,MIA,23,WR,16,14,93,56,60.2%,790,14.1,2,36,64,8.5,3.5,49.4,5
46,47,Zach Miller,OAK,23,TE,16,15,86,56,65.1%,778,13.9,1,32,63,9.0,3.5,48.6,0
47,48,Josh Reed,BUF,28,WR,13,13,80,56,70.0%,597,10.7,1,36,24,7.5,4.3,45.9,0
48,49,Greg Camarillo,MIA,26,WR,11,11,83,55,66.3%,613,11.1,2,30,33,7.4,5.0,55.7,0
49,50,John Carlson,SEA,24,TE,16,9,80,55,68.8%,627,11.4,5,36,33,7.8,3.4,39.2,0
50,51,Braylon Edwards,CLE,25,WR,16,16,138,55,39.9%,873,15.9,3,42,70,6.3,3.4,54.6,0
51,52,Santonio Holmes,PIT,24,WR,15,15,114,55,48.2%,821,14.9,5,40,48,7.2,3.7,54.7,4
52,53,Davone Bess,MIA,23,wr,16,6,75,54,72.0%,554,10.3,1,29,37,7.4,3.4,34.6,1
53,54,Greg Olsen,CHI,23,te,16,7,82,54,65.9%,574,10.6,5,33,52,7.0,3.4,35.9,2
54,55,Brian Westbrook ,PHI,29,RB,14,14,74,54,73.0%,402,7.4,5,19,47,5.4,3.9,28.7,2
55,56,Donnie Avery,STL,24,WR,15,12,102,53,52.0%,674,12.7,3,29,69,6.6,3.5,44.9,0
56,57,Chad Johnson ,CIN,30,WR,13,10,97,53,54.6%,540,10.2,4,35,26,5.6,4.1,41.5,0
57,58,Antwaan Randle El ,WAS,29,WR,16,16,87,53,60.9%,593,11.2,4,34,31,6.8,3.3,37.1,2
58,59,Bobby Wade,MIN,27,WR,16,14,89,53,59.6%,645,12.2,2,32,59,7.2,3.3,40.3,2
59,60,Marion Barber III,DAL,25,RB,15,13,61,52,85.2%,417,8.0,2,18,70,6.8,3.5,27.8,7
60,61,Reggie Bush,NOR,23,RB,10,9,73,52,71.2%,440,8.5,4,22,42,6.0,5.2,44.0,3
61,62,LaDainian Tomlinson,SDG,29,RB,16,16,77,52,67.5%,426,8.2,1,18,32,5.5,3.3,26.6,1
62,63,Devin Hester,CHI,26,WR,15,8,91,51,56.0%,665,13.0,3,29,65,7.3,3.4,44.3,5
63,64,Michael Jenkins,ATL,26,WR,16,12,81,50,61.7%,777,15.5,3,37,62,9.6,3.1,48.6,0
64,65,Jeremy Shockey,NOR,28,TE,12,11,72,50,69.4%,483,9.7,0,30,26,6.7,4.2,40.3,2
