,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 3,Arizona Cardinals,,Atlanta Falcons,boxscore,30,24
1,WildCard,Sat,January 3,San Diego Chargers,,Indianapolis Colts,boxscore,23,17
2,WildCard,Sun,January 4,Philadelphia Eagles,@,Minnesota Vikings,boxscore,26,14
3,WildCard,Sun,January 4,Baltimore Ravens,@,Miami Dolphins,boxscore,27,9
4,Division,Sat,January 10,Arizona Cardinals,@,Carolina Panthers,boxscore,33,13
5,Division,Sat,January 10,Baltimore Ravens,@,Tennessee Titans,boxscore,13,10
6,Division,Sun,January 11,Pittsburgh Steelers,,San Diego Chargers,boxscore,35,24
7,Division,Sun,January 11,Philadelphia Eagles,@,New York Giants,boxscore,23,11
8,ConfChamp,Sun,January 18,Pittsburgh Steelers,,Baltimore Ravens,boxscore,23,14
9,ConfChamp,Sun,January 18,Arizona Cardinals,,Philadelphia Eagles,boxscore,32,25
10,SuperBowl,Sun,February 1,Pittsburgh Steelers,N,Arizona Cardinals,boxscore,27,23
